Unnamed: 0,Inflation ,All-items excluding food and energy 7,Date,WCS,WTI,labels,DATE,US_CPI,US_Interest_Rate,CA_Interest_rate
17-Jan,,124.3,2017-01-01,37.19,52.5,2017-01-01T00:00:00,1/1/2017,2.661562,0.65,0.75
17-Feb,0.40%,124.8,2017-02-01,39.14,53.47,2017-02-01T00:00:00,2/1/2017,2.67446,0.66,0.75
17-Mar,0.32%,125.2,2017-03-01,35.68,49.33,2017-03-01T00:00:00,3/1/2017,2.453344,0.79,0.75
17-Apr,0.00%,125.2,2017-04-01,36.84,51.06,2017-04-01T00:00:00,4/1/2017,2.25217,0.9,0.75
17-May,0.24%,125.5,2017-05-01,38.84,48.48,2017-05-01T00:00:00,5/1/2017,2.155911,0.91,0.75
17-Jun,0.08%,125.6,2017-06-01,35.8,45.18,2017-06-01T00:00:00,6/1/2017,2.13853,1.04,0.75
17-Jul,0.00%,125.6,2017-07-01,36.37,46.63,2017-07-01T00:00:00,7/1/2017,2.146769,1.15,1
17-Aug,0.00%,125.6,2017-08-01,38.5,48.04,2017-08-01T00:00:00,8/1/2017,2.089832,1.16,1
17-Sep,0.16%,125.8,2017-09-01,39.93,49.82,2017-09-01T00:00:00,9/1/2017,2.106697,1.15,1.25
17-Oct,0.32%,126.2,2017-10-01,39.87,51.58,2017-10-01T00:00:00,10/1/2017,2.192819,1.15,1.25
17-Nov,0.00%,126.2,2017-11-01,45.52,56.64,2017-11-01T00:00:00,11/1/2017,2.115031,1.16,1.25
17-Dec,-0.48%,125.6,2017-12-01,44.02,57.95,2017-12-01T00:00:00,12/1/2017,2.125472,1.3,1.25
18-Jan,0.48%,126.2,2018-01-01,42.53,63.55,2018-01-01T00:00:00,1/1/2018,2.166305,1.41,1.5
18-Feb,0.71%,127.1,2018-02-01,37.72,62.16,2018-02-01T00:00:00,2/1/2018,2.131896,1.42,1.5
18-Mar,0.39%,127.6,2018-03-01,35.53,62.87,2018-03-01T00:00:00,3/1/2018,2.369197,1.51,1.5
18-Apr,-0.08%,127.5,2018-04-01,40.47,66.33,2018-04-01T00:00:00,4/1/2018,2.493423,1.69,1.5
18-May,0.08%,127.6,2018-05-01,53.25,69.89,2018-05-01T00:00:00,5/1/2018,2.544991,1.7,1.5
18-Jun,0.16%,127.8,2018-06-01,52.1,67.32,2018-06-01T00:00:00,6/1/2018,2.553219,1.82,1.5
18-Jul,0.55%,128.5,2018-07-01,52.83,70.74,2018-07-01T00:00:00,7/1/2018,2.519634,1.91,1.75
18-Aug,0.00%,128.5,2018-08-01,48.55,67.85,2018-08-01T00:00:00,8/1/2018,2.432878,1.91,1.75
18-Sep,-0.31%,128.1,2018-09-01,40.37,70.07,2018-09-01T00:00:00,9/1/2018,2.461933,1.95,1.75
18-Oct,0.55%,128.8,2018-10-01,41.15,70.76,2018-10-01T00:00:00,10/1/2018,2.414988,2.19,2
18-Nov,-0.31%,128.4,2018-11-01,11.03,56.96,2018-11-01T00:00:00,11/1/2018,2.476794,2.2,2
18-Dec,0.08%,128.5,2018-12-01,5.97,49.52,2018-12-01T00:00:00,12/1/2018,2.46437,2.27,2
19-Jan,0.08%,128.6,2019-01-01,34.3,51.38,2019-01-01T00:00:00,1/1/2019,2.385533,2.4,2
19-Feb,0.78%,129.6,2019-02-01,45.33,54.95,2019-02-01T00:00:00,2/1/2019,2.376648,2.4,2
19-Mar,0.31%,130,2019-03-01,48.21,58.15,2019-03-01T00:00:00,3/1/2019,2.399684,2.41,2
19-Apr,0.08%,130.1,2019-04-01,53.25,63.86,2019-04-01T00:00:00,4/1/2019,2.407927,2.42,2
19-May,0.46%,130.7,2019-05-01,52.44,60.83,2019-05-01T00:00:00,5/1/2019,2.39723,2.39,2
19-Jun,0.08%,130.8,2019-06-01,41.74,54.66,2019-06-01T00:00:00,6/1/2019,2.421751,2.38,2
19-Jul,0.38%,131.3,2019-07-01,44.7,57.35,2019-07-01T00:00:00,7/1/2019,2.460848,2.4,2
19-Aug,0.00%,131.3,2019-08-01,43.1,54.81,2019-08-01T00:00:00,8/1/2019,2.629246,2.13,2
19-Sep,-0.38%,130.8,2019-09-01,44.84,56.95,2019-09-01T00:00:00,9/1/2019,2.606767,2.04,2
19-Oct,0.46%,131.4,2019-10-01,41.96,53.96,2019-10-01T00:00:00,10/1/2019,2.733341,1.83,2
