Date,CADUSD,WTI (CAD/bbl),Edmonton Light (CAD/bbl),WCS (CAD/bbl),LLS (CAD/bbl),Brent (CAD/bbl)
2017-01-01 7:00,0.758,69.35,65.29,50.88,71.3,73.04
2017-02-01 7:00,0.7629,70.02,65.99,51.59,72.24,73.32
2017-03-01 7:00,0.747,66.47,62.94,48.2,68.82,70.32
2017-04-01 6:00,0.7441,68.7,66.87,55.87,71.37,72.36
2017-05-01 6:00,0.735,65.83,62.12,52.78,68.54,69.59
2017-06-01 6:00,0.7521,60.05,56.03,46.23,62.77,63.23
2017-07-01 6:00,0.7883,59.29,56.11,47.02,62.13,62.45
2017-08-01 6:00,0.7934,60.35,56.71,47.69,63.88,65.2
2017-09-01 6:00,0.8142,61.35,60.23,47.51,66.94,68.37
2017-10-01 6:00,0.7935,65.17,63.65,50.4,72.18,72.65
2017-11-01 6:00,0.7832,72.32,70.35,52.85,79.79,80.22
2017-12-01 7:00,0.7831,73.86,65.2,43.02,80.93,81.55
2018-01-01 7:00,0.8047,79.11,70.43,47.23,84.95,85.77
2018-02-01 7:00,0.7946,78.26,70.6,44.55,81.68,82.74
2018-03-01 7:00,0.7733,81.17,75.59,48.68,84.48,86.4
2018-04-01 6:00,0.7855,83.61,76,62.67,87.27,90.65
2018-05-01 6:00,0.7768,89.83,78.82,62.21,95.4,99.15
2018-06-01 6:00,0.7618,88.41,78.26,62.86,98.51,99.64
2018-07-01 6:00,0.7616,92.69,85.2,63.22,95.54,98.28
2018-08-01 6:00,0.7668,88.28,74.06,50.76,93.66,96.48
2018-09-01 6:00,0.7671,91.35,66.77,48.45,100.28,103.12
2018-10-01 6:00,0.7687,91.81,52.9,32.38,102.46,104.44
2018-11-01 6:00,0.7576,74.53,33.33,23.75,84.86,87.05
2018-12-01 7:00,0.7446,65.95,54.81,44.32,74.82,77.38
2019-01-01 7:00,0.7519,68.69,63.87,56.07,76.99,80.09
2019-02-01 7:00,0.7573,72.6,67.08,57.9,82.45,84.89
2019-03-01 7:00,0.7481,77.76,71.32,64.2,88.3,89.65
2019-04-01 6:00,0.7475,85.46,79.49,72.43,94.12,95.63
2019-05-01 6:00,0.743,81.64,72.66,62.2,92.32,94.57
