Date,Daily Average,Daily On Peak Average,Daily Off Peak Average,30Ravg Average,30Ravg On Peak Average,30Ravg Off Peak Average
1/1/2017,19.31,20.85,16.23,24.31,26.57,19.8
1/2/2017,29.85,34.2,21.13,24.82,27.19,20.07
1/3/2017,25.87,27.42,22.77,25.14,27.54,20.35
1/4/2017,25.76,29.11,19.06,25.42,27.89,20.48
1/5/2017,19.42,19.78,18.69,25.38,27.8,20.55
1/6/2017,23.21,25.45,18.72,25.26,27.61,20.55
1/7/2017,29.76,34.71,19.87,25.22,27.64,20.38
1/8/2017,25.75,28.56,20.15,24.88,27.24,20.16
1/9/2017,25.98,29.12,19.72,24.37,26.74,19.62
1/10/2017,24.5,26.68,20.16,23.78,26,19.33
1/11/2017,20.35,21.04,18.98,23.3,25.43,19.05
1/12/2017,19.64,20.05,18.82,23.17,25.22,19.07
1/13/2017,24.63,27.49,18.91,22.93,24.92,18.95
1/14/2017,21.71,23.27,18.6,22.47,24.42,18.57
1/15/2017,25.21,28.07,19.49,22.15,24.09,18.26
1/16/2017,24.84,27.59,19.33,22.26,24.25,18.28
1/17/2017,20.81,21.97,18.47,22.36,24.34,18.39
1/18/2017,19.11,19.51,18.32,22.33,24.25,18.49
1/19/2017,23.1,25.88,17.55,22.47,24.43,18.55
1/20/2017,26.26,31.13,16.51,22.71,24.78,18.59
1/21/2017,25.46,28.57,19.24,22.99,25.13,18.72
1/22/2017,24.92,28.09,18.59,23.04,25.18,18.75
1/23/2017,27.44,31.61,19.12,23.21,25.45,18.75
1/24/2017,28.83,33,20.48,23.23,25.58,18.52
1/25/2017,27.01,30.33,20.36,23.48,25.95,18.55
1/26/2017,23,25,19,23.72,26.25,18.68
1/27/2017,19.85,20.38,18.78,23.86,26.39,18.81
1/28/2017,19.09,19.43,18.43,23.86,26.33,18.92
1/29/2017,19.14,19.5,18.42,23.68,26.02,19
1/30/2017,27.45,31.85,18.67,23.91,26.32,19.09
1/31/2017,25.51,26.8,22.92,24.12,26.52,19.31
2/1/2017,25.32,27.69,20.57,23.96,26.3,19.29
2/2/2017,22.51,24.01,19.52,23.85,26.19,19.18
2/3/2017,24.97,26.98,20.96,23.83,26.12,19.24
2/4/2017,27.38,30.81,20.51,24.09,26.49,19.31
2/5/2017,27.65,31.06,20.82,24.24,26.67,19.37
2/6/2017,23.33,25.25,19.51,24.03,26.36,19.36
2/7/2017,24.89,27.58,19.52,24,26.32,19.34
2/8/2017,27.45,31.05,20.24,24.05,26.39,19.36
2/9/2017,22.24,23.34,20.06,23.97,26.28,19.36
2/10/2017,18.37,19.14,16.83,23.9,26.21,19.28
2/11/2017,18.23,19.02,16.65,23.86,26.18,19.21
2/12/2017,16.79,17.72,14.94,23.6,25.85,19.08
2/13/2017,18.06,19.06,16.07,23.47,25.71,19
2/14/2017,18.24,18.28,18.16,23.24,25.39,18.95
2/15/2017,17.81,18.47,16.49,23.01,25.08,18.86
2/16/2017,18.14,18.57,17.28,22.92,24.97,18.82
2/17/2017,21.78,23.77,17.81,23.01,25.11,18.8
2/18/2017,25.47,27.35,21.71,23.09,25.16,18.94
2/19/2017,19.74,20.22,18.77,22.87,24.8,19.01
2/20/2017,22.75,25.55,17.14,22.78,24.7,18.94
2/21/2017,23.11,24.86,19.62,22.72,24.59,18.98
2/22/2017,21.53,22.9,18.79,22.52,24.3,18.97
2/23/2017,22.29,23.5,19.87,22.3,23.98,18.95
2/24/2017,22.13,23.85,18.7,22.14,23.77,18.89
2/25/2017,18.32,18.4,18.16,21.99,23.55,18.86
2/26/2017,24.18,26.97,18.61,22.13,23.77,18.86
2/27/2017,26.42,29.05,21.14,22.37,24.09,18.95
2/28/2017,21.9,22.54,20.63,22.47,24.19,19.02
3/1/2017,18.54,19.49,16.65,22.17,23.78,18.96
3/2/2017,18.58,18.79,18.15,21.94,23.51,18.8
3/3/2017,17.68,18.41,16.23,21.68,23.2,18.65
3/4/2017,21.3,22.84,18.23,21.64,23.16,18.61
3/5/2017,24.04,25.95,20.22,21.61,23.13,18.58
3/6/2017,24.7,26.25,21.6,21.52,22.97,18.62
3/7/2017,25.09,27.77,19.71,21.44,22.86,18.58
3/8/2017,24.7,26.28,21.53,21.48,22.9,18.65
3/9/2017,26.44,27.82,23.67,21.53,22.91,18.79
3/10/2017,25.45,27.02,22.3,21.47,22.77,18.86
3/11/2017,22.92,23.49,21.76,21.49,22.78,18.91
3/12/2017,21.24,22,19.51,21.59,22.87,19
3/13/2017,20.84,22.01,18.49,21.67,22.97,19.07
3/14/2017,20.92,22.06,18.64,21.81,23.12,19.19
3/15/2017,19.42,20.82,16.62,21.86,23.18,19.21
3/16/2017,24.8,27.37,19.67,22.07,23.48,19.26
3/17/2017,24.07,25.34,21.51,22.28,23.71,19.42
3/18/2017,17.03,17.39,16.29,22.25,23.67,19.39
3/19/2017,17.18,17.89,15.75,22.09,23.47,19.32
3/20/2017,19.83,21.74,16,21.9,23.29,19.13
3/21/2017,18.82,20.17,16.12,21.87,23.28,19.04
3/22/2017,17.42,18.22,15.82,21.7,23.04,19
3/23/2017,21.08,23.53,16.18,21.63,23,18.89
3/24/2017,29.43,32.65,23,21.89,23.32,19.03
3/25/2017,17.49,18.65,15.15,21.73,23.16,18.87
3/26/2017,20.68,23.2,15.64,21.68,23.14,18.77
3/27/2017,20.91,22.02,18.68,21.77,23.26,18.78
3/28/2017,16.79,18.01,14.35,21.52,22.96,18.64
3/29/2017,17.77,18.98,15.36,21.23,22.62,18.45
3/30/2017,17.25,18.4,14.95,21.08,22.49,18.26
3/31/2017,18.81,20.04,16.33,21.09,22.5,18.25
4/1/2017,15.48,16.07,14.3,20.98,22.41,18.12
4/2/2017,16.23,16.57,15.55,20.94,22.35,18.1
4/3/2017,18.2,19.24,16.14,20.83,22.23,18.03
4/4/2017,17.07,17.36,16.5,20.6,21.95,17.9
4/5/2017,17.26,18.25,15.3,20.35,21.68,17.69
4/6/2017,18.14,19.22,16,20.12,21.39,17.57
4/7/2017,15.59,16.14,14.51,19.82,21.06,17.34
4/8/2017,11.99,15.19,5.58,19.34,20.63,16.73
4/9/2017,19.46,20.89,16.6,19.14,20.43,16.54
4/10/2017,17.89,18.93,15.82,18.97,20.28,16.35
4/11/2017,22.47,25.43,16.55,19.01,20.39,16.25
4/12/2017,19.51,19.81,18.91,18.97,20.32,16.26
4/13/2017,19.33,20.33,17.34,18.91,20.26,16.22
4/14/2017,16.74,17.73,14.78,18.82,20.16,16.16
4/15/2017,15.26,16.57,12.63,18.51,19.8,15.92
4/16/2017,18.49,18.68,18.09,18.32,19.58,15.81
4/17/2017,18.03,19.43,15.24,18.35,19.64,15.77
4/18/2017,18.67,18.79,18.43,18.4,19.67,15.86
4/19/2017,20.73,22.53,17.15,18.43,19.7,15.9
4/20/2017,20.17,21.48,17.54,18.48,19.74,15.95
4/21/2017,24.2,26.56,19.48,18.7,20.02,16.07
4/22/2017,22.82,24.86,18.74,18.76,20.07,16.15
4/23/2017,24.23,27,18.68,18.59,19.88,16.01
4/24/2017,29.15,32.5,22.45,18.98,20.34,16.25
4/25/2017,23.67,25.45,20.11,19.08,20.42,16.4
4/26/2017,24.41,25.62,21.98,19.19,20.54,16.51
4/27/2017,20.62,21.51,18.83,19.32,20.65,16.66
4/28/2017,18.86,19.43,17.74,19.36,20.67,16.74
4/29/2017,16.57,16.85,16.01,19.34,20.62,16.78
4/30/2017,11.87,14.98,5.64,19.1,20.45,16.42
5/1/2017,25.09,29.65,15.97,19.42,20.9,16.48
5/2/2017,23.9,26.29,19.11,19.68,21.22,16.59
5/3/2017,21.17,22.88,17.73,19.78,21.34,16.65
5/4/2017,26.47,32.35,14.71,20.09,21.84,16.59
5/5/2017,19.14,19.76,17.89,20.15,21.89,16.67
5/6/2017,20.48,21.57,18.29,20.23,21.97,16.75
5/7/2017,19.69,20.6,17.88,20.37,22.12,16.86
5/8/2017,26.71,30.23,19.67,20.86,22.62,17.33
5/9/2017,24.64,27.59,18.76,21.03,22.85,17.4
5/10/2017,24.03,27.66,16.76,21.24,23.14,17.44
5/11/2017,20.62,22.78,16.3,21.18,23.05,17.43
5/12/2017,21.08,23.52,16.2,21.23,23.17,17.34
5/13/2017,19.23,19.69,18.29,21.22,23.15,17.37
5/14/2017,18.08,18.92,16.39,21.27,23.19,17.42
5/15/2017,27.56,32.08,18.51,21.68,23.71,17.62
5/16/2017,21.99,23.25,19.46,21.8,23.86,17.66
5/17/2017,20.24,22.76,15.21,21.87,23.97,17.66
5/18/2017,23.63,25.91,19.08,22.03,24.21,17.69
5/19/2017,24.62,27.52,18.83,22.16,24.38,17.74
