Year,"WTI
(US$/bbl)","CLS
(US$/bbl)","WCS
(US$/bbl)",WTI-WCS Differential (US$/bbl),WTI-CLS Differential (US$/bbl),"Enbridge Mainline
(million barrels per day)"," Keystone
(million barrels per day)","Trans Mountain
(million barrels per day)","Express | Rangeland | Milk River
(million barrels per day)"," Crude by rail exports
(million barrels per day)","WCSB estimated oil available for removal
(million barrels per day)"
1/1/2017,52.61,48.60,37.19,15.42,4.01,2.66,0.60,0.25,0.37,0.12,3.58
2/1/2017,53.46,50.18,39.14,14.32,3.28,2.69,0.58,0.29,0.37,0.13,3.63
3/1/2017,49.67,46.69,35.68,13.99,2.98,2.70,0.60,0.26,0.37,0.16,3.43
4/1/2017,51.12,47.88,36.84,14.28,3.24,2.72,0.60,0.26,0.37,0.15,3.14
5/1/2017,48.54,47.00,38.84,9.70,1.54,2.68,0.61,0.29,0.37,0.13,3.21
6/1/2017,45.20,43.01,35.80,9.40,2.19,2.72,0.60,0.24,0.37,0.11,3.32
7/1/2017,46.68,43.48,36.37,10.31,3.20,2.73,0.59,0.28,0.37,0.09,3.53
8/1/2017,48.06,47.98,38.50,9.56,0.08,2.70,0.59,0.26,0.37,0.12,3.71
9/1/2017,49.88,46.68,39.93,9.95,3.20,2.58,0.59,0.30,0.37,0.13,3.49
10/1/2017,51.69,51.21,39.87,11.82,0.48,2.72,0.57,0.23,0.37,0.14,3.41
11/1/2017,56.54,56.09,45.52,11.02,0.45,2.76,0.57,0.28,0.37,0.15,3.75
12/1/2017,57.95,56.60,44.02,13.93,1.35,2.68,0.58,0.26,0.37,0.15,3.76
1/1/2018,63.55,53.65,42.53,21.02,9.90,2.80,0.59,0.22,0.37,0.15,3.61
2/1/2018,62.16,56.17,37.72,24.44,5.99,2.70,0.60,0.27,0.37,0.13,3.66
3/1/2018,62.87,56.54,35.53,27.34,6.33,2.74,0.59,0.25,0.37,0.17,3.78
4/1/2018,66.33,62.50,40.47,25.86,3.83,2.72,0.60,0.28,0.37,0.19,3.60
5/1/2018,69.89,62.77,53.25,16.64,7.12,2.71,0.59,0.30,0.37,0.20,3.80
6/1/2018,67.32,60.01,52.10,15.22,7.31,2.65,0.60,0.28,0.37,0.21,3.68
7/1/2018,70.74,61.87,52.83,17.91,8.87,2.70,0.60,0.26,0.37,0.21,3.81
8/1/2018,67.85,59.24,48.55,19.30,8.61,2.67,0.56,0.26,0.37,0.23,4.06
9/1/2018,70.07,53.44,40.37,29.70,16.63,2.65,0.58,0.24,0.37,0.27,3.74
10/1/2018,70.76,49.77,41.15,29.61,20.99,2.78,0.58,0.25,0.37,0.34,3.96
11/1/2018,56.60,22.14,11.03,45.57,34.46,2.79,0.59,0.23,0.37,0.33,4.03
12/1/2018,48.68,12.13,5.97,42.71,36.55,2.81,0.59,0.28,0.37,0.35,4.01
1/1/2019,51.38,38.37,34.30,17.08,13.01,2.73,0.60,0.29,0.37,0.33,3.67
2/1/2019,55.01,49.46,45.33,9.68,5.55,2.78,0.59,0.30,0.37,0.13,3.69
3/1/2019,58.17,53.28,48.21,9.96,4.89,2.75,0.56,0.27,0.37,0.17,3.73
4/1/2019,63.88,58.33,53.25,10.63,5.55,2.76,0.57,0.28,0.37,0.23,3.89
5/1/2019,60.77,55.95,52.44,8.33,4.82,2.72,0.60,0.30,0.37,0.29,3.63
6/1/2019,54.71,47.69,41.74,12.97,7.02,2.81,0.59,0.28,0.37,0.29,3.77
7/1/2019,57.54,53.02,44.70,12.84,4.52,2.81,0.59,0.30,0.37,0.31,3.82
8/1/2019,54.84,53.28,43.10,11.74,1.56,2.71,0.59,0.26,0.37,0.31,3.86
9/1/2019,56.88,53.31,44.84,12.04,3.57,2.77,0.57,0.30,0.37,0.32,3.84
10/1/2019,54.01,49.75,41.96,12.05,4.26,2.64,0.60,0.28,0.37,0.27,3.87
11/1/2019,57.12,49.54,42.32,14.80,7.58,2.60,0.58,0.29,0.37,0.30,3.94
12/1/2019,59.86,53.34,39.11,20.75,6.52,2.75,0.57,0.29,0.37,0.35,4.10
1/1/2020,57.53,48.65,36.82,20.71,8.88,2.92,0.57,0.26,0.37,0.40,3.92
2/1/2020,50.54,44.28,27.28,23.26,6.26,2.82,0.59,0.30,0.37,0.41,4.13
3/1/2020,30.45,24.65,12.84,17.61,5.80,2.94,0.58,0.30,0.37,0.35,3.89
4/1/2020,16.70,8.99,3.50,13.20,7.71,2.84,0.58,0.27,0.37,0.16,3.30
5/1/2020,28.53,26.36,11.67,16.86,2.17,2.91,0.59,0.27,0.37,0.06,2.96
6/1/2020,38.31,34.72,33.97,4.34,3.59,2.94,0.56,0.27,0.37,0.04,3.31
7/1/2020,40.77,36.86,32.50,8.27,3.91,2.92,0.55,0.27,0.37,0.04,3.35
8/1/2020,42.39,38.24,34.60,7.79,4.15,2.77,0.55,0.33,0.37,0.05,3.32
9/1/2020,39.63,35.54,28.43,11.20,4.09,2.72,0.57,0.30,0.37,0.09,3.34
10/1/2020,39.56,36.04,31.17,8.39,3.52,2.82,0.60,0.31,0.37,0.09,3.57
11/1/2020,41.13,36.35,31.57,9.56,4.78,2.82,0.59,0.27,0.37,0.17,3.91
12/1/2020,47.07,41.26,37.32,9.75,5.81,2.85,0.60,0.31,0.37,0.19,4.08
1/1/2021,52.12,47.08,40.04,12.08,5.04,2.94,0.62,0.30,0.37,0.19,3.99
2/1/2021,59.06,55.61,45.13,13.93,3.45,2.88,0.60,0.30,0.37,0.11,3.79
3/1/2021,62.36,60.01,50.94,11.42,2.35,2.84,0.60,0.31,0.37,0.18,3.91
4/1/2021,61.70,58.04,50.51,11.19,3.67,2.84,0.61,0.30,0.42,0.13,3.59
5/1/2021,65.16,61.04,54.78,10.38,4.12,2.84,0.59,0.32,0.42,0.13,3.57
6/1/2021,71.35,67.02,58.46,12.89,4.34,2.88,0.58,0.29,0.42,0.13,3.84
7/1/2021,72.43,68.47,58.80,13.63,3.96,2.89,0.61,0.27,0.42,0.14,3.90
8/1/2021,67.71,63.67,54.47,13.24,4.04,2.73,0.60,0.30,0.42,0.17,3.87
9/1/2021,71.54,68.34,58.02,13.52,3.20,2.81,0.59,0.31,0.42,0.16,3.80
10/1/2021,81.22,78.63,69.30,11.92,2.59,3.00,0.59,0.30,0.42,0.13,4.14
11/1/2021,79.18,74.37,65.25,13.93,4.81,3.25,0.62,0.15,0.42,0.13,4.14
12/1/2021,71.69,66.77,53.10,18.59,4.92,3.27,0.63,0.21,0.42,0.13,3.92
1/1/2022,82.98,80.60,65.60,17.38,2.38,3.27,0.61,0.28,0.42,0.13,3.81
2/1/2022,91.63,89.76,79.10,12.53,1.87,3.29,0.58,0.32,0.42,0.12,3.99
3/1/2022,108.26,108.37,94.57,13.69,-0.11,3.28,0.61,0.34,0.42,0.15,4.02
4/1/2022,101.64,100.94,89.06,12.58,0.70,3.22,0.61,0.30,0.42,0.14,3.95
5/1/2022,109.26,107.60,96.60,12.66,1.66,3.19,0.61,0.35,0.42,0.17,3.77
6/1/2022,114.34,111.81,101.17,13.17,2.53,3.31,0.60,0.34,0.42,0.17,3.83
7/1/2022,99.39,96.58,80.44,18.95,2.81,3.27,0.59,0.33,0.42,0.15,4.05
8/1/2022,91.48,89.03,70.45,21.03,2.45,3.17,0.59,0.36,0.42,0.16,4.16
9/1/2022,83.80,82.22,64.18,19.62,1.58,3.22,0.64,0.31,0.42,0.13,4.25
10/1/2022,87.03,83.85,66.38,20.65,3.18,3.22,0.64,0.31,0.42,0.16,4.20
11/1/2022,84.39,82.59,57.44,26.95,1.80,3.22,0.64,0.31,0.42,0.16,4.30
12/1/2022,76.52,72.93,47.14,29.38,3.59,3.22,0.64,0.31,0.42,0.16,4.11
