Gas Day,Measured Receipts Volume (103M3),Storage Receipts Volume (103M3),Gordondale Receipts Volume (103M3),Groundbirch East Receipts Volume (103M3),Intra Provincial Deliveries Volume (103M3),Border Deliveries Volume (103M3),Empress Deliveries Volume (103M3),ABC Deliveries Volume (103M3),McNeil Deliveries Volume (103M3),Gordondale Deliveries Volume (103M3),Storage Deliveries Volume (103M3)
1/1/2017 0:00,380090.2,39105.7,3965.8,10308,177681.6,191746.8,67435.7,65237.7,52237.2,0,684.7
1/2/2017 0:00,371021.1,35628.2,2854,10221.2,186470.6,189014.8,67325.4,63451.6,51766.1,0,0
1/3/2017 0:00,390506.2,56877.4,2832.5,10236,186598.2,191846.2,68786.9,62590.7,53418.3,0,0
1/4/2017 0:00,384782.8,51980.7,2979.2,9510.6,179125,196232.9,68613.5,64751.8,55354.6,0,608.6
1/5/2017 0:00,374240.7,41777.5,2382.7,9912.5,176935,198116.7,68541.6,65225.6,56139.9,0,643.8
1/6/2017 0:00,382747.1,52707.9,2521.8,5977.2,185237,194469.7,67817.9,62737.4,56291.4,0,0
1/7/2017 0:00,389438.1,58992.5,2175.8,7987.2,189708.1,193664.3,68315.6,63390.4,55437.7,0,0
1/8/2017 0:00,390814.7,61211.3,2712.5,8094.3,189992.2,193050.9,68324.3,64249.5,54710.7,0,0
1/9/2017 0:00,385796.3,59180.5,2670.8,8727.4,191516.5,190568.1,66853.5,64714.6,53674.3,0,0
1/10/2017 0:00,389798.8,63982.1,2266.8,10136,190438.2,191429.1,69298,62473.7,53939.8,0,0
1/11/2017 0:00,395933.5,71219.7,2243,10292.7,183641.1,196005.1,70765,66502.5,52825.1,0,0
1/12/2017 0:00,377957.4,49466.8,2282.6,9503.7,180732.7,197939.9,71386.1,64223.2,55182,0,883.2
1/13/2017 0:00,367157.1,38575.2,2540.2,6825.8,171047.8,192209.4,68590,61375.5,55540.1,0,611.7
1/14/2017 0:00,363686.2,28559.9,2262,10247,162822.2,193256.2,69880.6,63508.4,53438.7,0,792.7
1/15/2017 0:00,366123,28318.7,2253.7,9874.8,162247.5,196171.1,69485.4,64495.2,54773.7,0,788.9
1/16/2017 0:00,355365.3,19533.4,2261.4,10135.9,158415.2,196049.3,71370.3,63862,53847.6,0,766.9
1/17/2017 0:00,349658.8,13319.7,2715.7,10236.8,157797.9,193425.4,71694.6,62827,52243.3,0,6291
1/18/2017 0:00,348933.1,12347.9,2799.1,10309,156926.1,195243.9,68494.1,65563.7,54565.2,0,5162
1/19/2017 0:00,362608.7,17699.3,2658.7,10322.5,155231,185744.8,67721.9,65477.4,46338.5,0,803
1/20/2017 0:00,355959.6,12095.4,2664.4,10232.1,159847,190787.4,68391,65380.5,50725.2,0,773.8
1/21/2017 0:00,358922.6,14303.1,2142.5,10069.4,163433.3,194387.8,68561.3,65189.8,54294.3,0,718.1
1/22/2017 0:00,358612.9,14069.2,2285.3,10341.8,168775.9,193265.1,68768.4,62764,55353.3,0,788.3
1/23/2017 0:00,379852.7,37408.2,2282.5,10364.4,171163.6,196026.2,69292.6,65807.2,54749.1,0,721.7
1/24/2017 0:00,376196.1,33504.3,2922.2,10258.4,169500.3,197331.1,70436.8,65978.2,54597.6,0,128.3
1/25/2017 0:00,350663.8,9158.4,2641.1,10247.1,169316,187527.2,66596.6,67459.3,46812.1,0,323.5
