Date,Day,Weekend,"Public
Holiday","Weekend / 
Public Holiday",Henry USD/MMBtu,AECO 5A USD/MMBtu,AECO 5A Cad/GJ,Air Temp. Min. (°C),Air Temp. Max. (°C)
1/1/2018,Monday,N,Y,Y,3.58,2.8248,3.3518,-30.01,-3.27
1/2/2018,Tuesday,N,N,N,3.58,1.7509,2.0754,-10.32,0.97
1/3/2018,Wednesday,N,N,N,6.625,1.5555,1.848,-8.65,5.24
1/4/2018,Thursday,N,N,N,6.875,1.5478,1.8377,-10.72,2.9
1/5/2018,Friday,N,N,N,4.42,1.3134,1.5431,-10.51,8.97
1/6/2018,Saturday,Y,N,Y,2.9,1.3134,1.5431,-2.89,8.18
1/7/2018,Sunday,Y,N,Y,2.9,1.3134,1.5431,-7.48,4.21
1/8/2018,Monday,N,N,N,2.9,1.2697,1.4953,-4.56,8
1/9/2018,Tuesday,N,N,N,2.88,1.6434,1.9407,-18.12,-0.67
1/10/2018,Wednesday,N,N,N,2.9,1.799,2.129,-26.04,-18.07
1/11/2018,Thursday,N,N,N,3.105,2.4851,2.9506,-29.19,-23.11
1/12/2018,Friday,N,N,N,3.235,1.6301,1.9342,-25.51,-14.88
1/13/2018,Saturday,Y,N,Y,4.015,1.6301,1.9342,-15.22,2.93
1/14/2018,Sunday,Y,N,Y,4.015,1.6301,1.9342,-8.52,2.46
1/15/2018,Monday,N,N,N,4.015,1.6301,1.9342,-10.91,-5.02
1/16/2018,Tuesday,N,N,N,4.015,1.5458,1.8201,-9.53,9.09
1/17/2018,Wednesday,N,N,N,5.095,1.6316,1.9235,-3.26,4.89
1/18/2018,Thursday,N,N,N,3.865,1.4791,1.7443,-4.65,7.54
1/19/2018,Friday,N,N,N,3.375,1.5386,1.8165,-6.09,3.6
1/20/2018,Saturday,Y,N,Y,3.18,1.5386,1.8165,-6,3.88
1/21/2018,Sunday,Y,N,Y,3.18,1.5386,1.8165,-7.33,3.92
1/22/2018,Monday,N,N,N,3.18,1.6459,1.9442,-7.18,4.07
1/23/2018,Tuesday,N,N,N,3.13,1.6979,2.0044,-9.92,2.21
1/24/2018,Wednesday,N,N,N,3.365,1.7728,2.0767,-7.81,5.14
1/25/2018,Thursday,N,N,N,3.555,1.8257,2.1311,-11.1,-4.27
1/26/2018,Friday,N,N,N,3.57,1.9484,2.2754,-15.02,-8.83
