Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-01,2017,1,1,,0.2,,-11.5,,-5.7,,23.7,,0,,,M,,M,0,,,,26,,44,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-02,2017,1,2,,3.8,,-9.4,,-2.8,,20.8,,0,,,M,,M,1.2,,,,10,,39,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-03,2017,1,3,,3,,1,,2,,16,,0,,,M,,M,18,,,,,,<31,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-04,2017,1,4,,2.2,,-10.1,,-4,,22,,0,,,M,,M,0,,,,26,,70,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-05,2017,1,5,,-8.2,,-13.5,,-10.9,,28.9,,0,,,M,,M,0,,,,25,,57,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-06,2017,1,6,,-10.1,,-15.6,,-12.9,,30.9,,0,,,M,,M,0,,,,25,,39,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-07,2017,1,7,,-9,,-17.4,,-13.2,,31.2,,0,,,M,,M,0,,,,26,,39,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-08,2017,1,8,,-10.1,,-15.7,,-12.9,,30.9,,0,,,M,,M,0.4,,,,32,,46,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-09,2017,1,9,,-4.8,,-11,,-7.9,,25.9,,0,,,M,,M,0,,,,22,,46,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-10,2017,1,10,,6.1,,-4.8,,0.7,,17.3,,0,,,M,,M,16.9,,,,26,,80,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-11,2017,1,11,,7.6,,-1,,3.3,,14.7,,0,,,M,,M,15,,,,26,,80,
-80.38,43.46,KITCHENER/WATERLOO,6144239,2017-01-12,2017,1,12,,9.3,,-3.3,,3,,15,,0,,,M,,M,10.1,,,,26,,50,
