Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-110.72,50.02,MEDICINE HAT,3034479,1/1/2017,2017,1,1,,-7.3,,-16.4,,-11.9,,29.9,,0,,,M,,M,0,,,,4,,33,
-110.72,50.02,MEDICINE HAT,3034479,1/2/2017,2017,1,2,,-14,,-22.2,,-18.1,,36.1,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/3/2017,2017,1,3,,-17.9,,-25.9,,-21.9,,39.9,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/4/2017,2017,1,4,,-12.4,,-25.8,,-19.1,,37.1,,0,,,M,,M,0,,,,33,,32,
-110.72,50.02,MEDICINE HAT,3034479,1/5/2017,2017,1,5,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/6/2017,2017,1,6,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/7/2017,2017,1,7,,-13.7,,-24.2,,-19,,37,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/8/2017,2017,1,8,,-15.8,,-20.9,,-18.4,,36.4,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/9/2017,2017,1,9,,-18.3,,-22.5,,-20.4,,38.4,,0,,,M,,M,2.7,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/10/2017,2017,1,10,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/11/2017,2017,1,11,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/12/2017,2017,1,12,,-12.6,,-28.8,,-20.7,,38.7,,0,,,M,,M,0,,,,35,,39,
-110.72,50.02,MEDICINE HAT,3034479,1/13/2017,2017,1,13,,-8.3,,-19.4,,-13.9,,31.9,,0,,,M,,M,0,,,,22,,32,
-110.72,50.02,MEDICINE HAT,3034479,1/14/2017,2017,1,14,,-2.4,,-16.7,,-9.6,,27.6,,0,,,M,,M,0,,,,23,,33,
-110.72,50.02,MEDICINE HAT,3034479,1/15/2017,2017,1,15,,1.7,,-11.3,,-4.8,,22.8,,0,,,M,,M,0,,,,21,,43,
-110.72,50.02,MEDICINE HAT,3034479,1/16/2017,2017,1,16,,2.9,,-12.4,,-4.8,,22.8,,0,,,M,,M,0,,,,21,,46,
-110.72,50.02,MEDICINE HAT,3034479,1/17/2017,2017,1,17,,7.7,,2.9,,5.3,,12.7,,0,,,M,,M,0,,,,21,,78,
-110.72,50.02,MEDICINE HAT,3034479,1/18/2017,2017,1,18,,8.7,,3.3,,6,,12,,0,,,M,,M,0,,,,22,,57,
-110.72,50.02,MEDICINE HAT,3034479,1/19/2017,2017,1,19,,10.1,,1,,5.6,,12.4,,0,,,M,,M,0,,,,21,,46,
-110.72,50.02,MEDICINE HAT,3034479,1/20/2017,2017,1,20,,7,,-5.2,,0.9,,17.1,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/21/2017,2017,1,21,,-1.3,,-9.2,,-5.3,,23.3,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/22/2017,2017,1,22,,-1.3,,-6.3,,-3.8,,21.8,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/23/2017,2017,1,23,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/24/2017,2017,1,24,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/25/2017,2017,1,25,,-2.5,,-8.6,,-5.6,,23.6,,0,,,M,,M,0,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,1/26/2017,2017,1,26,,1.6,,-12.3,,-5.4,,23.4,,0,,,M,,M,0,,,,22,,33,
-110.72,50.02,MEDICINE HAT,3034479,1/27/2017,2017,1,27,,6.1,,-7.1,,-0.5,,18.5,,0,,,M,,M,0,,,,25,,33,
-110.72,50.02,MEDICINE HAT,3034479,1/28/2017,2017,1,28,,10.4,,-1.9,,4.3,,13.7,,0,,,M,,M,0,,,,28,,52,
-110.72,50.02,MEDICINE HAT,3034479,1/29/2017,2017,1,29,,14.1,,4.7,,9.4,,8.6,,0,,,M,,M,0,,,,24,,83,
-110.72,50.02,MEDICINE HAT,3034479,1/30/2017,2017,1,30,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,1/31/2017,2017,1,31,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/1/2017,2017,2,1,,-6,,-18.1,,-12.1,,30.1,,0,,,M,,M,0,,,,33,,35,
-110.72,50.02,MEDICINE HAT,3034479,2/2/2017,2017,2,2,,-5.5,,-15.8,,-10.7,,28.7,,0,,,M,,M,0,,,,24,,33,
-110.72,50.02,MEDICINE HAT,3034479,2/3/2017,2017,2,3,,-4.3,,-17.5,,-10.9,,28.9,,0,,,M,,M,0.5,,,,2,,33,
-110.72,50.02,MEDICINE HAT,3034479,2/4/2017,2017,2,4,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/5/2017,2017,2,5,,-13.2,,-15.4,,-14.3,,32.3,,0,,,M,,M,2.2,,,,,,<31,
-110.72,50.02,MEDICINE HAT,3034479,2/6/2017,2017,2,6,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/7/2017,2017,2,7,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/8/2017,2017,2,8,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/9/2017,2017,2,9,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/10/2017,2017,2,10,,,,,,,,,,,,,,,,,,,,,,,
-110.72,50.02,MEDICINE HAT,3034479,2/11/2017,2017,2,11,,2,,-3.9,,-1,,19,,0,,,M,,M,0,,,,31,,59,
-110.72,50.02,MEDICINE HAT,3034479,2/12/2017,2017,2,12,,4.4,,-6.7,,-1.2,,19.2,,0,,,M,,M,0,,,,21,,39,
-110.72,50.02,MEDICINE HAT,3034479,2/13/2017,2017,2,13,,6,,-2.6,,1.7,,16.3,,0,,,M,,M,0,,,,26,,37,
-110.72,50.02,MEDICINE HAT,3034479,2/14/2017,2017,2,14,,11.5,,-3.7,,3.9,,14.1,,0,,,M,,M,0,,,,20,,46,
-110.72,50.02,MEDICINE HAT,3034479,2/15/2017,2017,2,15,,14.7,,1.7,,8.2,,9.8,,0,,,M,,M,0,,,,21,,69,
-110.72,50.02,MEDICINE HAT,3034479,2/16/2017,2017,2,16,,15.7,,4.9,,10.3,,7.7,,0,,,M,,M,0,,,,22,,54,
-110.72,50.02,MEDICINE HAT,3034479,2/17/2017,2017,2,17,,12.5,,-2.5,,5,,13,,0,,,M,,M,0,,,,25,,50,
-110.72,50.02,MEDICINE HAT,3034479,2/18/2017,2017,2,18,,8.8,,-4.5,,2.2,,15.8,,0,,,M,,M,0,,,,7,,35,
