Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-01,2017,01,01,,-4.1,,-13.2,,-8.7,,26.7,,0,,,M,,M,7.5,,47,,26,,37,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-02,2017,01,02,,-3.7,,-17.2,,-10.5,,28.5,,0,,,M,,M,0,,47,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-03,2017,01,03,,-3.7,,-6.1,,-4.9,,22.9,,0,,,M,,M,10.9,,44,,5,,57,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-04,2017,01,04,,-1.7,,-5.3,,-3.5,,21.5,,0,,,M,,M,11.2,,53,,25,,48,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-05,2017,01,05,,-4.3,,-13.8,,-9.1,,27.1,,0,,,M,,M,0,,55,,26,,61,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-06,2017,01,06,,-10.9,,-29.1,,-20,,38,,0,,,M,,M,0.2,,52,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-07,2017,01,07,,-12,,-29.5,,-20.8,,38.8,,0,,,M,,M,0,,52,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-08,2017,01,08,,-12,,-28.6,,-20.3,,38.3,,0,,,M,,M,0,,50,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-09,2017,01,09,,-15.4,,-28.6,,-22,,40,,0,,,M,,M,1.2,,51,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-10,2017,01,10,,-3.4,,-15.7,,-9.6,,27.6,,0,,,M,,M,4.7,,50,,,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2017-01-11,2017,01,11,,5,,-3.4,,0.8,,17.2,,0,,,M,,M,25.7,,62,,23,,61,
