Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/1/2017,2017,1,1,,-9.7,,-14.9,,-12.3,,30.3,,0,,0,,0.2,,0.2,,6,,31,,33,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/2/2017,2017,1,2,,-12.9,,-21.4,,-17.2,,35.2,,0,,0,,0.2,,0.2,,6,,,,<31,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/3/2017,2017,1,3,,-7.5,,-21.4,,-14.5,,32.5,,0,,0,,0,T,0,T,7,,,,<31,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/4/2017,2017,1,4,,-1.9,,-7.8,,-4.9,,22.9,,0,,0,,5.1,,2.8,,8,,,,<31,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/5/2017,2017,1,5,,-2.4,,-10.3,,-6.4,,24.4,,0,,0,,8.4,,6.4,,16,,8,,33,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/6/2017,2017,1,6,,-10.3,,-20.3,,-15.3,,33.3,,0,,0,,2.4,,1.8,,20,,7,,35,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/7/2017,2017,1,7,,-16.3,,-19.3,,-17.8,,35.8,,0,,0,,0.4,,0.4,,15,,30,,35,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/8/2017,2017,1,8,,-19.1,,-20.5,,-19.8,,37.8,,0,,0,,0,T,0,T,15,,,,<31,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/9/2017,2017,1,9,,-17.2,,-24.8,,-21,,39,,0,,0,,2.4,,2.4,,15,,24,,37,
-118.88,55.18,GRANDE PRAIRIE A,3072921,1/10/2017,2017,1,10,,-13.1,,-24.5,,-18.8,,36.8,,0,,0,,0,T,0,T,13,,32,,67,
