Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-112.8,49.63,LETHBRIDGE,3033875,1/1/2017,2017,01,01,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/2/2017,2017,01,02,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/3/2017,2017,01,03,,-18.6,,-28.5,,-23.6,,41.6,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/4/2017,2017,01,04,,-10.6,,-24.4,,-17.5,,35.5,,0,,,M,,M,0,,,,32,,39,
-112.8,49.63,LETHBRIDGE,3033875,1/5/2017,2017,01,05,,-5,,-21.4,,-13.2,,31.2,,0,,,M,,M,0,,,,23,,35,
-112.8,49.63,LETHBRIDGE,3033875,1/6/2017,2017,01,06,,-7.6,,-22,,-14.8,,32.8,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/7/2017,2017,01,07,,-15.3,,-27.6,,-21.5,,39.5,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/8/2017,2017,01,08,,-15.6,,-19.8,,-17.7,,35.7,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/9/2017,2017,01,09,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/10/2017,2017,01,10,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/11/2017,2017,01,11,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/12/2017,2017,01,12,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/13/2017,2017,01,13,,-3.1,,-8.3,,-5.7,,23.7,,0,,,M,,M,0,,,,27,,63,
-112.8,49.63,LETHBRIDGE,3033875,1/14/2017,2017,01,14,,-0.4,,-8,,-4.2,,22.2,,0,,,M,,M,0,,,,26,,63,
-112.8,49.63,LETHBRIDGE,3033875,1/15/2017,2017,01,15,,1.2,,-2.7,,-0.8,,18.8,,0,,,M,,M,0,,,,26,,67,
-112.8,49.63,LETHBRIDGE,3033875,1/16/2017,2017,01,16,,4.7,,-7.7,,-1.5,,19.5,,0,,,M,,M,0,,,,25,,70,
-112.8,49.63,LETHBRIDGE,3033875,1/17/2017,2017,01,17,,6.4,,1.5,,4,,14,,0,,,M,,M,0,,,,24,,69,
-112.8,49.63,LETHBRIDGE,3033875,1/18/2017,2017,01,18,,9.8,,0.9,,5.4,,12.6,,0,,,M,,M,0,,,,23,,61,
-112.8,49.63,LETHBRIDGE,3033875,1/19/2017,2017,01,19,,6.4,,0.6,,3.5,,14.5,,0,,,M,,M,0,,,,24,,56,
-112.8,49.63,LETHBRIDGE,3033875,1/20/2017,2017,01,20,,6.1,,-5.3,,0.4,,17.6,,0,,,M,,M,0,,,,25,,50,
-112.8,49.63,LETHBRIDGE,3033875,1/21/2017,2017,01,21,,2.1,,-10.2,,-4.1,,22.1,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/22/2017,2017,01,22,,-3.3,,-7,,-5.2,,23.2,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,1/23/2017,2017,01,23,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/24/2017,2017,01,24,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,1/25/2017,2017,01,25,,2.5,,-9.1,,-3.3,,21.3,,0,,,M,,M,0,,,,27,,33,
-112.8,49.63,LETHBRIDGE,3033875,1/26/2017,2017,01,26,,5.3,,-8.7,,-1.7,,19.7,,0,,,M,,M,0,,,,25,,48,
-112.8,49.63,LETHBRIDGE,3033875,1/27/2017,2017,01,27,,4.1,,-2.6,,0.8,,17.2,,0,,,M,,M,0,,,,27,,72,
-112.8,49.63,LETHBRIDGE,3033875,1/28/2017,2017,01,28,,8.6,,1.4,,5,,13,,0,,,M,,M,0,,,,27,,85,
-112.8,49.63,LETHBRIDGE,3033875,1/29/2017,2017,01,29,,13.7,,3.4,,8.6,,9.4,,0,,,M,,M,0,,,,25,,85,
-112.8,49.63,LETHBRIDGE,3033875,1/30/2017,2017,01,30,,4.7,,-3.1,,0.8,,17.2,,0,,,M,,M,0,,,,26,,78,
-112.8,49.63,LETHBRIDGE,3033875,1/31/2017,2017,01,31,,-3,,-13.8,,-8.4,,26.4,,0,,,M,,M,0,,,,36,,48,
-112.8,49.63,LETHBRIDGE,3033875,2/1/2017,2017,02,01,,-5.9,,-15.4,,-10.7,,28.7,,0,,,M,,M,0,,,,32,,33,
-112.8,49.63,LETHBRIDGE,3033875,2/2/2017,2017,02,02,,-6.3,,-17.6,,-12,,30,,0,,,M,,M,0,,,,20,,35,
-112.8,49.63,LETHBRIDGE,3033875,2/3/2017,2017,02,03,,-11.1,,-15.2,,-13.2,,31.2,,0,,,M,,M,1.1,,,,20,,32,
-112.8,49.63,LETHBRIDGE,3033875,2/4/2017,2017,02,04,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/5/2017,2017,02,05,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/6/2017,2017,02,06,,-16.4,,-28,,-22.2,,40.2,,0,,,M,,M,1.1,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,2/7/2017,2017,02,07,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/8/2017,2017,02,08,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/9/2017,2017,02,09,,5.7,,-17,,-5.7,,23.7,,0,,,M,,M,0,,,,21,,67,
-112.8,49.63,LETHBRIDGE,3033875,2/10/2017,2017,02,10,,4.9,,-1.6,,1.7,,16.3,,0,,,M,,M,0,,,,25,,83,
-112.8,49.63,LETHBRIDGE,3033875,2/11/2017,2017,02,11,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/12/2017,2017,02,12,,4.5,,-2.5,,1,,17,,0,,,M,,M,0,,,,25,,89,
-112.8,49.63,LETHBRIDGE,3033875,2/13/2017,2017,02,13,,8,,0.9,,4.5,,13.5,,0,,,M,,M,0,,,,26,,70,
-112.8,49.63,LETHBRIDGE,3033875,2/14/2017,2017,02,14,,11.6,,-0.8,,5.4,,12.6,,0,,,M,,M,0,,,,24,,52,
-112.8,49.63,LETHBRIDGE,3033875,2/15/2017,2017,02,15,,14.3,,0.3,,7.3,,10.7,,0,,,M,,M,0,,,,26,,63,
-112.8,49.63,LETHBRIDGE,3033875,2/16/2017,2017,02,16,,14.8,,3.1,,9,,9,,0,,,M,,M,0,,,,23,,72,
-112.8,49.63,LETHBRIDGE,3033875,2/17/2017,2017,02,17,,9.8,,-2.5,,3.7,,14.3,,0,,,M,,M,0,,,,27,,74,
-112.8,49.63,LETHBRIDGE,3033875,2/18/2017,2017,02,18,,2.8,,-4.8,,-1,,19,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,2/19/2017,2017,02,19,,9.8,,-2,,3.9,,14.1,,0,,,M,,M,0,,,,25,,44,
-112.8,49.63,LETHBRIDGE,3033875,2/20/2017,2017,02,20,,9.1,,-4,,2.6,,15.4,,0,,,M,,M,0,,,,19,,33,
-112.8,49.63,LETHBRIDGE,3033875,2/21/2017,2017,02,21,,1,,-5.1,,-2.1,,20.1,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,2/22/2017,2017,02,22,,1.4,,-3.5,,-1.1,,19.1,,0,,,M,,M,0,,,,5,,33,
-112.8,49.63,LETHBRIDGE,3033875,2/23/2017,2017,02,23,,-1.7,,-6.8,,-4.3,,22.3,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,2/24/2017,2017,02,24,,-2.4,,-12.1,,-7.3,,25.3,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,2/25/2017,2017,02,25,,2,,-10.4,,-4.2,,22.2,,0,,,M,,M,0,,,,26,,69,
-112.8,49.63,LETHBRIDGE,3033875,2/26/2017,2017,02,26,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,2/27/2017,2017,02,27,,4.1,,-20.5,,-8.2,,26.2,,0,,,M,,M,0,,,,21,,41,
-112.8,49.63,LETHBRIDGE,3033875,2/28/2017,2017,02,28,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/1/2017,2017,03,01,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/2/2017,2017,03,02,,4.3,,-12,,-3.9,,21.9,,0,,,M,,M,0,,,,23,,50,
-112.8,49.63,LETHBRIDGE,3033875,3/3/2017,2017,03,03,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/4/2017,2017,03,04,,9.3,,-7.5,,0.9,,17.1,,0,,,M,,M,0,,,,23,,69,
-112.8,49.63,LETHBRIDGE,3033875,3/5/2017,2017,03,05,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/6/2017,2017,03,06,,-8.3,,-20.9,,-14.6,,32.6,,0,,,M,,M,0,,,,27,,32,
-112.8,49.63,LETHBRIDGE,3033875,3/7/2017,2017,03,07,,-6.5,,-14.3,,-10.4,,28.4,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,3/8/2017,2017,03,08,,-8.5,,-20.5,,-14.5,,32.5,,0,,,M,,M,2.2,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,3/9/2017,2017,03,09,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/10/2017,2017,03,10,,-11.4,,-16.3,,-13.9,,31.9,,0,,,M,,M,1.6,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,3/11/2017,2017,03,11,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/12/2017,2017,03,12,,-12.3,,-16.5,,-14.4,,32.4,,0,,,M,,M,0,,,,,,<31,
-112.8,49.63,LETHBRIDGE,3033875,3/13/2017,2017,03,13,,7.1,,-16.8,,-4.9,,22.9,,0,,,M,,M,0,,,,26,,83,
-112.8,49.63,LETHBRIDGE,3033875,3/14/2017,2017,03,14,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/15/2017,2017,03,15,,16.2,,2,,9.1,,8.9,,0,,,M,,M,0,,,,24,,41,
-112.8,49.63,LETHBRIDGE,3033875,3/16/2017,2017,03,16,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,3/17/2017,2017,03,17,,9.9,,-4.1,,2.9,,15.1,,0,,,M,,M,0,,,,16,,43,
-112.8,49.63,LETHBRIDGE,3033875,3/18/2017,2017,03,18,,17.9,,1.6,,9.8,,8.2,,0,,,M,,M,0,,,,24,,80,
-112.8,49.63,LETHBRIDGE,3033875,3/19/2017,2017,03,19,,9,,-5.5,,1.8,,16.2,,0,,,M,,M,0,,,,25,,87,
-112.8,49.63,LETHBRIDGE,3033875,3/20/2017,2017,03,20,,4,,-8.4,,-2.2,,20.2,,0,,,M,,M,0,,,,7,,35,
-112.8,49.63,LETHBRIDGE,3033875,3/21/2017,2017,03,21,,10.9,,-3.3,,3.8,,14.2,,0,,,M,,M,0,,,,15,,46,
-112.8,49.63,LETHBRIDGE,3033875,3/22/2017,2017,03,22,,15.3,,1.1,,8.2,,9.8,,0,,,M,,M,0,,,,27,,82,
-112.8,49.63,LETHBRIDGE,3033875,3/23/2017,2017,03,23,,13.5,,-1.3,,6.1,,11.9,,0,,,M,,M,0,,,,26,,69,
-112.8,49.63,LETHBRIDGE,3033875,3/24/2017,2017,03,24,,15.3,,-6.9,,4.2,,13.8,,0,,,M,,M,0,,,,22,,50,
-112.8,49.63,LETHBRIDGE,3033875,3/25/2017,2017,03,25,,12.9,,-1.3,,5.8,,12.2,,0,,,M,,M,0,,,,26,,72,
-112.8,49.63,LETHBRIDGE,3033875,3/26/2017,2017,03,26,,12.2,,-2.5,,4.9,,13.1,,0,,,M,,M,0,,,,27,,44,
-112.8,49.63,LETHBRIDGE,3033875,3/27/2017,2017,03,27,,13.7,,-0.5,,6.6,,11.4,,0,,,M,,M,0,,,,26,,48,
-112.8,49.63,LETHBRIDGE,3033875,3/28/2017,2017,03,28,,12.3,,-1.7,,5.3,,12.7,,0,,,M,,M,0,,,,25,,65,
-112.8,49.63,LETHBRIDGE,3033875,3/29/2017,2017,03,29,,12.6,,1.9,,7.3,,10.7,,0,,,M,,M,0,,,,25,,63,
-112.8,49.63,LETHBRIDGE,3033875,3/30/2017,2017,03,30,,15.1,,-0.9,,7.1,,10.9,,0,,,M,,M,4.4,,,,30,,52,
-112.8,49.63,LETHBRIDGE,3033875,3/31/2017,2017,03,31,,13.3,,1.1,,7.2,,10.8,,0,,,M,,M,0.8,,,,20,,41,
-112.8,49.63,LETHBRIDGE,3033875,4/1/2017,2017,04,01,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,4/2/2017,2017,04,02,,,,,,,,,,,,,,,,,,,,,,,
-112.8,49.63,LETHBRIDGE,3033875,4/3/2017,2017,04,03,,6.7,,-3.2,,1.8,,16.2,,0,,,M,,M,2.3,,,,32,,39,
