Date,Henry USD/MMBtu,AECO 5A USD/MMBtu,AECO 5A Cad/GJ,Electricity_Daily_Average,Electricity_Daily_On_Peak_Average,Electricity_Daily_Off_Peak_Average,Electricity_30Ravg Average,Electricity_30Ravg_On_Peak_Average,Electricity_30Ravg_ Off_Peak_Average,Measured Receipts Volume (103M3),NGTL_Storage_Receipts_Volume_(103M3),NGTL_Gordondale_Receipts_Volume_(103M3),NGTL_Groundbirch_East_Receipts_Volume_(103M3),NGTL_Intra_Provincial_Deliveries_Volume_(103M3),NGTL_Border_Deliveries_Volume_(103M3),NGTL_Empress_Deliveries_Volume_(103M3),NGTL_ABC_Deliveries_Volume_(103M3),NGTL_McNeil_Deliveries_Volume_(103M3),NGTL_Gordondale_Deliveries_Volume_(103M3),NGTL_Storage_Deliveries_Volume_(103M3)
1/1/2017,,,,19.31,20.85,16.23,24.31,26.57,19.8,380090.2,39105.7,3965.8,10308,177681.6,191746.8,67435.7,65237.7,52237.2,0,684.7
1/2/2017,,,,29.85,34.2,21.13,24.82,27.19,20.07,371021.1,35628.2,2854,10221.2,186470.6,189014.8,67325.4,63451.6,51766.1,0,0
1/3/2017,,,,25.87,27.42,22.77,25.14,27.54,20.35,390506.2,56877.4,2832.5,10236,186598.2,191846.2,68786.9,62590.7,53418.3,0,0
1/4/2017,,,,25.76,29.11,19.06,25.42,27.89,20.48,384782.8,51980.7,2979.2,9510.6,179125,196232.9,68613.5,64751.8,55354.6,0,608.6
1/5/2017,,,,19.42,19.78,18.69,25.38,27.8,20.55,374240.7,41777.5,2382.7,9912.5,176935,198116.7,68541.6,65225.6,56139.9,0,643.8
1/6/2017,,,,23.21,25.45,18.72,25.26,27.61,20.55,382747.1,52707.9,2521.8,5977.2,185237,194469.7,67817.9,62737.4,56291.4,0,0
1/7/2017,,,,29.76,34.71,19.87,25.22,27.64,20.38,389438.1,58992.5,2175.8,7987.2,189708.1,193664.3,68315.6,63390.4,55437.7,0,0
1/8/2017,,,,25.75,28.56,20.15,24.88,27.24,20.16,390814.7,61211.3,2712.5,8094.3,189992.2,193050.9,68324.3,64249.5,54710.7,0,0
1/9/2017,,,,25.98,29.12,19.72,24.37,26.74,19.62,385796.3,59180.5,2670.8,8727.4,191516.5,190568.1,66853.5,64714.6,53674.3,0,0
1/10/2017,,,,24.5,26.68,20.16,23.78,26,19.33,389798.8,63982.1,2266.8,10136,190438.2,191429.1,69298,62473.7,53939.8,0,0
1/11/2017,,,,20.35,21.04,18.98,23.3,25.43,19.05,395933.5,71219.7,2243,10292.7,183641.1,196005.1,70765,66502.5,52825.1,0,0
1/12/2017,,,,19.64,20.05,18.82,23.17,25.22,19.07,377957.4,49466.8,2282.6,9503.7,180732.7,197939.9,71386.1,64223.2,55182,0,883.2
1/13/2017,,,,24.63,27.49,18.91,22.93,24.92,18.95,367157.1,38575.2,2540.2,6825.8,171047.8,192209.4,68590,61375.5,55540.1,0,611.7
1/14/2017,,,,21.71,23.27,18.6,22.47,24.42,18.57,363686.2,28559.9,2262,10247,162822.2,193256.2,69880.6,63508.4,53438.7,0,792.7
1/15/2017,,,,25.21,28.07,19.49,22.15,24.09,18.26,366123,28318.7,2253.7,9874.8,162247.5,196171.1,69485.4,64495.2,54773.7,0,788.9
1/16/2017,,,,24.84,27.59,19.33,22.26,24.25,18.28,355365.3,19533.4,2261.4,10135.9,158415.2,196049.3,71370.3,63862,53847.6,0,766.9
1/17/2017,,,,20.81,21.97,18.47,22.36,24.34,18.39,349658.8,13319.7,2715.7,10236.8,157797.9,193425.4,71694.6,62827,52243.3,0,6291
1/18/2017,,,,19.11,19.51,18.32,22.33,24.25,18.49,348933.1,12347.9,2799.1,10309,156926.1,195243.9,68494.1,65563.7,54565.2,0,5162
1/19/2017,,,,23.1,25.88,17.55,22.47,24.43,18.55,362608.7,17699.3,2658.7,10322.5,155231,185744.8,67721.9,65477.4,46338.5,0,803
1/20/2017,,,,26.26,31.13,16.51,22.71,24.78,18.59,355959.6,12095.4,2664.4,10232.1,159847,190787.4,68391,65380.5,50725.2,0,773.8
1/21/2017,,,,25.46,28.57,19.24,22.99,25.13,18.72,358922.6,14303.1,2142.5,10069.4,163433.3,194387.8,68561.3,65189.8,54294.3,0,718.1
1/22/2017,,,,24.92,28.09,18.59,23.04,25.18,18.75,358612.9,14069.2,2285.3,10341.8,168775.9,193265.1,68768.4,62764,55353.3,0,788.3
1/23/2017,,,,27.44,31.61,19.12,23.21,25.45,18.75,379852.7,37408.2,2282.5,10364.4,171163.6,196026.2,69292.6,65807.2,54749.1,0,721.7
1/24/2017,,,,28.83,33,20.48,23.23,25.58,18.52,376196.1,33504.3,2922.2,10258.4,169500.3,197331.1,70436.8,65978.2,54597.6,0,128.3
1/25/2017,,,,27.01,30.33,20.36,23.48,25.95,18.55,350663.8,9158.4,2641.1,10247.1,169316,187527.2,66596.6,67459.3,46812.1,0,323.5
1/26/2017,,,,23,25,19,23.72,26.25,18.68,371124.7,28264.7,2432.2,10170.8,162217.9,196509.3,70842.9,66439.9,52889.8,0,427.1
1/27/2017,,,,19.85,20.38,18.78,23.86,26.39,18.81,355389.1,8303.5,2711.2,10164.2,156425.7,192808.7,67898.9,66177.3,52403.1,0,4.2
1/28/2017,,,,19.09,19.43,18.43,23.86,26.33,18.92,354927.6,4697.6,2843,9975.9,153164.3,195013.3,68909.7,66556.7,53316.8,0,0
1/29/2017,,,,19.14,19.5,18.42,23.68,26.02,19,352290.3,2234,2743.9,10102.4,155087.3,196659.1,68128.5,67134.8,55144.5,0,0
1/30/2017,,,,27.45,31.85,18.67,23.91,26.32,19.09,353110.6,9173.5,2687.4,10126.9,169044.4,189529.2,66928.8,62834.2,53528.3,0,1.4
1/31/2017,,,,25.51,26.8,22.92,24.12,26.52,19.31,374379.4,26205.1,3052.5,10204.8,177472.1,186808.5,68979.4,60521.4,51462.9,0,0.2
2/1/2017,,,,25.32,27.69,20.57,23.96,26.3,19.29,373753.2,26199.4,2514.1,10177.8,178263.1,188855.5,69262,63881.1,50231.5,0,0
2/2/2017,,,,22.51,24.01,19.52,23.85,26.19,19.18,369859.8,25831.6,2886.2,10272.7,176802.8,191548.2,69290.2,66326.3,50467.4,0,0
2/3/2017,,,,24.97,26.98,20.96,23.83,26.12,19.24,380015.4,36935.1,2977.8,10123.7,180629.7,191011.6,69630.3,64038.2,51665.8,0,0.3
2/4/2017,,,,27.38,30.81,20.51,24.09,26.49,19.31,375203.3,35930.2,2267.8,10153,183218.6,192012.3,69652.4,65195.5,51660,0,0
2/5/2017,,,,27.65,31.06,20.82,24.24,26.67,19.37,385924.9,47774.9,2280.6,9727.4,190016.9,190737.6,69685.3,63868.9,51722.2,0,0.9
2/6/2017,,,,23.33,25.25,19.51,24.03,26.36,19.36,391972.3,61704.1,2144.7,9493.5,195592.7,185152,69379.7,56782.1,53569.2,0,0
2/7/2017,,,,24.89,27.58,19.52,24,26.32,19.34,383253,65915.9,2992.2,5548.7,187685.8,191484.8,70045.1,64562.2,51357.9,0,0
2/8/2017,,,,27.45,31.05,20.24,24.05,26.39,19.36,380629.8,61683.7,2211.8,7784.7,180174.8,191660.5,69930.4,64646.6,51230.4,0,0
2/9/2017,,,,22.24,23.34,20.06,23.97,26.28,19.36,367242.6,43730.1,2261,8988.8,170974.5,184667.9,67917.1,63072.7,47695.1,0,0
