date,open,high,low,close*,adj_close**,volume
2017-01-03,2251.57,2263.88,2245.13,2257.83,2257.83,3773010000.0
2017-01-04,2261.6,2272.82,2261.6,2270.75,2270.75,3768890000.0
2017-01-05,2268.18,2271.5,2260.45,2269.0,2269.0,3785080000.0
2017-01-06,2271.14,2282.1,2264.06,2276.98,2276.98,3342080000.0
2017-01-09,2273.59,2275.49,2268.9,2268.9,2268.9,3219730000.0
2017-01-10,2269.72,2279.27,2265.27,2268.9,2268.9,3640560000.0
2017-01-11,2268.6,2275.32,2260.83,2275.32,2275.32,3625080000.0
2017-01-12,2271.14,2271.78,2254.25,2270.44,2270.44,3466220000.0
2017-01-13,2272.74,2278.68,2271.51,2274.64,2274.64,3090680000.0
2017-01-17,2269.14,2272.08,2262.81,2267.89,2267.89,3586950000.0
2017-01-18,2269.14,2272.01,2263.35,2271.89,2271.89,3317670000.0
2017-01-19,2271.9,2274.33,2258.41,2263.69,2263.69,3168390000.0
2017-01-20,2269.96,2276.96,2265.01,2271.31,2271.31,3536850000.0
2017-01-23,2267.78,2271.78,2257.02,2265.2,2265.2,3155240000.0
2017-01-24,2267.88,2284.63,2266.68,2280.07,2280.07,3816950000.0
2017-01-25,2288.88,2299.55,2288.88,2298.37,2298.37,3849340000.0
2017-01-26,2298.63,2300.99,2294.08,2296.68,2296.68,3611510000.0
2017-01-27,2299.02,2299.02,2291.62,2294.69,2294.69,3137420000.0
2017-01-30,2286.01,2286.01,2268.04,2280.9,2280.9,3595040000.0
2017-01-31,2274.02,2279.09,2267.21,2278.87,2278.87,4089730000.0
2017-02-01,2285.59,2289.14,2272.44,2279.55,2279.55,3919190000.0
2017-02-02,2276.69,2283.97,2271.65,2280.85,2280.85,3809760000.0
2017-02-03,2288.54,2298.31,2287.88,2297.42,2297.42,3605970000.0
2017-02-06,2294.28,2296.18,2288.57,2292.56,2292.56,3112390000.0
2017-02-07,2295.87,2299.4,2290.16,2293.08,2293.08,3452460000.0
2017-02-08,2289.55,2295.91,2285.38,2294.67,2294.67,3611950000.0
2017-02-09,2296.7,2311.08,2296.61,2307.87,2307.87,3681600000.0
2017-02-10,2312.27,2319.23,2311.1,2316.1,2316.1,3496600000.0
2017-02-13,2321.72,2331.58,2321.42,2328.25,2328.25,3352370000.0
2017-02-14,2326.12,2337.58,2322.17,2337.58,2337.58,3528040000.0
2017-02-15,2335.58,2351.3,2334.81,2349.25,2349.25,3785870000.0
2017-02-16,2349.64,2351.31,2338.87,2347.22,2347.22,3675900000.0
