"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-01","1.9","0.0","0.0","0.0","13.3","2.8"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-02","3.5","8.9","0.0","0.0","7.8","5.0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-03","2.6","21.8","0.0","0.0","7.8","6.1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-04","4.4","0.0","0.0","0.0","13.9","1.7"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-05","2.9","0.0","0.0","0.0","2.8","-1.0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-06","5.5","0.0","0.0","0.0","1.7","-2.7"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-07","6.6","0.3","10.0","0.0","-2.7","-7.1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-08","6.4","0.0","0.0","0.0","-3.8","-9.3"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-09","3.8","0.0","0.0","0.0","-1.6","-8.8"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-10","5.4","0.0","0.0","0.0","5.0","-5.5"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-11","4.2","1.8","0.0","0.0","13.9","1.7"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-12","8.3","0.5","0.0","0.0","22.2","10.6"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-13","5.6","0.0","0.0","0.0","18.3","6.1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-14","2.2","7.4","0.0","0.0","6.1","1.1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-15","2.6","0.0","0.0","0.0","9.4","2.2"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-16","2.5","0.3","0.0","0.0","7.8","3.3"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-17","2.2","5.3","0.0","0.0","11.7","5.0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-18","5.0","0.0","0.0","0.0","15.6","6.7"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-19","2.8","0.0","0.0","0.0","11.7","4.4"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-20","1.6","0.3","0.0","0.0","9.4","3.9"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-21","2.3","0.0","0.0","0.0","10.0","8.3"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2017-01-22","3.8","3.8","0.0","0.0","11.1","7.8"
