,,,,,,,,Supply and Disposition of NGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Unit = m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Run Date:  26 March 2018,,,,,,,,,,,,,,,Year To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2017,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2018,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2019,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2020,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2021,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2022,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,2023
,Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opening Inventory,"578,202.40","494,874.30","379,897.90","384,956.80","528,499.60","560,887.40","587,259.40","480,343.60","461,309.40","523,978.40","417,055.60","487,926.20",,"578,202.40","607,862.90","489,981.60","494,948.80","341,427.10","380,551.90","568,125.60","692,912.90","777,851.40","751,969.20","892,669.20","823,472.60","741,543.90",,"607,862.90","589,625.50","444,795.70","395,459.50","382,218.20","434,126.70","365,807.10","367,531.00","382,052.00","393,812.50","524,971.90","447,596.30","397,137.70",,"589,625.50","398,254.60","477,187.80","429,878.90","532,487.10","482,499.40","612,039.30","659,675.40","704,829.90","847,480.80","716,227.30","538,372.70","539,963.20",,"398,254.60","569,279.30","546,488.10","505,603.60","532,140.30","642,282.40","713,137.60","898,473.90","967,212.90","1,117,886.30","1,095,757.00","877,453.90","818,655.90",,"569,279.30","736,164.90","728,527.00","696,388.80","672,716.10","722,111.70","722,000.00","630,633.50","655,692.30","661,326.80","782,683.10","652,971.80","623,242.50",,"736,164.90","672,669.20","512,420.10","439,265.30","393,183.40","460,762.40","491,680.30","533,843.60","618,580.40","731,785.00","1,051,198.20","804,167.10", -   ,,"672,669.20"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plant/Gathering System Process,"1,783,871.80","1,578,397.90","1,809,248.10","1,627,159.30","1,636,067.40","1,519,140.50","1,732,927.00","1,665,998.70","1,695,247.60","1,720,594.00","1,716,337.70","1,861,086.60",,"20,346,076.60","1,827,842.80","1,625,225.50","1,780,341.70","1,731,343.70","1,657,663.70","1,579,378.30","1,722,134.90","1,856,736.20","1,776,405.60","1,894,907.80","1,861,215.40","2,009,587.80",,"21,322,783.40","1,932,159.50","1,645,726.60","1,938,105.70","1,814,875.40","1,840,722.60","1,807,231.70","1,805,331.90","1,921,931.80","1,810,063.30","1,774,720.00","1,886,892.70","1,941,568.20",,"22,119,329.40","1,880,051.20","1,831,212.10","1,877,281.50","1,803,837.80","1,791,269.60","1,742,361.40","1,821,493.10","1,793,711.90","1,669,000.20","1,784,601.30","1,807,189.30","1,887,391.50",,"21,689,400.90","1,942,578.90","1,674,698.50","1,927,439.60","1,867,991.00","1,844,777.00","1,733,477.10","1,807,959.10","1,785,001.30","1,525,721.20","1,806,588.20","1,828,656.70","1,853,962.80",,"21,598,851.40","1,896,645.50","1,786,915.90","2,054,617.40","1,970,785.70","1,816,217.80","1,808,994.80","1,956,063.90","1,880,340.90","1,892,056.60","1,984,118.30","1,876,308.20","1,976,185.20",,"22,899,250.20","1,987,105.20","1,784,053.00","1,980,901.90","1,808,522.50","1,570,175.40","1,728,529.90","2,133,273.10","2,075,912.50","1,878,447.90","1,988,595.30","2,000,292.40", -   ,,"20,935,809.10"
,,Oil Sands Facility Process,"144,477.20","127,869.50","100,834.00","93,626.40","132,206.90","160,265.60","167,509.70","150,937.20","125,055.50","104,843.20","169,394.00","170,989.40",,"1,648,008.60","114,878.80","169,252.40","196,946.90","123,801.30","131,389.60","151,046.60","206,439.30","185,573.20","114,820.70","174,054.20","175,847.00","164,141.20",,"1,908,191.20","195,620.90","138,096.60","178,441.20","157,306.00","116,345.20","154,516.50","131,227.00","185,386.60","65,506.20","136,689.00","153,657.80","173,488.70",,"1,786,281.70","171,237.90","174,578.80","190,174.20","179,583.30","181,425.40","172,031.70","178,589.70","158,201.80","131,592.80","149,404.30","169,898.80","197,241.60",,"2,053,960.30","192,862.90","161,616.80","176,180.50","116,975.40","172,653.30","176,694.00","179,422.20","82,927.00","118,131.90","148,416.00","150,250.90","148,543.00",,"1,824,673.90","197,182.10","172,517.00","199,088.50","190,712.10","133,607.80","154,685.10","178,682.30","194,137.60","162,602.30","150,994.90","193,212.30","186,911.10",,"2,114,333.10","162,216.50","178,992.40","193,473.20","177,889.20","156,768.00","149,154.80","183,730.00","177,821.80","68,214.40","122,496.80","171,627.20", -   ,,"1,742,384.30"
