Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-115.55,51.19,BANFF CS,3050519,1/1/2017,2017,01,01,,-8.2,,-18.4,,-13.3,,31.3,,0,,,M,,M,0.6,,14,,6,,37,
-115.55,51.19,BANFF CS,3050519,1/2/2017,2017,01,02,,-17.3,,-31,,-24.2,,42.2,,0,,,M,,M,3.3,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/3/2017,2017,01,03,,-19.3,,-36.7,,-28,,46,,0,,,M,,M,3.2,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/4/2017,2017,01,04,,-15.2,,-31.6,,-23.4,,41.4,,0,,,M,,M,0.3,,13,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/5/2017,2017,01,05,,-10.2,,-15.6,,-12.9,,30.9,,0,,,M,,M,0,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/6/2017,2017,01,06,,-10.5,,-16.3,,-13.4,,31.4,,0,,,M,,M,0,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/7/2017,2017,01,07,,-11.7,,-20.3,,-16,,34,,0,,,M,,M,0.4,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/8/2017,2017,01,08,,-12.2,,-26.9,,-19.6,,37.6,,0,,,M,,M,0.6,,14,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/9/2017,2017,01,09,,-16.6,,-21.1,,-18.9,,36.9,,0,,,M,,M,5.4,,18,,7,,32,
-115.55,51.19,BANFF CS,3050519,1/10/2017,2017,01,10,,-15.9,,-32.4,,-24.2,,42.2,,0,,,M,,M,3.5,,23,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/11/2017,2017,01,11,,-15,,-35.2,,-25.1,,43.1,,0,,,M,,M,0.5,,22,,,,<31,
-115.55,51.19,BANFF CS,3050519,1/12/2017,2017,01,12,,-12.4,,-23.7,,-18.1,,36.1,,0,,,M,,M,0,,22,,21,,44,
-115.55,51.19,BANFF CS,3050519,1/13/2017,2017,01,13,,-10.6,,-19.2,,-14.9,,32.9,,0,,,M,,M,0,,16,,23,,43,
-115.55,51.19,BANFF CS,3050519,1/14/2017,2017,01,14,,-9.7,,-17.2,,-13.5,,31.5,,0,,,M,,M,0,,16,,23,,48,
-115.55,51.19,BANFF CS,3050519,1/15/2017,2017,01,15,,-4.9,,-13.7,,-9.3,,27.3,,0,,,M,,M,0,,14,,24,,43,
-115.55,51.19,BANFF CS,3050519,1/16/2017,2017,01,16,,-3.9,,-12.2,,-8.1,,26.1,,0,,,M,,M,0,,12,,23,,54,
