Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.01,51.12,CALGARY INTL A,3031092,1/1/2017,2017,1,1,,-7.8,,-17.4,,-12.6,,30.6,,0,,0,,3.6,,2,,12,,1,,46,
-114.01,51.12,CALGARY INTL A,3031092,1/2/2017,2017,1,2,,-16.1,,-26.1,,-21.1,,39.1,,0,,0,,0,T,0,T,14,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/3/2017,2017,1,3,,-15.5,,-22.4,,-19,,37,,0,,0.1,,0.4,,0.3,,14,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/4/2017,2017,1,4,,-7.2,,-17.2,,-12.2,,30.2,,0,,0,,0,T,0,T,13,,35,,43,
-114.01,51.12,CALGARY INTL A,3031092,1/5/2017,2017,1,5,,-3.5,,-15.8,,-9.7,,27.7,,0,,0,,2.2,,1.2,,13,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/6/2017,2017,1,6,,-9.9,,-17,,-13.5,,31.5,,0,,,M,3,,1.6,,15,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/7/2017,2017,1,7,,-14.9,,-19.2,,-17.1,,35.1,,0,,0,,0.4,,0.4,,16,,36,,43,
-114.01,51.12,CALGARY INTL A,3031092,1/8/2017,2017,1,8,,-17.4,,-19.8,,-18.6,,36.6,,0,,0,,0,T,0,T,16,,19,,37,
-114.01,51.12,CALGARY INTL A,3031092,1/9/2017,2017,1,9,,-19.5,,-23.1,,-21.3,,39.3,,0,,,M,4.3,,4.2,,20,,35,,37,
-114.01,51.12,CALGARY INTL A,3031092,1/10/2017,2017,1,10,,-16.2,,-22.1,,-19.2,,37.2,,0,,0,,0.4,,0.4,,20,,35,,44,
-114.01,51.12,CALGARY INTL A,3031092,1/11/2017,2017,1,11,,-6,,-23.1,,-14.6,,32.6,,0,,0,,0,,0,,20,,34,,41,
-114.01,51.12,CALGARY INTL A,3031092,1/12/2017,2017,1,12,,-2.9,,-20.1,,-11.5,,29.5,,0,,0,,0,T,0,T,19,,28,,50,
-114.01,51.12,CALGARY INTL A,3031092,1/13/2017,2017,1,13,,-2.6,,-13.4,,-8,,26,,0,,0,,0,,0,,19,,28,,48,
-114.01,51.12,CALGARY INTL A,3031092,1/14/2017,2017,1,14,,6.2,,-14.1,,-4,,22,,0,,0,,0,,0,,16,,28,,52,
-114.01,51.12,CALGARY INTL A,3031092,1/15/2017,2017,1,15,,7,,-1.3,,2.9,,15.1,,0,,0,,0,,0,,10,,29,,52,
-114.01,51.12,CALGARY INTL A,3031092,1/16/2017,2017,1,16,,9.6,,-6.3,,1.7,,16.3,,0,,0,,0,,0,,8,,28,,35,
-114.01,51.12,CALGARY INTL A,3031092,1/17/2017,2017,1,17,,10.2,,0.7,,5.5,,12.5,,0,,0,,0,,0,,7,,22,,37,
-114.01,51.12,CALGARY INTL A,3031092,1/18/2017,2017,1,18,,7.7,E,,M,,M,,M,,M,0,,0,,0,,5,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/19/2017,2017,1,19,,9.9,,-0.8,,4.6,,13.4,,0,,0,,0,,0,,5,,27,,39,
-114.01,51.12,CALGARY INTL A,3031092,1/20/2017,2017,1,20,,5.7,,-7.8,,-1.1,,19.1,,0,,0,,0,,0,,5,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/21/2017,2017,1,21,,2.1,,-10.3,,-4.1,,22.1,,0,,0,,0,,0,,3,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/22/2017,2017,1,22,,-3.1,,-6.3,,-4.7,,22.7,,0,,0,,0.2,,0.2,,3,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/23/2017,2017,1,23,,-3.2,,-7.5,,-5.4,,23.4,,0,,0,,0,T,0,T,2,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/24/2017,2017,1,24,,0.5,,-11.1,,-5.3,,23.3,,0,,0,,0,,0,,2,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/25/2017,2017,1,25,,1.6,,-7.2,,-2.8,,20.8,,0,,0,,0,,0,,1,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/26/2017,2017,1,26,,4.8,,-6.9,,-1.1,,19.1,,0,,0,,0,,0,,2,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,1/27/2017,2017,1,27,,7.4,,-7.4,,0,,18,,0,,0,,0,,0,,2,,29,,65,
-114.01,51.12,CALGARY INTL A,3031092,1/28/2017,2017,1,28,,10.8,,5.8,,8.3,,9.7,,0,,0,,0,,0,,2,,28,,69,
-114.01,51.12,CALGARY INTL A,3031092,1/29/2017,2017,1,29,,13,,4.8,,8.9,,9.1,,0,,0,,0,,0,,0,T,27,,74,
-114.01,51.12,CALGARY INTL A,3031092,1/30/2017,2017,1,30,,5.3,,-4.7,,0.3,,17.7,,0,,0,,0,,0,,0,T,26,,63,
-114.01,51.12,CALGARY INTL A,3031092,1/31/2017,2017,1,31,,-4.6,,-12.1,,-8.4,,26.4,,0,,0.2,,0,T,0.2,,0,T,34,,50,
-114.01,51.12,CALGARY INTL A,3031092,2/1/2017,2017,2,1,,-7.1,,-11.8,,-9.5,,27.5,,0,,0.2,,0,,0.2,,0,T,34,,41,
-114.01,51.12,CALGARY INTL A,3031092,2/2/2017,2017,2,2,,-6.2,,-14.7,,-10.5,,28.5,,0,,0,,0,,0,,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/3/2017,2017,2,3,,-11.1,,-18.6,,-14.9,,32.9,,0,,0,,2.8,,2.8,,0,T,34,,35,
-114.01,51.12,CALGARY INTL A,3031092,2/4/2017,2017,2,4,,-14.2,,-17.4,,-15.8,,33.8,,0,,,M,3.6,,2.8,,4,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/5/2017,2017,2,5,,-16,,-19.8,,-17.9,,35.9,,0,,0,,9.6,,8.4,,8,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/6/2017,2017,2,6,,-19.6,,-25.2,,-22.4,,40.4,,0,,0,,8.6,,7.8,,19,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/7/2017,2017,2,7,,-20.9,,-29.6,,-25.3,,43.3,,0,,0,,0,T,0,T,23,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/8/2017,2017,2,8,,-13.7,,-29.5,,-21.6,,39.6,,0,,0,,0,,0,,23,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/9/2017,2017,2,9,,-6.9,,-17.3,,-12.1,,30.1,,0,,0,,0,,0,,23,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/10/2017,2017,2,10,,5.9,,-16.4,,-5.3,,23.3,,0,,0,,0,,0,,23,,27,,50,
-114.01,51.12,CALGARY INTL A,3031092,2/11/2017,2017,2,11,,2.7,,-8.1,,-2.7,,20.7,,0,,0,,0,,0,,20,,33,,70,
-114.01,51.12,CALGARY INTL A,3031092,2/12/2017,2017,2,12,,6.3,,-4.2,,1.1,,16.9,,0,,0,,0,,0,,15,,28,,65,
-114.01,51.12,CALGARY INTL A,3031092,2/13/2017,2017,2,13,,9.2,,2.9,,6.1,,11.9,,0,,0,,0,,0,,12,,27,,56,
-114.01,51.12,CALGARY INTL A,3031092,2/14/2017,2017,2,14,,12.1,,-3.4,,4.4,,13.6,,0,,0,,0,,0,,10,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/15/2017,2017,2,15,,16.4,,-2.3,,7.1,,10.9,,0,,0,,0,,0,,6,,30,,43,
-114.01,51.12,CALGARY INTL A,3031092,2/16/2017,2017,2,16,,15,,-0.4,,7.3,,10.7,,0,,0,,0,,0,,4,,29,,63,
-114.01,51.12,CALGARY INTL A,3031092,2/17/2017,2017,2,17,,9.9,,-1.9,,4,,14,,0,,0,,0,,0,,0,T,27,,44,
-114.01,51.12,CALGARY INTL A,3031092,2/18/2017,2017,2,18,,1.7,,-5.4,,-1.9,,19.9,,0,,0,,3.6,,2.4,,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/19/2017,2017,2,19,,1.4,,-4,,-1.3,,19.3,,0,,0,,0,,0,,3,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/20/2017,2017,2,20,,0.8,,-7.1,,-3.2,,21.2,,0,,0,,0,,0,,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/21/2017,2017,2,21,,1.6,E,,M,,M,,M,,M,0,,0,T,0,T,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/22/2017,2017,2,22,,-1.3,,-6.2,,-3.8,,21.8,,0,,0,,0.8,,0.8,,0,T,34,,50,
-114.01,51.12,CALGARY INTL A,3031092,2/23/2017,2017,2,23,,-2.4,,-8,,-5.2,,23.2,,0,,0,,0.2,,0.2,,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/24/2017,2017,2,24,,-5.9,,-11,,-8.5,,26.5,,0,,0,,4,,3.6,,0,T,2,,32,
-114.01,51.12,CALGARY INTL A,3031092,2/25/2017,2017,2,25,,-3.1,,-10.5,,-6.8,,24.8,,0,,0.2,,1.2,,1,,4,,1,,35,
-114.01,51.12,CALGARY INTL A,3031092,2/26/2017,2017,2,26,,-5.9,,-13.5,,-9.7,,27.7,,0,,0,,1.4,,0.8,,5,,36,,46,
-114.01,51.12,CALGARY INTL A,3031092,2/27/2017,2017,2,27,,-8.6,,-17.2,,-12.9,,30.9,,0,,0,,0,T,0,T,,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,2/28/2017,2017,2,28,,-5.9,,-13.9,,-9.9,,27.9,,0,,0,,0,,0,,4,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,3/1/2017,2017,3,1,,0.7,,-12.7,,-6,,24,,0,,0,,0,T,0,T,4,,3,,39,
-114.01,51.12,CALGARY INTL A,3031092,3/2/2017,2017,3,2,,2.5,,-11.7,,-4.6,,22.6,,0,,0,,0,,0,,2,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,3/3/2017,2017,3,3,,9.6,,-5.9,,1.9,,16.1,,0,,0,,0,,0,,2,,23,,54,
-114.01,51.12,CALGARY INTL A,3031092,3/4/2017,2017,3,4,,-3.5,,-12.3,,-7.9,,25.9,,0,,0,,0,T,0,T,0,T,1,,48,
-114.01,51.12,CALGARY INTL A,3031092,3/5/2017,2017,3,5,,-9.9,,-13.4,,-11.7,,29.7,,0,,0,,2.4,,2.2,,0,T,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,3/6/2017,2017,3,6,,-9.8,,-14.6,,-12.2,,30.2,,0,,0,,0.2,,0.2,,2,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,3/7/2017,2017,3,7,,-9.8,,-16.2,,-13,,31,,0,,0,,0,T,0,T,2,,35,,33,
-114.01,51.12,CALGARY INTL A,3031092,3/8/2017,2017,3,8,,-13.8,,-20.2,,-17,,35,,0,,0,,6.1,,5.5,,7,,2,,32,
-114.01,51.12,CALGARY INTL A,3031092,3/9/2017,2017,3,9,,-17.2,,-22.4,,-19.8,,37.8,,0,,0,,2.6,,2,,6,,16,,32,
-114.01,51.12,CALGARY INTL A,3031092,3/10/2017,2017,3,10,,-16.9,,-20.3,,-18.6,,36.6,,0,,0,,3.1,,2.3,,9,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,3/11/2017,2017,3,11,,-15.1,,-20.3,,-17.7,,35.7,,0,,0,,1,,0.8,,8,,15,,32,
-114.01,51.12,CALGARY INTL A,3031092,3/12/2017,2017,3,12,,-12.3,,-19.2,,-15.8,,33.8,,0,,0,,0,T,0,T,9,,15,,39,
-114.01,51.12,CALGARY INTL A,3031092,3/13/2017,2017,3,13,,9.3,,-16.4,,-3.6,,21.6,,0,,0,,0,T,0,T,9,,29,,39,
-114.01,51.12,CALGARY INTL A,3031092,3/14/2017,2017,3,14,,9.2,,-0.8,,4.2,,13.8,,0,,0,,0,,0,,7,,14,,37,
-114.01,51.12,CALGARY INTL A,3031092,3/15/2017,2017,3,15,,14.5,,-2.2,,6.2,,11.8,,0,,0,,0,,0,,3,,36,,46,
-114.01,51.12,CALGARY INTL A,3031092,3/16/2017,2017,3,16,,9.5,,-1.4,,4.1,,13.9,,0,,0,,1.3,,1,,0,T,35,,56,
-114.01,51.12,CALGARY INTL A,3031092,3/17/2017,2017,3,17,,6.2,,-4.8,,0.7,,17.3,,0,,0,,0,,0,,0,T,16,,39,
-114.01,51.12,CALGARY INTL A,3031092,3/18/2017,2017,3,18,,15.4,,-3.5,,6,,12,,0,,0.6,,0,,0.6,,0,T,28,,83,
-114.01,51.12,CALGARY INTL A,3031092,3/19/2017,2017,3,19,,4.5,,-5.1,,-0.3,,18.3,,0,,0,,0,,0,,,,28,,57,
-114.01,51.12,CALGARY INTL A,3031092,3/20/2017,2017,3,20,,1.2,,-7,,-2.9,,20.9,,0,,0,,0,,0,,,,2,,35,
-114.01,51.12,CALGARY INTL A,3031092,3/21/2017,2017,3,21,,5.8,,-4.5,,0.7,,17.3,,0,,0,T,0,,0,T,,,19,,61,
-114.01,51.12,CALGARY INTL A,3031092,3/22/2017,2017,3,22,,14,,-1.1,,6.5,,11.5,,0,,1.4,,0,,1.4,,,,27,,46,
-114.01,51.12,CALGARY INTL A,3031092,3/23/2017,2017,3,23,,10.9,,-1.8,,4.6,,13.4,,0,,0.2,,0,,0.2,,,,27,,54,
-114.01,51.12,CALGARY INTL A,3031092,3/24/2017,2017,3,24,,13.9,,-3.6,,5.2,,12.8,,0,,0,,0,,0,,,,16,,44,
-114.01,51.12,CALGARY INTL A,3031092,3/25/2017,2017,3,25,,12.3,,-0.2,,6.1,,11.9,,0,,0,,0,,0,,,,25,,44,
-114.01,51.12,CALGARY INTL A,3031092,3/26/2017,2017,3,26,,10.3,,-4.6,,2.9,,15.1,,0,,0,,0,,0,,,,28,,41,
-114.01,51.12,CALGARY INTL A,3031092,3/27/2017,2017,3,27,,12.3,,0.8,,6.6,,11.4,,0,,0,T,0,,0,T,,,23,,37,
-114.01,51.12,CALGARY INTL A,3031092,3/28/2017,2017,3,28,,11.6,,-2.2,,4.7,,13.3,,0,,0,,0,,0,,,,29,,43,
-114.01,51.12,CALGARY INTL A,3031092,3/29/2017,2017,3,29,,11.3,,-1.4,,5,,13,,0,,0,,0,,0,,,,16,,41,
-114.01,51.12,CALGARY INTL A,3031092,3/30/2017,2017,3,30,,11.6,,-2.1,,4.8,,13.2,,0,,0,,0,,0,,,,34,,52,
-114.01,51.12,CALGARY INTL A,3031092,3/31/2017,2017,3,31,,14.6,,-2.5,,6.1,,11.9,,0,,0,,0,,0,,,,17,,43,
-114.01,51.12,CALGARY INTL A,3031092,4/1/2017,2017,4,1,,15.6,,-0.7,,7.5,,10.5,,0,,0.2,,0,,0.2,,,,29,,67,
-114.01,51.12,CALGARY INTL A,3031092,4/2/2017,2017,4,2,,3.7,,-2,,0.9,,17.1,,0,,0,,7.2,,7.2,,5,,33,,46,
-114.01,51.12,CALGARY INTL A,3031092,4/3/2017,2017,4,3,,7.6,,-3.5,,2.1,,15.9,,0,,0,,0,,0,,3,,33,,50,
-114.01,51.12,CALGARY INTL A,3031092,4/4/2017,2017,4,4,,11.4,,-6.6,,2.4,,15.6,,0,,0,,0,,0,,0,T,20,,37,
-114.01,51.12,CALGARY INTL A,3031092,4/5/2017,2017,4,5,,16.7,,-3,,6.9,,11.1,,0,,0,,0,,0,,,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,4/6/2017,2017,4,6,,18,,5,,11.5,,6.5,,0,,0,,0,,0,,,,21,,54,
-114.01,51.12,CALGARY INTL A,3031092,4/7/2017,2017,4,7,,10.3,,-2.4,,4,,14,,0,,11.8,,0,,11.8,,,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,4/8/2017,2017,4,8,,12.3,,2.4,,7.4,,10.6,,0,,0,,0,,0.2,,,,28,,41,
-114.01,51.12,CALGARY INTL A,3031092,4/9/2017,2017,4,9,,7.7,,1.4,,4.6,,13.4,,0,,0.8,,0,,0.8,,,,16,,35,
-114.01,51.12,CALGARY INTL A,3031092,4/10/2017,2017,4,10,,11.5,,-2.6,,4.5,,13.5,,0,,0,T,0,,0,T,,,34,,46,
-114.01,51.12,CALGARY INTL A,3031092,4/11/2017,2017,4,11,,9.9,,-0.3,,4.8,,13.2,,0,,0,T,0,,0,T,0,T,31,,46,
-114.01,51.12,CALGARY INTL A,3031092,4/12/2017,2017,4,12,,7,,-1.1,,3,,15,,0,,0.4,,0,,0.4,,0,T,8,,43,
-114.01,51.12,CALGARY INTL A,3031092,4/13/2017,2017,4,13,,3.8,,0.2,,2,,16,,0,,12.1,,2.4,,14.5,,2,,10,,39,
-114.01,51.12,CALGARY INTL A,3031092,4/14/2017,2017,4,14,,11.3,,-0.1,,5.6,,12.4,,0,,0,,0,,0,,,,33,,50,
-114.01,51.12,CALGARY INTL A,3031092,4/15/2017,2017,4,15,,3.9,,-3.4,,0.3,,17.7,,0,,0,,1.2,,1.2,,0,T,33,,44,
-114.01,51.12,CALGARY INTL A,3031092,4/16/2017,2017,4,16,,8.6,,-5.5,,1.6,,16.4,,0,,0,,0,,0,,0,T,15,,50,
-114.01,51.12,CALGARY INTL A,3031092,4/17/2017,2017,4,17,,11.6,,-1.4,,5.1,,12.9,,0,,0,T,0,,0,T,,,9,,37,
-114.01,51.12,CALGARY INTL A,3031092,4/18/2017,2017,4,18,,14.4,,0.8,,7.6,,10.4,,0,,0.4,,0,,0.4,,,,0,,50,
-114.01,51.12,CALGARY INTL A,3031092,4/19/2017,2017,4,19,,13.8,,1.6,,7.7,,10.3,,0,,4,,0,,4,,,,14,,41,
-114.01,51.12,CALGARY INTL A,3031092,4/20/2017,2017,4,20,,15.2,,0.9,,8.1,,9.9,,0,,0.2,,0,,0.2,,,,32,,44,
-114.01,51.12,CALGARY INTL A,3031092,4/21/2017,2017,4,21,,10.7,,2.6,,6.7,,11.3,,0,,0.4,,0,,0.4,,,,35,,43,
-114.01,51.12,CALGARY INTL A,3031092,4/22/2017,2017,4,22,,12.6,,-1.4,,5.6,,12.4,,0,,7.2,,0,,7.2,,,,8,,44,
-114.01,51.12,CALGARY INTL A,3031092,4/23/2017,2017,4,23,,10.9,,1.2,,6.1,,11.9,,0,,3.2,,0,,3.2,,,,13,,37,
-114.01,51.12,CALGARY INTL A,3031092,4/24/2017,2017,4,24,,4.5,,-0.1,,2.2,,15.8,,0,,4.2,,0,,4.2,,0,T,5,,32,
-114.01,51.12,CALGARY INTL A,3031092,4/25/2017,2017,4,25,,1.2,,-2.4,,-0.6,,18.6,,0,,,M,5.2,,9,,3,,35,,35,
-114.01,51.12,CALGARY INTL A,3031092,4/26/2017,2017,4,26,,3.6,,-3,,0.3,,17.7,,0,,0,,0,T,0,T,1,,,,<31,
-114.01,51.12,CALGARY INTL A,3031092,4/27/2017,2017,4,27,,8.5,,0.7,,4.6,,13.4,,0,,0,,0.4,,0.4,,,,6,,35,
-114.01,51.12,CALGARY INTL A,3031092,4/28/2017,2017,4,28,,9.7,,0,,4.9,,13.1,,0,,0,,0.2,,0.2,,0,T,35,,41,
-114.01,51.12,CALGARY INTL A,3031092,4/29/2017,2017,4,29,,13.5,,1.5,,7.5,,10.5,,0,,0,T,0,,0,T,,,20,,39,
-114.01,51.12,CALGARY INTL A,3031092,4/30/2017,2017,4,30,,14.2,,4,,9.1,,8.9,,0,,1.8,,0,,1.8,,,,34,,67,
-114.01,51.12,CALGARY INTL A,3031092,5/1/2017,2017,5,1,,13,,1.3,,7.2,,10.8,,0,,0,T,0,,0,T,,,33,,37,
-114.01,51.12,CALGARY INTL A,3031092,5/2/2017,2017,5,2,,12.5,,2,,7.3,,10.7,,0,,0,T,0,,0,T,,,35,,52,
