Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-112.82,53.05,CAMROSE,3011240,1/1/2017,2017,01,01,,-9.5,,-23.4,,-16.5,,34.5,,0,,,M,,M,0.3,,24,,31,,33,
-112.82,53.05,CAMROSE,3011240,1/2/2017,2017,01,02,,-17.5,,-25,,-21.3,,39.3,,0,,,M,,M,0,,23,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/3/2017,2017,01,03,,-15.9,,-24.4,,-20.2,,38.2,,0,,,M,,M,0.2,,23,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/4/2017,2017,01,04,,-9.1,,-16.5,,-12.8,,30.8,,0,,,M,,M,0,,24,,32,,37,
-112.82,53.05,CAMROSE,3011240,1/5/2017,2017,01,05,,-6.7,,-18,,-12.4,,30.4,,0,,,M,,M,1.2,,26,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/6/2017,2017,01,06,,-17.1,,-21.9,,-19.5,,37.5,,0,,,M,,M,0.2,,26,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/7/2017,2017,01,07,,-15.6,,-21.8,,-18.7,,36.7,,0,,,M,,M,0.7,,26,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/8/2017,2017,01,08,,-18.4,,-26.2,,-22.3,,40.3,,0,,,M,,M,1,,27,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/9/2017,2017,01,09,,-18,,-22.4,,-20.2,,38.2,,0,,,M,,M,3.9,,28,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/10/2017,2017,01,10,,-17.7,,-28.6,,-23.2,,41.2,,0,,,M,,M,0.6,,30,,32,,43,
-112.82,53.05,CAMROSE,3011240,1/11/2017,2017,01,11,,-5.9,,-26.3,,-16.1,,34.1,,0,,,M,,M,0.3,,31,,33,,69,
-112.82,53.05,CAMROSE,3011240,1/12/2017,2017,01,12,,-17.5,,-29.7,,-23.6,,41.6,,0,,,M,,M,0,,27,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/13/2017,2017,01,13,,-5.3,,-21.5,,-13.4,,31.4,,0,,,M,,M,0,,27,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/14/2017,2017,01,14,,0.8,,-18.9,,-9.1,,27.1,,0,,,M,,M,0,,27,,,,<31,
-112.82,53.05,CAMROSE,3011240,1/15/2017,2017,01,15,,4.5,,-8.3,,-1.9,,19.9,,0,,,M,,M,0,,27,,,,<31,
