Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-113.58,53.31,EDMONTON INTL A,3012216,1/1/2017,2017,1,1,,-9.6,,-19.7,,-14.7,,32.7,,0,,0,,1.2,,1,,12,,36,,43,
-113.58,53.31,EDMONTON INTL A,3012216,1/2/2017,2017,1,2,,-15.8,,-31.4,,-23.6,,41.6,,0,,0,,0,T,0,T,12,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/3/2017,2017,1,3,,-14.1,,-22.9,,-18.5,,36.5,,0,,0,,0,T,0,T,12,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/4/2017,2017,1,4,,-7.9,,-15.6,,-11.8,,29.8,,0,,0,,0,T,0,T,12,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/5/2017,2017,1,5,,-5.8,,-14.7,,-10.3,,28.3,,0,,0,,1.8,,1.8,,13,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/6/2017,2017,1,6,,-14.4,,-21.2,,-17.8,,35.8,,0,,0,,0.2,,0.2,,14,,13,,35,
-113.58,53.31,EDMONTON INTL A,3012216,1/7/2017,2017,1,7,,-15.5,,-21.1,,-18.3,,36.3,,0,,0,,0.4,,0.2,,14,,36,,35,
-113.58,53.31,EDMONTON INTL A,3012216,1/8/2017,2017,1,8,,-19.7,,-22.3,,-21,,39,,0,,0,,0.8,,0.4,,15,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/9/2017,2017,1,9,,-17.7,,-21.8,,-19.8,,37.8,,0,,0,,5.4,,5.4,,17,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/10/2017,2017,1,10,,-17.8,,-32.5,,-25.2,,43.2,,0,,0,,0.4,,0.4,,18,,34,,54,
-113.58,53.31,EDMONTON INTL A,3012216,1/11/2017,2017,1,11,,-6.2,,-23.5,,-14.9,,32.9,,0,,0,,0,T,0,T,18,,32,,82,
-113.58,53.31,EDMONTON INTL A,3012216,1/12/2017,2017,1,12,,-14.1,,-31.7,,-22.9,,40.9,,0,,0,,0,,0,,17,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/13/2017,2017,1,13,,-5.8,,-21.1,,-13.5,,31.5,,0,,0,,0,,0,,17,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/14/2017,2017,1,14,,0.4,,-13.9,,-6.8,,24.8,,0,,0,,0,,0,,17,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/15/2017,2017,1,15,,1.2,,-10.9,,-4.9,,22.9,,0,,0,,0,,0,,16,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/16/2017,2017,1,16,,4.1,,-10.7,,-3.3,,21.3,,0,,0,,0,,0,,15,,19,,33,
-113.58,53.31,EDMONTON INTL A,3012216,1/17/2017,2017,1,17,,6.6,,-0.6,,3,,15,,0,,0,,0,,0,,14,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/18/2017,2017,1,18,,6.2,,0,,3.1,,14.9,,0,,0,,0,,0,,13,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/19/2017,2017,1,19,,4,,-4.8,,-0.4,,18.4,,0,,0,,0,,0,,11,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/20/2017,2017,1,20,,2.5,,-10.4,,-4,,22,,0,,0,,0,,0,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/21/2017,2017,1,21,,-5.3,,-16,,-10.7,,28.7,,0,,0,,0,T,0,T,10,,36,,32,
-113.58,53.31,EDMONTON INTL A,3012216,1/22/2017,2017,1,22,,-6.1,,-9.3,,-7.7,,25.7,,0,,0,,0.6,,0.6,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/23/2017,2017,1,23,,-8.3,,-9.7,,-9,,27,,0,,0,,0,T,0,T,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/24/2017,2017,1,24,,-5.4,,-15.7,,-10.6,,28.6,,0,,0,,0,T,0,T,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/25/2017,2017,1,25,,-4.9,,-18.4,,-11.7,,29.7,,0,,0,,0,,0,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/26/2017,2017,1,26,,0.1,,-13.4,,-6.7,,24.7,,0,,0,,0,,0,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/27/2017,2017,1,27,,2.6,,-6.1,,-1.8,,19.8,,0,,0,,0,,0,,10,,27,,33,
-113.58,53.31,EDMONTON INTL A,3012216,1/28/2017,2017,1,28,,5.3,,-8.2,,-1.5,,19.5,,0,,0,,0,,0,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,1/29/2017,2017,1,29,,6.3,,-5.1,,0.6,,17.4,,0,,0,,0,T,0,T,9,,32,,37,
-113.58,53.31,EDMONTON INTL A,3012216,1/30/2017,2017,1,30,,2.9,,-6.2,,-1.7,,19.7,,0,,0,,0,T,0,T,9,,30,,67,
-113.58,53.31,EDMONTON INTL A,3012216,1/31/2017,2017,1,31,,-5,,-12.3,,-8.7,,26.7,,0,,0,,1,,0.8,,9,,30,,50,
-113.58,53.31,EDMONTON INTL A,3012216,2/1/2017,2017,2,1,,-7.4,,-19.8,,-13.6,,31.6,,0,,0,,0,T,0,T,9,,32,,33,
-113.58,53.31,EDMONTON INTL A,3012216,2/2/2017,2017,2,2,,-9.6,,-21.7,,-15.7,,33.7,,0,,0,,0,,0,,9,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/3/2017,2017,2,3,,-11.8,,-18.1,,-15,,33,,0,,0,,0.4,,0.4,,9,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/4/2017,2017,2,4,,-14.3,,-22.2,,-18.3,,36.3,,0,,0,,0.6,,0.6,,9,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/5/2017,2017,2,5,,-16.8,E,,M,,M,,M,,M,,M,1,,,M,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/6/2017,2017,2,6,,-20,,-31.6,,-25.8,,43.8,,0,,0,,1.4,,1.4,,10,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/7/2017,2017,2,7,,-21.3,,-32.4,,-26.9,,44.9,,0,,0,,0,T,0,T,11,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/8/2017,2017,2,8,,-15.3,,-26.7,,-21,,39,,0,,0,,0,T,0,T,11,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/9/2017,2017,2,9,,-11.7,,-25,,-18.4,,36.4,,0,,0,,0.8,,0.8,,11,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/10/2017,2017,2,10,,-8.1,,-22.7,,-15.4,,33.4,,0,,0,,0.2,,0.2,,13,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/11/2017,2017,2,11,,-0.6,,-13,,-6.8,,24.8,,0,,0,,0,T,0,T,13,,27,,41,
-113.58,53.31,EDMONTON INTL A,3012216,2/12/2017,2017,2,12,,4.5,,-9.1,,-2.3,,20.3,,0,,0,,0,,0,,13,,25,,35,
-113.58,53.31,EDMONTON INTL A,3012216,2/13/2017,2017,2,13,,5.6,,-4.2,,0.7,,17.3,,0,,0,T,0,,0,T,13,,26,,35,
-113.58,53.31,EDMONTON INTL A,3012216,2/14/2017,2017,2,14,,6.7,,-5.2,,0.8,,17.2,,0,,0,,0,,0,,12,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/15/2017,2017,2,15,,11.9,,-1.7,,5.1,,12.9,,0,,0,,0,,0,,11,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/16/2017,2017,2,16,,8.9,,1.1,,5,,13,,0,,0,T,0,,0,T,7,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/17/2017,2017,2,17,,6.5,,-4.8,,0.9,,17.1,,0,,0,,0,,0,,6,,31,,43,
-113.58,53.31,EDMONTON INTL A,3012216,2/18/2017,2017,2,18,,2.6,,-4.8,,-1.1,,19.1,,0,,1.2,,1,,3.2,,5,,12,,43,
-113.58,53.31,EDMONTON INTL A,3012216,2/19/2017,2017,2,19,,1.6,,0.1,,0.9,,17.1,,0,,0,,1.4,,2.6,,4,,12,,43,
-113.58,53.31,EDMONTON INTL A,3012216,2/20/2017,2017,2,20,,0.6,,-4.1,,-1.8,,19.8,,0,,0,,0,T,0,T,2,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/21/2017,2017,2,21,,3.5,,-2.4,,0.6,,17.4,,0,,0,,0,T,0,T,2,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/22/2017,2017,2,22,,-2,,-9.5,,-5.8,,23.8,,0,,0,,0,T,0,T,1,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/23/2017,2017,2,23,,-1.8,,-10.5,,-6.2,,24.2,,0,,0,,0,T,0,T,1,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/24/2017,2017,2,24,,-6.4,,-10.8,,-8.6,,26.6,,0,,0,,0,T,0,T,1,,35,,32,
-113.58,53.31,EDMONTON INTL A,3012216,2/25/2017,2017,2,25,,-4.4,,-14.9,,-9.7,,27.7,,0,,0,,1.8,,1.8,,1,,35,,39,
-113.58,53.31,EDMONTON INTL A,3012216,2/26/2017,2017,2,26,,-6.9,,-19.2,,-13.1,,31.1,,0,,0,,0,T,0,T,3,,34,,48,
-113.58,53.31,EDMONTON INTL A,3012216,2/27/2017,2017,2,27,,-6.4,,-19.7,,-13.1,,31.1,,0,,0,,0,,0,,3,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,2/28/2017,2017,2,28,,-6.1,,-18.9,,-12.5,,30.5,,0,,0,,0,T,0,T,3,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/1/2017,2017,3,1,,-7.3,,-19.7,,-13.5,,31.5,,0,,0,,0,,0,,3,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/2/2017,2017,3,2,,-0.3,,-20,,-10.2,,28.2,,0,,0,,0,,0,,3,,15,,32,
-113.58,53.31,EDMONTON INTL A,3012216,3/3/2017,2017,3,3,,8,,-10.7,,-1.4,,19.4,,0,,0,,0,,0,,3,,36,,52,
-113.58,53.31,EDMONTON INTL A,3012216,3/4/2017,2017,3,4,,-3.2,,-15.3,,-9.3,,27.3,,0,,0,,7.6,,7.6,,0,T,1,,46,
-113.58,53.31,EDMONTON INTL A,3012216,3/5/2017,2017,3,5,,-13.1,,-22.2,,-17.7,,35.7,,0,,0,,1,,1,,8,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/6/2017,2017,3,6,,-11.2,,-19.7,,-15.5,,33.5,,0,,0,,3.8,,3.8,,7,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/7/2017,2017,3,7,,-13.4,,-28.7,,-21.1,,39.1,,0,,0,,0,T,0,T,8,,32,,35,
-113.58,53.31,EDMONTON INTL A,3012216,3/8/2017,2017,3,8,,-17.6,,-29,,-23.3,,41.3,,0,,0,,1.8,,1.8,,8,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/9/2017,2017,3,9,,-16.1,,-32.4,,-24.3,,42.3,,0,,0,,0,T,0,T,9,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/10/2017,2017,3,10,,-16.4,,-19.2,,-17.8,,35.8,,0,,0,,2.4,,2.4,,9,,10,,39,
-113.58,53.31,EDMONTON INTL A,3012216,3/11/2017,2017,3,11,,-15.6,,-22.8,,-19.2,,37.2,,0,,0,,2.8,,2.8,,9,,11,,32,
-113.58,53.31,EDMONTON INTL A,3012216,3/12/2017,2017,3,12,,-12.6,,-17.4,,-15,,33,,0,,0,,3.6,,3.6,,15,,14,,41,
-113.58,53.31,EDMONTON INTL A,3012216,3/13/2017,2017,3,13,,-7.1,,-16,,-11.6,,29.6,,0,,0,,0,,0,,15,,14,,41,
-113.58,53.31,EDMONTON INTL A,3012216,3/14/2017,2017,3,14,,3.2,,-13.1,,-5,,23,,0,,0,T,0,,0,T,11,,13,,37,
-113.58,53.31,EDMONTON INTL A,3012216,3/15/2017,2017,3,15,,6.8,,-4.6,,1.1,,16.9,,0,,0,,0,,0,,10,,33,,46,
-113.58,53.31,EDMONTON INTL A,3012216,3/16/2017,2017,3,16,,2.8,,-1.2,,0.8,,17.2,,0,,0,,2.2,,2.2,,8,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/17/2017,2017,3,17,,4.9,,-8.3,,-1.7,,19.7,,0,,0,,0,,0,,5,,15,,33,
-113.58,53.31,EDMONTON INTL A,3012216,3/18/2017,2017,3,18,,7.2,,-1.4,,2.9,,15.1,,0,,0,,0,T,0,T,3,,29,,78,
-113.58,53.31,EDMONTON INTL A,3012216,3/19/2017,2017,3,19,,4.7,,-5.3,,-0.3,,18.3,,0,,0,,1.2,,0.8,,2,,30,,76,
-113.58,53.31,EDMONTON INTL A,3012216,3/20/2017,2017,3,20,,-2.1,,-9.3,,-5.7,,23.7,,0,,0,,0.2,,0.2,,1,,32,,43,
-113.58,53.31,EDMONTON INTL A,3012216,3/21/2017,2017,3,21,,3.1,,-7.6,,-2.3,,20.3,,0,,0,,0,,0,,0,T,13,,61,
-113.58,53.31,EDMONTON INTL A,3012216,3/22/2017,2017,3,22,,2.8,,-5.1,,-1.2,,19.2,,0,,0,,0,T,0,T,0,T,11,,44,
-113.58,53.31,EDMONTON INTL A,3012216,3/23/2017,2017,3,23,,1.6,,-5.9,,-2.2,,20.2,,0,,0,,0,T,0,T,0,T,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/24/2017,2017,3,24,,1.8,,-6.1,,-2.2,,20.2,,0,,0,,0,,0,,0,T,13,,43,
-113.58,53.31,EDMONTON INTL A,3012216,3/25/2017,2017,3,25,,7.7,,-1.9,,2.9,,15.1,,0,,0,T,0,,0,T,0,T,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/26/2017,2017,3,26,,7.6,,-4.2,,1.7,,16.3,,0,,0,,0,,0,,0,T,13,,32,
-113.58,53.31,EDMONTON INTL A,3012216,3/27/2017,2017,3,27,,4.5,,-1.2,,1.7,,16.3,,0,,0,,0,,0,,0,T,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/28/2017,2017,3,28,,11.4,,-4,,3.7,,14.3,,0,,0,,0,,0,,0,T,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/29/2017,2017,3,29,,11.2,,-4.2,,3.5,,14.5,,0,,0,,0,,0,,,,10,,35,
-113.58,53.31,EDMONTON INTL A,3012216,3/30/2017,2017,3,30,,6.7,,-0.1,,3.3,,14.7,,0,,0.2,,0,T,0.2,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,3/31/2017,2017,3,31,,12.4,,-4.5,,4,,14,,0,,0,,0,,0,,,,19,,41,
-113.58,53.31,EDMONTON INTL A,3012216,4/1/2017,2017,4,1,,10.8,,-0.7,,5.1,,12.9,,0,,1,,0,,1,,,,33,,32,
-113.58,53.31,EDMONTON INTL A,3012216,4/2/2017,2017,4,2,,9.9,,-1.6,,4.2,,13.8,,0,,0,,0,,0,,,,32,,52,
-113.58,53.31,EDMONTON INTL A,3012216,4/3/2017,2017,4,3,,8.9,,-2.7,,3.1,,14.9,,0,,0,,4.2,,4.2,,3,,32,,35,
-113.58,53.31,EDMONTON INTL A,3012216,4/4/2017,2017,4,4,,10.3,,-3.1,,3.6,,14.4,,0,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/5/2017,2017,4,5,,15.2,,-6.2,,4.5,,13.5,,0,,0,,0,,0,,,,15,,52,
-113.58,53.31,EDMONTON INTL A,3012216,4/6/2017,2017,4,6,,15.5,,0.6,,8.1,,9.9,,0,,0.4,,0,,0.4,,,,10,,33,
-113.58,53.31,EDMONTON INTL A,3012216,4/7/2017,2017,4,7,,9.2,,-3.4,,2.9,,15.1,,0,,11.6,,0,,11.6,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/8/2017,2017,4,8,,6.5,,0.7,,3.6,,14.4,,0,,8,,0,,8,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/9/2017,2017,4,9,,4.8,,-1.2,,1.8,,16.2,,0,,0,,0,,0,,,,13,,35,
-113.58,53.31,EDMONTON INTL A,3012216,4/10/2017,2017,4,10,,8.3,,-0.3,,4,,14,,0,,0.2,,0.6,,0.8,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/11/2017,2017,4,11,,9.5,,-2.3,,3.6,,14.4,,0,,0,,0,,0,,,,1,,33,
-113.58,53.31,EDMONTON INTL A,3012216,4/12/2017,2017,4,12,,8.5,,-5.6,,1.5,,16.5,,0,,0.2,,0,T,0.2,,,,8,,37,
-113.58,53.31,EDMONTON INTL A,3012216,4/13/2017,2017,4,13,,3.3,,1,,2.2,,15.8,,0,,4.8,,3,,7.8,,,,8,,48,
-113.58,53.31,EDMONTON INTL A,3012216,4/14/2017,2017,4,14,,1,,-0.6,,0.2,,17.8,,0,,0,,18,,15.4,,2,,31,,41,
-113.58,53.31,EDMONTON INTL A,3012216,4/15/2017,2017,4,15,,-0.6,,-5.2,,-2.9,,20.9,,0,,0,,3,,3,,10,,35,,37,
-113.58,53.31,EDMONTON INTL A,3012216,4/16/2017,2017,4,16,,2.4,,-10.2,,-3.9,,21.9,,0,,0,,0,,0,,9,,15,,32,
-113.58,53.31,EDMONTON INTL A,3012216,4/17/2017,2017,4,17,,4.1,,-3,,0.6,,17.4,,0,,0,,0,T,0,T,5,,13,,35,
-113.58,53.31,EDMONTON INTL A,3012216,4/18/2017,2017,4,18,,1.8,,-1.2,,0.3,,17.7,,0,,0,,2.2,,1.8,,4,,8,,32,
-113.58,53.31,EDMONTON INTL A,3012216,4/19/2017,2017,4,19,,7.6,,-1,,3.3,,14.7,,0,,0,,0,T,0,T,4,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/20/2017,2017,4,20,,13.8,,-0.8,,6.5,,11.5,,0,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/21/2017,2017,4,21,,8.4,,-1.3,,3.6,,14.4,,0,,0.4,,0,T,0.4,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/22/2017,2017,4,22,,3.4,,0.4,,1.9,,16.1,,0,,1.6,,2.2,,3.8,,,,7,,44,
-113.58,53.31,EDMONTON INTL A,3012216,4/23/2017,2017,4,23,,1.5,,-1.5,,0,,18,,0,,0,,8,,8,,3,,13,,46,
-113.58,53.31,EDMONTON INTL A,3012216,4/24/2017,2017,4,24,,2.2,,-0.1,,1.1,,16.9,,0,,0,,2,,2,,2,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/25/2017,2017,4,25,,3,,-1,,1,,17,,0,,0,,0,T,0,T,,,14,,33,
-113.58,53.31,EDMONTON INTL A,3012216,4/26/2017,2017,4,26,,2.5,,-2.3,,0.1,,17.9,,0,,0,,0,T,0,T,,,12,,33,
-113.58,53.31,EDMONTON INTL A,3012216,4/27/2017,2017,4,27,,5.1,,-3.4,,0.9,,17.1,,0,,0,,0,T,0,T,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/28/2017,2017,4,28,,10,,-4.5,,2.8,,15.2,,0,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,4/29/2017,2017,4,29,,12.8,,-3.9,,4.5,,13.5,,0,,0,T,0,,0,T,,,22,,37,
-113.58,53.31,EDMONTON INTL A,3012216,4/30/2017,2017,4,30,,13.7,,2.2,,8,,10,,0,,0.8,,0,,0.8,,,,30,,54,
-113.58,53.31,EDMONTON INTL A,3012216,5/1/2017,2017,5,1,,14.5,,-2.5,,6,,12,,0,,0,,0,,0,,,,32,,32,
-113.58,53.31,EDMONTON INTL A,3012216,5/2/2017,2017,5,2,,13.7,,-1.4,,6.2,,11.8,,0,,0,T,0,,0,T,,,30,,48,
-113.58,53.31,EDMONTON INTL A,3012216,5/3/2017,2017,5,3,,20.1,,-1.5,,9.3,,8.7,,0,,0,,0,,0,,,,27,,35,
-113.58,53.31,EDMONTON INTL A,3012216,5/4/2017,2017,5,4,,24.8,,4,,14.4,,3.6,,0,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,5/5/2017,2017,5,5,,28.5,,6.4,,17.5,,0.5,,0,,0,,0,,0,,,,14,,54,
-113.58,53.31,EDMONTON INTL A,3012216,5/6/2017,2017,5,6,,26,,6.7,,16.4,,1.6,,0,,2,,0,,2,,,,30,,57,
-113.58,53.31,EDMONTON INTL A,3012216,5/7/2017,2017,5,7,,14.8,,0.1,,7.5,,10.5,,0,,0.6,,0,,0.6,,,,28,,44,
-113.58,53.31,EDMONTON INTL A,3012216,5/8/2017,2017,5,8,,18.2,,-0.9,,8.7,,9.3,,0,,0,,0,,0,,,,26,,33,
-113.58,53.31,EDMONTON INTL A,3012216,5/9/2017,2017,5,9,,18,,4.6,,11.3,,6.7,,0,,0,,0,,0,,,,34,,35,
-113.58,53.31,EDMONTON INTL A,3012216,5/10/2017,2017,5,10,,22.6,,3.8,,13.2,,4.8,,0,,0,,0,,0,,,,18,,50,
-113.58,53.31,EDMONTON INTL A,3012216,5/11/2017,2017,5,11,,24.8,,4.8,,14.8,,3.2,,0,,0,,0,,0,,,,12,,59,
-113.58,53.31,EDMONTON INTL A,3012216,5/12/2017,2017,5,12,,21.6,,8.2,,14.9,,3.1,,0,,3,,0,,3,,,,11,,63,
-113.58,53.31,EDMONTON INTL A,3012216,5/13/2017,2017,5,13,,9.7,,2.7,,6.2,,11.8,,0,,6.2,,0,,6.2,,,,8,,56,
-113.58,53.31,EDMONTON INTL A,3012216,5/14/2017,2017,5,14,,10.3,,0.1,,5.2,,12.8,,0,,1.4,,0,,1.4,,,,33,,39,
-113.58,53.31,EDMONTON INTL A,3012216,5/15/2017,2017,5,15,,15,,2.1,,8.6,,9.4,,0,,10.5,,0,,10.5,,,,18,,48,
-113.58,53.31,EDMONTON INTL A,3012216,5/16/2017,2017,5,16,,13.2,,-2.3,,5.5,,12.5,,0,,0,,0,,0,,,,2,,43,
-113.58,53.31,EDMONTON INTL A,3012216,5/17/2017,2017,5,17,,12,,1.3,,6.7,,11.3,,0,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,5/18/2017,2017,5,18,,18.5,,1.7,,10.1,,7.9,,0,,0,,0,,0,,,,15,,48,
-113.58,53.31,EDMONTON INTL A,3012216,5/19/2017,2017,5,19,,20.4,,-0.2,,10.1,,7.9,,0,,1.4,,0,,1.4,,,,22,,54,
-113.58,53.31,EDMONTON INTL A,3012216,5/20/2017,2017,5,20,,22,,0.6,,11.3,,6.7,,0,,0,,0,,0,,,,33,,41,
-113.58,53.31,EDMONTON INTL A,3012216,5/21/2017,2017,5,21,,23.7,,2.1,,12.9,,5.1,,0,,0,,0,,0,,,,36,,43,
-113.58,53.31,EDMONTON INTL A,3012216,5/22/2017,2017,5,22,,25.4,,11,,18.2,,0,,0.2,,0,,0,,0,,,,,,<31,
-113.58,53.31,EDMONTON INTL A,3012216,5/23/2017,2017,5,23,,28.9,,11.5,,20.2,,0,,2.2,,0,,0,,0,,,,20,,46,
-113.58,53.31,EDMONTON INTL A,3012216,5/24/2017,2017,5,24,,20.7,,5.6,,13.2,,4.8,,0,,44.6,,0,,44.6,,,,36,,100,
-113.58,53.31,EDMONTON INTL A,3012216,5/25/2017,2017,5,25,,17.9,,6.9,,12.4,,5.6,,0,,0,T,0,,0,T,,,33,,57,
-113.58,53.31,EDMONTON INTL A,3012216,5/26/2017,2017,5,26,,23.2,,6.6,,14.9,,3.1,,0,,0,,0,,0,,,,34,,46,
-113.58,53.31,EDMONTON INTL A,3012216,5/27/2017,2017,5,27,,25.2,,5.3,,15.3,,2.7,,0,,0,,0,,0,,,,34,,46,
-113.58,53.31,EDMONTON INTL A,3012216,5/28/2017,2017,5,28,,20.4,,2.5,,11.5,,6.5,,0,,0,,0,,0,,,,35,,35,
-113.58,53.31,EDMONTON INTL A,3012216,5/29/2017,2017,5,29,,22.1,,2,,12.1,,5.9,,0,,0,,0,,0,,,,10,,39,
-113.58,53.31,EDMONTON INTL A,3012216,5/30/2017,2017,5,30,,27.1,,9.6,,18.4,,0,,0.4,,0,,0,,0,,,,15,,52,
-113.58,53.31,EDMONTON INTL A,3012216,5/31/2017,2017,5,31,,31.2,,11.6,,21.4,,0,,3.4,,2,,0,,2,,,,18,,67,
-113.58,53.31,EDMONTON INTL A,3012216,6/1/2017,2017,6,1,,24.9,,12.3,,18.6,,0,,0.6,,0,T,0,,0,T,,,31,,46,
-113.58,53.31,EDMONTON INTL A,3012216,6/2/2017,2017,6,2,,18.7,,9.1,,13.9,,4.1,,0,,10.6,,0,,10.6,,,,24,,80,
-113.58,53.31,EDMONTON INTL A,3012216,6/3/2017,2017,6,3,,25.3,,4.8,,15.1,,2.9,,0,,0,,0,,0,,,,15,,37,
-113.58,53.31,EDMONTON INTL A,3012216,6/4/2017,2017,6,4,,23,,10,,16.5,,1.5,,0,,3,,0,,3,,,,24,,44,
-113.58,53.31,EDMONTON INTL A,3012216,6/5/2017,2017,6,5,,21.7,,6,,13.9,,4.1,,0,,0.2,,0,,0.2,,,,31,,43,
-113.58,53.31,EDMONTON INTL A,3012216,6/6/2017,2017,6,6,,24.9,,3.9,,14.4,,3.6,,0,,0,,0,,0,,,,14,,39,
-113.58,53.31,EDMONTON INTL A,3012216,6/7/2017,2017,6,7,,27.6,,12.3,,20,,0,,2,,0,,0,,0,,,,12,,48,
-113.58,53.31,EDMONTON INTL A,3012216,6/8/2017,2017,6,8,,28.2,,14.5,,21.4,,0,,3.4,,0.2,,0,,0.2,,,,14,,52,
-113.58,53.31,EDMONTON INTL A,3012216,6/9/2017,2017,6,9,,18,,8,,13,,5,,0,,9.8,,0,,9.8,,,,27,,57,
-113.58,53.31,EDMONTON INTL A,3012216,6/10/2017,2017,6,10,,16.1,,7.3,,11.7,,6.3,,0,,7,,0,,7,,,,27,,48,
-113.58,53.31,EDMONTON INTL A,3012216,6/11/2017,2017,6,11,,14.6,,8.8,,11.7,,6.3,,0,,0.8,,0,,0.8,,,,32,,32,
-113.58,53.31,EDMONTON INTL A,3012216,6/12/2017,2017,6,12,,25.3,,8.3,,16.8,,1.2,,0,,0,,0,,0,,,,18,,43,
