Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,1/1/2017,2017,1,1,,1.8,,-2.5,,-0.4,,18.4,,0,,0,,0,,0,,3,,27,,50,
-79.63,43.68,TORONTO INTL A,6158731,1/2/2017,2017,1,2,,4.8,,-4.1,,0.4,,17.6,,0,,0,T,0,,0,T,2,,10,,35,
-79.63,43.68,TORONTO INTL A,6158731,1/3/2017,2017,1,3,,4.4,,1.7,,3.1,,14.9,,0,,15.8,,0,,15.8,,0,T,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/4/2017,2017,1,4,,3.5,,-8.5,,-2.5,,20.5,,0,,0.2,,0,T,0.2,,0,T,27,,80,
-79.63,43.68,TORONTO INTL A,6158731,1/5/2017,2017,1,5,,-6.5,,-11.9,,-9.2,,27.2,,0,,0,,0,T,0,T,0,T,25,,56,
-79.63,43.68,TORONTO INTL A,6158731,1/6/2017,2017,1,6,,-7.3,,-13.4,,-10.4,,28.4,,0,,0,,0,,0,,0,T,26,,43,
-79.63,43.68,TORONTO INTL A,6158731,1/7/2017,2017,1,7,,-7.6,,-14.2,,-10.9,,28.9,,0,,0,,0,,0,,0,T,28,,41,
-79.63,43.68,TORONTO INTL A,6158731,1/8/2017,2017,1,8,,-9,,-13.4,,-11.2,,29.2,,0,,0,,0,T,0,T,0,T,25,,50,
-79.63,43.68,TORONTO INTL A,6158731,1/9/2017,2017,1,9,,-2.7,,-9.5,,-6.1,,24.1,,0,,0,,0,T,0,T,0,T,25,,57,
-79.63,43.68,TORONTO INTL A,6158731,1/10/2017,2017,1,10,,7.8,,-3.1,,2.4,,15.6,,0,,11.2,,7.2,,19,,1,,23,,74,
-79.63,43.68,TORONTO INTL A,6158731,1/11/2017,2017,1,11,,7.3,,0.8,,4.1,,13.9,,0,,6.2,,0,,6.2,,0,T,25,,102,
-79.63,43.68,TORONTO INTL A,6158731,1/12/2017,2017,1,12,,8.9,,-2.3,,3.3,,14.7,,0,,10.2,,0,,10.2,,0,T,26,,46,
-79.63,43.68,TORONTO INTL A,6158731,1/13/2017,2017,1,13,,-1.6,,-8.8,,-5.2,,23.2,,0,,0,,0,T,0,T,0,T,29,,56,
-79.63,43.68,TORONTO INTL A,6158731,1/14/2017,2017,1,14,,-3.3,,-9.1,,-6.2,,24.2,,0,,0,,0,T,0,T,0,T,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/15/2017,2017,1,15,,-0.1,,-7.2,,-3.7,,21.7,,0,,0,,0,,0,,,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/16/2017,2017,1,16,,2.6,,-6.3,,-1.9,,19.9,,0,,0,,0,,0,,0,T,26,,32,
-79.63,43.68,TORONTO INTL A,6158731,1/17/2017,2017,1,17,,1.7,,-0.3,,0.7,,17.3,,0,,12.2,,0,,12.2,,0,T,9,,44,
-79.63,43.68,TORONTO INTL A,6158731,1/18/2017,2017,1,18,,3.3,,0.7,,2,,16,,0,,0.4,,0,,0.4,,0,T,23,,33,
-79.63,43.68,TORONTO INTL A,6158731,1/19/2017,2017,1,19,,2.9,,0.9,,1.9,,16.1,,0,,0,T,0,,0,T,0,T,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/20/2017,2017,1,20,,3.7,,0.7,,2.2,,15.8,,0,,0.2,,0,,0.2,,0,T,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/21/2017,2017,1,21,,6.3,,2,,4.2,,13.8,,0,,0,T,0,,0,T,0,T,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/22/2017,2017,1,22,,5.4,,1.8,,3.6,,14.4,,0,,0,T,0,,0,T,,,9,,39,
-79.63,43.68,TORONTO INTL A,6158731,1/23/2017,2017,1,23,,3.9,,0.5,,2.2,,15.8,,0,,0,T,0,,0,T,,,9,,41,
-79.63,43.68,TORONTO INTL A,6158731,1/24/2017,2017,1,24,,1.4,,-0.7,,0.4,,17.6,,0,,0,,0,,0,,,,30,,37,
-79.63,43.68,TORONTO INTL A,6158731,1/25/2017,2017,1,25,,4.9,,-0.6,,2.2,,15.8,,0,,1,,0,T,1,,,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,1/26/2017,2017,1,26,,4,,0.2,,2.1,,15.9,,0,,1.8,,0,T,1.8,,,,29,,56,
-79.63,43.68,TORONTO INTL A,6158731,1/27/2017,2017,1,27,,1.8,,-1.6,,0.1,,17.9,,0,,0,,0,T,0,T,0,T,28,,56,
-79.63,43.68,TORONTO INTL A,6158731,1/28/2017,2017,1,28,,-0.9,,-2.5,,-1.7,,19.7,,0,,0,,0.6,,0.4,,0,T,25,,44,
-79.63,43.68,TORONTO INTL A,6158731,1/29/2017,2017,1,29,,-1.8,,-7.1,,-4.5,,22.5,,0,,0,,0,T,0,T,0,T,29,,50,
-79.63,43.68,TORONTO INTL A,6158731,1/30/2017,2017,1,30,,-4.6,,-10.9,,-7.8,,25.8,,0,,0,,0,,0,,0,T,32,,33,
-79.63,43.68,TORONTO INTL A,6158731,1/31/2017,2017,1,31,,-2.1,,-6,,-4.1,,22.1,,0,,0,,2.4,,2.4,,0,T,10,,35,
-79.63,43.68,TORONTO INTL A,6158731,2/1/2017,2017,2,1,,2.3,,-4.6,,-1.2,,19.2,,0,,0,,0.4,,0.4,,2,,28,,48,
-79.63,43.68,TORONTO INTL A,6158731,2/2/2017,2017,2,2,,-2.9,,-7,,-5,,23,,0,,0,,0,T,0,T,0,T,28,,63,
-79.63,43.68,TORONTO INTL A,6158731,2/3/2017,2017,2,3,,-4.9,,-9.2,,-7.1,,25.1,,0,,0,,0,T,0,T,0,T,26,,54,
-79.63,43.68,TORONTO INTL A,6158731,2/4/2017,2017,2,4,,-2.4,,-8.9,,-5.7,,23.7,,0,,0,,0,T,0,T,0,T,24,,44,
-79.63,43.68,TORONTO INTL A,6158731,2/5/2017,2017,2,5,,0.4,,-3.3,,-1.5,,19.5,,0,,0,,0.8,,0.8,,0,T,29,,56,
-79.63,43.68,TORONTO INTL A,6158731,2/6/2017,2017,2,6,,1.7,,-6.1,,-2.2,,20.2,,0,,0,,0,T,0,T,1,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,2/7/2017,2017,2,7,,4.2,,-1.5,,1.4,,16.6,,0,,15.4,,0,,15.4,,0,T,27,,52,
-79.63,43.68,TORONTO INTL A,6158731,2/8/2017,2017,2,8,,3.7,,-7.9,,-2.1,,20.1,,0,,0,,0,T,0,T,0,T,28,,69,
-79.63,43.68,TORONTO INTL A,6158731,2/9/2017,2017,2,9,,-4.4,,-12,,-8.2,,26.2,,0,,0,T,0,,0,T,0,T,28,,50,
-79.63,43.68,TORONTO INTL A,6158731,2/10/2017,2017,2,10,,-2,,-8,,-5,,23,,0,,0,,3.8,,3.8,,0,T,25,,52,
-79.63,43.68,TORONTO INTL A,6158731,2/11/2017,2017,2,11,,3.7,,-3.9,,-0.1,,18.1,,0,,0,,0,,0,,3,,10,,32,
-79.63,43.68,TORONTO INTL A,6158731,2/12/2017,2017,2,12,,1.8,,-4.7,,-1.5,,19.5,,0,,0,,15.6,,14.2,,3,,30,,78,
-79.63,43.68,TORONTO INTL A,6158731,2/13/2017,2017,2,13,,-1.3,,-6.3,,-3.8,,21.8,,0,,0,,0,,0,,14,,30,,72,
-79.63,43.68,TORONTO INTL A,6158731,2/14/2017,2017,2,14,,4.4,,-7.4,,-1.5,,19.5,,0,,0,T,0,,0,T,11,,25,,43,
-79.63,43.68,TORONTO INTL A,6158731,2/15/2017,2017,2,15,,1.7,,-6.1,,-2.2,,20.2,,0,,0,,0,T,0,T,2,,28,,63,
-79.63,43.68,TORONTO INTL A,6158731,2/16/2017,2017,2,16,,-3.3,,-9.7,,-6.5,,24.5,,0,,0,,0,,0,,2,,32,,44,
-79.63,43.68,TORONTO INTL A,6158731,2/17/2017,2017,2,17,,0.3,,-6.7,,-3.2,,21.2,,0,,0,,0,,0,,2,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,2/18/2017,2017,2,18,,11.9,,-3.5,,4.2,,13.8,,0,,0,,0,,0,,2,,26,,65,
-79.63,43.68,TORONTO INTL A,6158731,2/19/2017,2017,2,19,,11.5,,1.6,,6.6,,11.4,,0,,0,,0,,0,,,,29,,46,
-79.63,43.68,TORONTO INTL A,6158731,2/20/2017,2017,2,20,,5.1,,-0.6,,2.3,,15.7,,0,,0,,0,,0,,,,11,,35,
-79.63,43.68,TORONTO INTL A,6158731,2/21/2017,2017,2,21,,5.6,,0.6,,3.1,,14.9,,0,,1.4,,0,,1.4,,,,11,,37,
-79.63,43.68,TORONTO INTL A,6158731,2/22/2017,2017,2,22,,8.1,,3.1,,5.6,,12.4,,0,,0,,0,,0,,,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,2/23/2017,2017,2,23,,17.7,,4.1,,10.9,,7.1,,0,,0,T,0,,0,T,,,26,,57,
-79.63,43.68,TORONTO INTL A,6158731,2/24/2017,2017,2,24,,5.3,,3,,4.2,,13.8,,0,,6.8,,0,,6.8,,,,10,,37,
-79.63,43.68,TORONTO INTL A,6158731,2/25/2017,2017,2,25,,8.4,,-3.4,,2.5,,15.5,,0,,11.6,,0.2,,11.8,,0,T,26,,69,
-79.63,43.68,TORONTO INTL A,6158731,2/26/2017,2017,2,26,,2.8,,-4.2,,-0.7,,18.7,,0,,0,,0,T,0,T,0,T,28,,44,
-79.63,43.68,TORONTO INTL A,6158731,2/27/2017,2017,2,27,,8.8,,0.9,,4.9,,13.1,,0,,0,,0,,0,,,,27,,41,
-79.63,43.68,TORONTO INTL A,6158731,2/28/2017,2017,2,28,,9.3,,1.5,,5.4,,12.6,,0,,3.2,,0,,3.2,,,,,,<31,
-79.63,43.68,TORONTO INTL A,6158731,3/1/2017,2017,3,1,,14,,-4.1,,5,,13,,0,,19.8,,0,T,19.8,,0,T,26,,82,
-79.63,43.68,TORONTO INTL A,6158731,3/2/2017,2017,3,2,,-2.3,,-7.4,,-4.9,,22.9,,0,,0,,0,T,0,T,0,T,30,,72,
-79.63,43.68,TORONTO INTL A,6158731,3/3/2017,2017,3,3,,-5.2,,-9.7,,-7.5,,25.5,,0,,0,,0.2,,0.2,,0,T,30,,72,
-79.63,43.68,TORONTO INTL A,6158731,3/4/2017,2017,3,4,,-6.8,,-12.3,,-9.6,,27.6,,0,,0,,0,T,0,T,0,T,2,,46,
-79.63,43.68,TORONTO INTL A,6158731,3/5/2017,2017,3,5,,-1.8,,-12.4,,-7.1,,25.1,,0,,0,,0,,0,,,,10,,43,
-79.63,43.68,TORONTO INTL A,6158731,3/6/2017,2017,3,6,,6.4,,-2,,2.2,,15.8,,0,,0.4,,0,,0.4,,,,,,<31,
