Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,1/1/2017,2017,1,1,,2.2,,-2.3,,-0.1,,18.1,,0,,0,,0,,0,,3,,34,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,1/2/2017,2017,1,2,,1.4,,-6,,-2.3,,20.3,,0,,0,,0,,0,,2,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/3/2017,2017,1,3,,0.4,,-7.8,,-3.7,,21.7,,0,,0,,0,,0,,1,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/4/2017,2017,1,4,,2.2,,-8.4,,-3.1,,21.1,,0,,0,,0,,0,,1,,8,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,1/5/2017,2017,1,5,,0.7,,-6.6,,-3,,21,,0,,0,,0,,0,,1,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/6/2017,2017,1,6,,2.5,,-1.3,,0.6,,17.4,,0,,0,,0,T,0,T,1,,9,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,1/7/2017,2017,1,7,,1.9,,-4.1,,-1.1,,19.1,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/8/2017,2017,1,8,,3.7,,0.3,,2,,16,,0,,11,,0,,11,,1,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/9/2017,2017,1,9,,5.2,,1.5,,3.4,,14.6,,0,,2.6,,0,,2.6,,0,T,20,,59,
-123.18,49.19,VANCOUVER INTL A,1108395,1/10/2017,2017,1,10,,3.6,,-4.5,,-0.5,,18.5,,0,,0,,0,,0,,0,T,6,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,1/11/2017,2017,1,11,,1.8,,-6.7,,-2.5,,20.5,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/12/2017,2017,1,12,,0.5,,-7.6,,-3.6,,21.6,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/13/2017,2017,1,13,,0.8,,-7.1,,-3.2,,21.2,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/14/2017,2017,1,14,,3.2,,-7.1,,-2,,20,,0,,0,,0,,0,,0,T,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/15/2017,2017,1,15,,4.2,,-2.6,,0.8,,17.2,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/16/2017,2017,1,16,,6,,0.2,,3.1,,14.9,,0,,4.4,,0,,4.4,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/17/2017,2017,1,17,,9,,4.7,,6.9,,11.1,,0,,28.4,,0,,28.4,,,,12,,56,
-123.18,49.19,VANCOUVER INTL A,1108395,1/18/2017,2017,1,18,,11.4,,7.9,,9.7,,8.3,,0,,26,,0,,26,,,,12,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,1/19/2017,2017,1,19,,8.7,,5.6,,7.2,,10.8,,0,,20.8,,0,,20.8,,,,12,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,1/20/2017,2017,1,20,,7.3,,1.6,,4.5,,13.5,,0,,0.4,,0,,0.4,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/21/2017,2017,1,21,,10.5,,4.2,,7.4,,10.6,,0,,1.6,,0,,1.6,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/22/2017,2017,1,22,,7.4,,2,,4.7,,13.3,,0,,2.8,,0,,2.8,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/23/2017,2017,1,23,,6.9,,-1.7,,2.6,,15.4,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/24/2017,2017,1,24,,4.6,,-1.8,,1.4,,16.6,,0,,0,,0,,0,,0,T,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/25/2017,2017,1,25,,5.8,,2.1,,4,,14,,0,,0,T,0,,0,T,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/26/2017,2017,1,26,,7.1,,-0.7,,3.2,,14.8,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/27/2017,2017,1,27,,8.9,,2.2,,5.6,,12.4,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/28/2017,2017,1,28,,9.8,,0.1,,5,,13,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,1/29/2017,2017,1,29,,8.6,,2,,5.3,,12.7,,0,,0.8,,0,,0.8,,0,T,10,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,1/30/2017,2017,1,30,,5.8,,1.9,,3.9,,14.1,,0,,0,T,0,,0,T,,,26,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,1/31/2017,2017,1,31,,6.8,,-1.3,,2.8,,15.2,,0,,0,,0,,0,,,,31,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2/1/2017,2017,2,1,,7.4,E,-4.9,E,1.3,E,16.7,E,0,E,,M,,M,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/2/2017,2017,2,2,,5.8,,-5.8,,0,,18,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/3/2017,2017,2,3,,0.9,,-2.4,,-0.8,,18.8,,0,,0,,12,,15.2,,5,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/4/2017,2017,2,4,,0.9,,0,,0.5,,17.5,,0,,3.6,,10.6,,24,,13,,9,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2/5/2017,2017,2,5,,0.9,,-1.7,,-0.4,,18.4,,0,,0,,1.4,,1.6,,14,,9,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2/6/2017,2017,2,6,,-0.1,,-3.4,,-1.8,,19.8,,0,,0,,7,,6.6,,15,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/7/2017,2017,2,7,,1.6,,-6,,-2.2,,20.2,,0,,0,,0,T,0,T,20,,31,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2/8/2017,2017,2,8,,-0.8,,-7.2,,-4,,22,,0,,0,,4.2,,5.6,,18,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/9/2017,2017,2,9,,7.2,,-0.9,,3.2,,14.8,,0,,19.8,,0.2,,20,,19,,7,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2/10/2017,2017,2,10,,7.9,,1.3,,4.6,,13.4,,0,,2.8,,0,,2.8,,8,,21,,67,
-123.18,49.19,VANCOUVER INTL A,1108395,2/11/2017,2017,2,11,,6.9,,-0.5,,3.2,,14.8,,0,,0,,0,,0,,5,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/12/2017,2017,2,12,,6.5,,0.5,,3.5,,14.5,,0,,0,,0,,0,,2,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/13/2017,2017,2,13,,7.7,,-1.6,,3.1,,14.9,,0,,0,,0,,0,,1,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/14/2017,2017,2,14,,11.2,,0.1,,5.7,,12.3,,0,,7.4,,0,,7.4,,,,7,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,2/15/2017,2017,2,15,,12.2,,7.5,,9.9,,8.1,,0,,26.8,,0,,26.8,,,,12,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2/16/2017,2017,2,16,,12.7,,4.8,,8.8,,9.2,,0,,1.6,,0,,1.6,,,,16,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,2/17/2017,2017,2,17,,10.7,,4.5,,7.6,,10.4,,0,,0.8,,0,,0.8,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/18/2017,2017,2,18,,6.3,,4.8,,5.6,,12.4,,0,,1.2,,0,,1.2,,,,30,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2/19/2017,2017,2,19,,8.2,,4.7,,6.5,,11.5,,0,,7,,0,,7,,,,12,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2/20/2017,2017,2,20,,8.7,,4,,6.4,,11.6,,0,,1,,0,,1,,,,28,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2/21/2017,2017,2,21,,7.4,,1.5,,4.5,,13.5,,0,,1.2,,0.6,,1.8,,,,27,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2/22/2017,2017,2,22,,6.9,,0.2,,3.6,,14.4,,0,,0,T,0,,0,T,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/23/2017,2017,2,23,,6,,-0.7,,2.7,,15.3,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/24/2017,2017,2,24,,8.1,,0.8,,4.5,,13.5,,0,,0,,0,,0,,,,9,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2/25/2017,2017,2,25,,5.6,,-3.4,,1.1,,16.9,,0,,0.4,,0,,0.4,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/26/2017,2017,2,26,,6.6,,0.5,,3.6,,14.4,,0,,4,,0,,4,,,,29,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2/27/2017,2017,2,27,,3.5,,-1.8,,0.9,,17.1,,0,,0,,0,T,0,T,0,T,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/28/2017,2017,2,28,,5.7,,-1.7,,2,,16,,0,,0.4,,0.6,,1,,1,,13,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,3/1/2017,2017,3,1,,7.9,,3.1,,5.5,,12.5,,0,,0.8,,0,,0.8,,,,27,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/2/2017,2017,3,2,,7.5,,4.4,,6,,12,,0,,4.4,,0,,4.4,,,,12,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/3/2017,2017,3,3,,7.5,,5,,6.3,,11.7,,0,,7.4,,0,,7.4,,,,13,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,3/4/2017,2017,3,4,,6.7,,0.9,,3.8,,14.2,,0,,0,T,0,,0,T,,,10,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,3/5/2017,2017,3,5,,4.5,,0,,2.3,,15.7,,0,,4.8,,3,,8.6,,1,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,3/6/2017,2017,3,6,,6.2,,0.4,,3.3,,14.7,,0,,1,,0,,1,,,,17,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,3/7/2017,2017,3,7,,4.6,,0.7,,2.7,,15.3,,0,,7.6,,2.6,,10.4,,0,T,21,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,3/8/2017,2017,3,8,,7,,0.9,,4,,14,,0,,2.2,,0,,2.2,,0,T,23,,52,
-123.18,49.19,VANCOUVER INTL A,1108395,3/9/2017,2017,3,9,,4.6,,1.2,,2.9,,15.1,,0,,8.2,,0,,8.2,,,,7,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,3/10/2017,2017,3,10,,8.8,,3.5,,6.2,,11.8,,0,,4,,0,,4,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,3/11/2017,2017,3,11,,9.3,,4.3,,6.8,,11.2,,0,,9.4,,0,,9.4,,,,9,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/12/2017,2017,3,12,,9.7,,6.6,,8.2,,9.8,,0,,4.2,,0,,4.2,,,,19,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,3/13/2017,2017,3,13,,10.3,,7,,8.7,,9.3,,0,,10.8,,0,,10.8,,,,5,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,3/14/2017,2017,3,14,,14.4,,7.6,,11,,7,,0,,9.8,,0,,9.8,,,,14,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,3/15/2017,2017,3,15,,10.9,,7.3,,9.1,,8.9,,0,,4.2,,0,,4.2,,,,20,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,3/16/2017,2017,3,16,,9.5,,4.7,,7.1,,10.9,,0,,2,,0,,2,,,,15,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,3/17/2017,2017,3,17,,9.1,,3,,6.1,,11.9,,0,,10.2,,0,,10.2,,,,12,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,3/18/2017,2017,3,18,,8.3,,4.7,,6.5,,11.5,,0,,10.2,,0,,10.2,,,,28,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,3/19/2017,2017,3,19,,9.2,,1.3,,5.3,,12.7,,0,,0,,0,,0,,,,21,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,3/20/2017,2017,3,20,,8.7,,-1.4,,3.7,,14.3,,0,,0,,0,,0,,,,31,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,3/21/2017,2017,3,21,,11.7,,6.1,,8.9,,9.1,,0,,5.8,,0,,5.8,,,,22,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/22/2017,2017,3,22,,12.5,,6,,9.3,,8.7,,0,,2.6,,0,,2.6,,,,20,,52,
-123.18,49.19,VANCOUVER INTL A,1108395,3/23/2017,2017,3,23,,12.3,,4.1,,8.2,,9.8,,0,,4.6,,0,,4.6,,,,12,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,3/24/2017,2017,3,24,,10.8,,5.6,,8.2,,9.8,,0,,6.6,,0,,6.6,,,,12,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,3/25/2017,2017,3,25,,10.9,,6.3,,8.6,,9.4,,0,,1,,0,,1,,,,15,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/26/2017,2017,3,26,,9.9,,5.6,,7.8,,10.2,,0,,15,,0,,15,,,,7,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/27/2017,2017,3,27,,12.1,,5.9,,9,,9,,0,,7.2,,0,,7.2,,,,11,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,3/28/2017,2017,3,28,,8.9,,7.1,,8,,10,,0,,29.6,,0,,29.6,,,,11,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,3/29/2017,2017,3,29,,13.5,,5.8,,9.7,,8.3,,0,,24.8,,0,,24.8,,,,20,,56,
-123.18,49.19,VANCOUVER INTL A,1108395,3/30/2017,2017,3,30,,11.8,,6.1,,9,,9,,0,,0.2,,0,,0.2,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,3/31/2017,2017,3,31,,11.7,,4,,7.9,,10.1,,0,,0.8,,0,,0.8,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,4/1/2017,2017,4,1,,10.8,,6.4,,8.6,,9.4,,0,,11.2,,0,,11.2,,,,26,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,4/2/2017,2017,4,2,,10.6,,5.7,,8.2,,9.8,,0,,0,,0,,0,,,,27,,52,
-123.18,49.19,VANCOUVER INTL A,1108395,4/3/2017,2017,4,3,,10.3,,1.7,,6,,12,,0,,0,,0,,0,,,,,,<31,
-123.18,49.19,VANCOUVER INTL A,1108395,4/4/2017,2017,4,4,,13.8,,4.7,,9.3,,8.7,,0,,7.2,,0,,7.2,,,,14,,57,
-123.18,49.19,VANCOUVER INTL A,1108395,4/5/2017,2017,4,5,,11.1,,8.2,,9.7,,8.3,,0,,13.4,,0,,13.4,,,,15,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,4/6/2017,2017,4,6,,13.3,,7.2,,10.3,,7.7,,0,,5.2,,0,,5.2,,,,9,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,4/7/2017,2017,4,7,,12.6,,6,,9.3,,8.7,,0,,11.4,,0,,11.4,,,,15,,78,
-123.18,49.19,VANCOUVER INTL A,1108395,4/8/2017,2017,4,8,,8.5,,5.7,,7.1,,10.9,,0,,9.8,,0,,9.8,,,,13,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,4/9/2017,2017,4,9,,12.9,,2.8,,7.9,,10.1,,0,,0,,0,,0,,,,12,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,4/10/2017,2017,4,10,,10.9,,6.4,,8.7,,9.3,,0,,5,,0,,5,,,,11,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,4/11/2017,2017,4,11,,10.7,,4.3,,7.5,,10.5,,0,,0,,0,,0,,,,29,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,4/12/2017,2017,4,12,,13,,7.5,,10.3,,7.7,,0,,12,,0,,12,,,,8,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,4/13/2017,2017,4,13,,12.3,,6.4,,9.4,,8.6,,0,,17.4,,0,,17.4,,,,22,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,4/14/2017,2017,4,14,,12.6,,6,,9.3,,8.7,,0,,3.2,,0,,3.2,,,,18,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,4/15/2017,2017,4,15,,12.9,,6.5,,9.7,,8.3,,0,,2,,0,,2,,,,18,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,4/16/2017,2017,4,16,,12.8,,3,,7.9,,10.1,,0,,0,,0,,0,,,,30,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,4/17/2017,2017,4,17,,14,,8.6,,11.3,,6.7,,0,,5.4,,0,,5.4,,,,14,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,4/18/2017,2017,4,18,,14.3,,9.1,,11.7,,6.3,,0,,5.2,,0,,5.2,,,,21,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,4/19/2017,2017,4,19,,12.8,,7.5,,10.2,,7.8,,0,,0.8,,0,,0.8,,,,10,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,4/20/2017,2017,4,20,,13.2,,8.5,,10.9,,7.1,,0,,3.6,,0,,3.6,,,,19,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,4/21/2017,2017,4,21,,14.1,,6.5,,10.3,,7.7,,0,,0,,0,,0,,,,20,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,4/22/2017,2017,4,22,,13.8,,7.3,,10.6,,7.4,,0,,5.8,,0,,5.8,,,,16,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,4/23/2017,2017,4,23,,,M,8.6,E,,M,,M,,M,,M,,,,M,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,4/24/2017,2017,4,24,,13.1,,7.4,,10.3,,7.7,,0,,5,,0,,5,,,,26,,32,
