Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-01,2017,01,01,,-7.3,,-15,,-11.2,,29.2,,0,,,M,,M,0,,25,,33,,43,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-02,2017,01,02,,-12.9,,-17.5,,-15.2,,33.2,,0,,,M,,M,0.8,,25,,36,,59,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-03,2017,01,03,,-17.5,,-27.2,,-22.4,,40.4,,0,,,M,,M,1.1,,24,,1,,59,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-04,2017,01,04,,-24.4,,-31.9,,-28.2,,46.2,,0,,,M,,M,0.2,,22,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-05,2017,01,05,,-22.5,,-30.9,,-26.7,,44.7,,0,,,M,,M,0.2,,22,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-06,2017,01,06,,-15.8,,-26.6,,-21.2,,39.2,,0,,,M,,M,0,,22,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-07,2017,01,07,,-18,,-26.5,,-22.3,,40.3,,0,,,M,,M,0,,23,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-08,2017,01,08,,-15.6,,-25.4,,-20.5,,38.5,,0,,,M,,M,0,,23,,18,,44,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-09,2017,01,09,,-15.3,,-24.1,,-19.7,,37.7,,0,,,M,,M,0.9,,23,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-10,2017,01,10,,-15.2,,-24.2,,-19.7,,37.7,,0,,,M,,M,0.7,,30,,31,,41,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-11,2017,01,11,,-20.1,,-32.5,,-26.3,,44.3,,0,,,M,,M,0.2,,30,,19,,46,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-12,2017,01,12,,-15.5,,-30.7,,-23.1,,41.1,,0,,,M,,M,1.2,,35,,31,,85,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-13,2017,01,13,,-18.7,,-32.7,,-25.7,,43.7,,0,,,M,,M,0,,41,,17,,57,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-14,2017,01,14,,-13.1,,-23.9,,-18.5,,36.5,,0,,,M,,M,0,,29,,18,,35,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-15,2017,01,15,,-6.5,,-17.1,,-11.8,,29.8,,0,,,M,,M,0,,28,,20,,46,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-16,2017,01,16,,-6.3,,-15.6,,-11,,29,,0,,,M,,M,0,,28,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-17,2017,01,17,,-4.8,,-16,,-10.4,,28.4,,0,,,M,,M,0,,28,,18,,54,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-18,2017,01,18,,0.3,,-8.9,,-4.3,,22.3,,0,,,M,,M,0,,28,,17,,48,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-19,2017,01,19,,-1.3,,-4.7,,-3,,21,,0,,,M,,M,0,,29,,18,,43,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-20,2017,01,20,,2.4,,-1.3,,0.6,,17.4,,0,,,M,,M,2.9,,30,,18,,44,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-21,2017,01,21,,2,,0.9,,1.5,,16.5,,0,,,M,,M,0.2,,27,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-22,2017,01,22,,1.3,,-0.1,,0.6,,17.4,,0,,,M,,M,1.7,,26,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-23,2017,01,23,,-0.1,,-3.2,,-1.7,,19.7,,0,,,M,,M,0.3,,24,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-24,2017,01,24,,,M,-3.7,E,,M,,M,,M,,M,,M,,M,24,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-25,2017,01,25,,-5.4,,-12,,-8.7,,26.7,,0,,,M,,M,0,,26,,32,,32,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-26,2017,01,26,,-6.4,,-12,,-9.2,,27.2,,0,,,M,,M,0,,27,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-27,2017,01,27,,-2.6,,-13.2,,-7.9,,25.9,,0,,,M,,M,0,,28,,35,,35,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-28,2017,01,28,,-5,,-8.4,,-6.7,,24.7,,0,,,M,,M,0,,28,,4,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-29,2017,01,29,,-8.4,,-15.8,,-12.1,,30.1,,0,,,M,,M,0.2,,28,,2,,39,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-30,2017,01,30,,-2.2,,-8.5,,-5.4,,23.4,,0,,,M,,M,2.5,,28,,19,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-01-31,2017,01,31,,-2,,-21.1,,-11.6,,29.6,,0,,,M,,M,0.4,,30,,1,,46,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-01,2017,02,01,,-15.5,,-23.2,,-19.4,,37.4,,0,,,M,,M,0.2,,28,,31,,41,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-02,2017,02,02,,-14.2,,-23.3,,-18.8,,36.8,,0,,,M,,M,0,,29,,27,,35,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-03,2017,02,03,,-9.8,,-20.7,,-15.3,,33.3,,0,,,M,,M,0,,29,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-04,2017,02,04,,-10.2,,-17.5,,-13.9,,31.9,,0,,,M,,M,0,,29,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-05,2017,02,05,,-14.6,,-24.1,,-19.4,,37.4,,0,,,M,,M,1.1,,29,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-06,2017,02,06,,-14.5,,-19.2,,-16.9,,34.9,,0,,,M,,M,0.9,,30,,2,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-07,2017,02,07,,-18.5,,-27,,-22.8,,40.8,,0,,,M,,M,0.9,,29,,2,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-08,2017,02,08,,-18.7,,-27.9,,-23.3,,41.3,,0,,,M,,M,0,,29,,27,,39,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-09,2017,02,09,,-11,,-23.1,,-17.1,,35.1,,0,,,M,,M,0.5,,29,,17,,54,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-10,2017,02,10,,-5.9,,-14.9,,-10.4,,28.4,,0,,,M,,M,1.7,,34,,16,,44,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-11,2017,02,11,,-5.1,,-11.8,,-8.5,,26.5,,0,,,M,,M,0,,34,,17,,54,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-12,2017,02,12,,-0.9,,-12,,-6.5,,24.5,,0,,,M,,M,0,,34,,27,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-13,2017,02,13,,2.4,,-8.2,,-2.9,,20.9,,0,,,M,,M,0,,33,,28,,35,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-14,2017,02,14,,0.3,,-16.1,,-7.9,,25.9,,0,,,M,,M,0,,33,,35,,46,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-15,2017,02,15,,-2.1,,-15.2,,-8.7,,26.7,,0,,,M,,M,0,,33,,16,,44,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-16,2017,02,16,,2.1,,-3.4,,-0.7,,18.7,,0,,,M,,M,0,,32,,17,,41,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-17,2017,02,17,,5.3,,-3,,1.2,,16.8,,0,,,M,,M,0,,31,,25,,37,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-18,2017,02,18,,3.4,,-3.2,,0.1,,17.9,,0,,,M,,M,0,,28,,26,,39,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-19,2017,02,19,,4.5,,-4.7,,-0.1,,18.1,,0,,,M,,M,0,,26,,10,,41,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-20,2017,02,20,,4.9,,-0.4,,2.3,,15.7,,0,,,M,,M,1.1,,21,,15,,33,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-21,2017,02,21,,2,,-0.3,,0.9,,17.1,,0,,,M,,M,0,,20,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-22,2017,02,22,,1.4,,-3.6,,-1.1,,19.1,,0,,,M,,M,0,,18,,33,,39,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-23,2017,02,23,,-3.6,,-11.2,,-7.4,,25.4,,0,,,M,,M,0.2,,19,,33,,33,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-24,2017,02,24,,-8.5,,-15.1,,-11.8,,29.8,,0,,,M,,M,0,,18,,,,<31,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-25,2017,02,25,,-7.6,,-12.7,,-10.2,,28.2,,0,,,M,,M,0.2,,18,,30,,32,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-26,2017,02,26,,-6.8,,-19.2,,-13,,31,,0,,,M,,M,0.2,,19,,23,,32,
-97.25,49.92,WINNIPEG A CS,502S001,2017-02-27,2017,02,27,,-10,,-16.6,,-13.3,,31.3,,0,,,M,,M,0,,18,,,,<31,
