Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Modelled Incoming Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T009R21W4,1/1/2017,-14.94,-4.96,1.3,1.3,89.79,11.12,3.13,3.99,16.73
T009R21W4,1/2/2017,-24.37,-13.47,0.27,1.57,85.18,11.42,3.48,4.2,4.36
T009R21W4,1/3/2017,-29.41,-17.53,0.26,1.83,80.17,11.71,4.48,4.41,8.67
T009R21W4,1/4/2017,-23.66,-10.17,0.27,2.1,81.87,12.01,3.84,4.74,12.36
T009R21W4,1/5/2017,-20.93,-4.17,0.26,2.36,74.93,12.29,3.49,5.33,13.27
T009R21W4,1/6/2017,-20.01,-7.29,0.52,2.88,89.4,12.9,4.82,4.68,8.23
T009R21W4,1/7/2017,-23.13,-15.27,0,2.88,85.49,12.88,4.37,3.72,7.27
T009R21W4,1/8/2017,-18.69,-15.55,0,2.88,83.17,12.86,4.42,2.37,10.69
T009R21W4,1/9/2017,-23.94,-17.13,3.38,6.26,78.88,16.89,4.21,3.53,12.33
T009R21W4,1/10/2017,-27.91,-14.63,0,6.26,74.04,16.87,4.95,4.97,13.53
T009R21W4,1/11/2017,-29.2,-10.77,0,6.26,65.21,16.86,7.05,5.93,18.95
T009R21W4,1/12/2017,-25,-5.75,0.26,6.52,66.81,17.14,7.12,6.12,19.13
T009R21W4,1/13/2017,-7.88,-1.9,0,6.52,59.19,17.09,6.54,3.45,23.92
T009R21W4,1/14/2017,-7.14,0.6,0,6.52,57.54,17.04,6.71,3.98,27.43
T009R21W4,1/15/2017,-3.97,2.99,0,6.52,54.36,16.99,4.62,3.82,29.22
T009R21W4,1/16/2017,-7.81,6.28,0.21,6.73,59.63,17.19,5.57,5.5,27.43
T009R21W4,1/17/2017,2.63,7.75,0.05,6.78,61.99,17.17,4.47,3.36,27.33
T009R21W4,1/18/2017,-0.29,10.06,0,6.78,71.42,15.4,5.19,4.84,14.89
T009R21W4,1/19/2017,0.42,6.88,0,6.78,71.34,11.8,2.74,3.88,19.02
T009R21W4,1/20/2017,-5.78,7.18,0,6.78,60.98,7.99,7.44,5.57,19.93
T009R21W4,1/21/2017,-8.79,3.18,0,6.78,82.79,6.12,7.07,5.43,9.44
T009R21W4,1/22/2017,-5.84,-2.88,0,6.78,96.38,6.06,1.08,2.74,7.1
T009R21W4,1/23/2017,-7.59,-2.15,0,6.78,94.99,6,4.31,3.77,6.55
T009R21W4,1/24/2017,-10.87,0.52,0,6.78,88.13,5.94,6.11,5.53,6.11
T009R21W4,1/25/2017,-8.13,3.47,0,6.78,70.9,3.87,8.72,5.67,11.01
T009R21W4,1/26/2017,-8.26,5.85,0,6.78,63.3,0.66,7.33,6.34,17.16
T009R21W4,1/27/2017,-3.36,5.2,0,6.78,55.73,0,7.83,5.02,31.21
T009R21W4,1/28/2017,1.89,9.35,0,6.78,42.54,0,4.31,4.76,41.5
T009R21W4,1/29/2017,4.68,13.92,0,6.78,32,0,8.37,5.38,40.36
T009R21W4,1/30/2017,-3.36,5.96,0,6.78,51.68,0,4.22,5.49,26.64
T009R21W4,1/31/2017,-12.83,-2.6,0,6.78,54.75,0,7.35,5.84,17.75
T009R21W4,2/1/2017,-14.26,-5.53,0,6.78,74.26,0,4.76,5.49,12.5
T009R21W4,2/2/2017,-16.21,-5.48,0,6.78,73.43,0,8.54,6.18,11.97
T009R21W4,2/3/2017,-15.96,-11.16,1.09,7.87,76.83,1.26,3.08,4.2,12.36
T009R21W4,2/4/2017,-18.67,-10.97,0.55,8.42,84.24,1.87,7.44,5.41,8.77
T009R21W4,2/5/2017,-16.22,-14.55,6.86,15.28,86.64,10.06,5.03,2.57,9.29
T009R21W4,2/6/2017,-23.93,-16.22,3.03,18.31,82.51,13.65,8.8,5.59,12.71
T009R21W4,2/7/2017,-30.42,-18.29,0,18.31,76,13.62,9.66,7.13,8.75
T009R21W4,2/8/2017,-29.25,-15.27,0.27,18.58,71.97,13.91,9.95,7.78,9.66
T009R21W4,2/9/2017,-18.07,6.59,1.37,19.95,78.66,15.47,7.55,10.51,15.48
T009R21W4,2/10/2017,-2.04,6.1,0,19.95,62.59,15.34,11.15,6.14,32.31
T009R21W4,2/11/2017,-2.42,3.32,0,19.95,59.29,15.22,8.54,5.24,28.6
T009R21W4,2/12/2017,-0.88,4.92,0,19.95,50.05,15.09,8.95,5.36,38.89
T009R21W4,2/13/2017,1.68,8.96,0,19.95,53.51,12.61,9.55,6.1,20.96
T009R21W4,2/14/2017,0.09,13.13,0,19.95,56.76,0,11.45,8.3,22.59
T009R21W4,2/15/2017,1.34,14.73,0,19.95,53.7,0,6.31,8.55,22.28
T009R21W4,2/16/2017,2.9,14.59,0,19.95,66.29,0,10.2,8.12,24.69
T009R21W4,2/17/2017,-2.48,10.39,0,19.95,54.6,0,10.55,8.67,26.53
T009R21W4,2/18/2017,-4.98,2.81,0,19.95,91.43,0,4.49,6.85,6.39
T009R21W4,2/19/2017,-1.77,9.83,0,19.95,76.66,0,7.69,8.5,15.57
T009R21W4,2/20/2017,-2.67,8.63,0,19.95,67.15,0,7.28,8.52,12.22
T009R21W4,2/21/2017,-2.23,1.18,0,19.95,99.53,0,2.58,4.76,7.14
T009R21W4,2/22/2017,-3.41,1.58,0,19.95,94.19,0,2.99,5.85,12.52
T009R21W4,2/23/2017,-6.51,-1.23,0,19.95,81.99,0,7.25,6.11,8.42
T009R21W4,2/24/2017,-11.95,-1.9,0.27,20.22,90.19,0,4.99,8.57,9.74
T009R21W4,2/25/2017,-8.57,2.05,0.23,20.45,72.07,0,13.16,8.95,19.66
T009R21W4,2/26/2017,-11.7,-3.91,0.88,21.33,78.59,0.93,12.79,7.79,15.37
T009R21W4,2/27/2017,-19.83,-3,0,21.33,78.1,0.63,13.88,11.63,9.28
T009R21W4,2/28/2017,-16.26,-3.43,0.82,22.15,87.75,1.51,9.44,10.31,8.78
T009R21W4,3/1/2017,-14.08,2.78,0.5,22.65,59.11,1.96,10.87,12,15.75
T009R21W4,3/2/2017,-11.72,4.61,0,22.65,76.27,1.8,8.22,11.99,15.53
T009R21W4,3/3/2017,0.76,10.2,0.24,22.89,53.82,0,13.52,9.26,30.88
T009R21W4,3/4/2017,-7.44,9.75,0,22.89,64.55,0,15.43,12.69,24.67
T009R21W4,3/5/2017,-16.13,-7.41,0.75,23.64,88.71,0.58,7.92,9.17,11.46
T009R21W4,3/6/2017,-19.66,-6.85,0,23.64,85.12,0.27,12.28,11.28,5.38
T009R21W4,3/7/2017,-15.25,-5.79,0.24,23.88,75.13,0.2,16.52,9.84,11.18
T009R21W4,3/8/2017,-19.18,-8.73,2.98,26.86,87.2,3.67,12.8,10.49,15.54
T009R21W4,3/9/2017,-19.92,-15.14,1.24,28.1,79.57,5.07,15.41,7.2,10.12
T009R21W4,3/10/2017,-16.43,-11.24,2.98,31.08,85.44,8.54,13.29,7.61,13.35
T009R21W4,3/11/2017,-16.72,-8.83,0.49,31.57,85.05,9.01,12.07,9.51,13.63
T009R21W4,3/12/2017,-17.17,-9.74,0.25,31.82,80.68,9.19,15.16,9.37,10.42
T009R21W4,3/13/2017,-17.16,7.53,0.5,32.32,73.71,9.61,12.51,17.31,15.35
T009R21W4,3/14/2017,0.21,11.9,0.24,32.56,75.44,0,10.41,12.08,16.1
T009R21W4,3/15/2017,2.88,15.99,0,32.56,68.44,0,12.06,12.96,15.15
T009R21W4,3/16/2017,-2.83,10.91,0,32.56,68.86,0,18.42,13.45,22.31
T009R21W4,3/17/2017,-4.4,9.72,0,32.56,65.67,0,13.19,13.82,14.06
T009R21W4,3/18/2017,1.79,17.95,0.5,33.06,60.76,0,15.39,14.98,30.1
T009R21W4,3/19/2017,-4.35,9.06,0,33.06,43.06,0,18.47,13.82,21.11
T009R21W4,3/20/2017,-7.96,4.15,0,33.06,59.08,0,18.65,13.31,13.51
T009R21W4,3/21/2017,-2.67,10.83,0.24,33.3,63.39,0,14.35,14.23,19.75
T009R21W4,3/22/2017,1.59,14.94,0.25,33.55,54.29,0,19.4,14.33,29.68
T009R21W4,3/23/2017,0.58,13.63,0,33.55,48.06,0,19.79,14.34,24.92
T009R21W4,3/24/2017,-6.7,15.5,0,33.55,59.63,0,15.68,18.94,15.07
T009R21W4,3/25/2017,0.53,13.43,0,33.55,43.83,0,18.67,14.61,27.22
T009R21W4,3/26/2017,-1.07,12.45,0,33.55,41.82,0,18.62,15.14,16.63
T009R21W4,3/27/2017,0.66,13.52,0,33.55,50.88,0,13.79,14.93,16.52
T009R21W4,3/28/2017,1.37,12.17,0,33.55,44.38,0,17.07,13.85,33.67
T009R21W4,3/29/2017,2.74,12.79,0,33.55,51.66,0,11.31,13.52,20.53
T009R21W4,3/30/2017,0.35,15.39,0.49,34.04,56.94,0,18.05,16.72,20.61
T009R21W4,3/31/2017,1.56,13.52,0.5,34.54,72.42,0,17.45,15.08,15.54
T009R21W4,4/1/2017,2.14,16.1,0.75,35.29,51.74,0,14.66,16.47,29.75
T009R21W4,4/2/2017,-3.66,11.85,2.52,37.81,75.6,0,15.89,17.55,16.55
T009R21W4,4/3/2017,-1.49,6.99,3.77,41.58,75.28,0,13.16,13.11,17.86
T009R21W4,4/4/2017,-3.95,11.18,0,41.58,53.98,0,23.24,17.71,21.3
T009R21W4,4/5/2017,-1.33,16.43,0.26,41.84,49.36,0,17.13,19.38,25.17
T009R21W4,4/6/2017,4.64,19.58,0,41.84,55.2,0,12.95,17.96,16.12
T009R21W4,4/7/2017,-0.61,17.25,0.25,42.09,69.71,0,14.89,19.84,21.5
T009R21W4,4/8/2017,2.51,15.19,0,42.09,40.51,0,21.52,16.87,23.02
T009R21W4,4/9/2017,0.5,6.26,3.77,45.86,87.11,0,8.98,11.49,9.73
T009R21W4,4/10/2017,-4.43,12.12,0.26,46.12,57.97,0,19.69,19.66,18.29
T009R21W4,4/11/2017,0.93,12.43,0.25,46.37,57.92,0,19.7,16.54,15.69
T009R21W4,4/12/2017,-1.62,11.56,0,46.37,69.4,0,11.75,17.88,12.11
T009R21W4,4/13/2017,4.23,9.81,1.26,47.63,88.18,0,9.19,11.73,9.21
T009R21W4,4/14/2017,2.49,13.92,0,47.63,58.04,0,17.68,16.95,24.95
T009R21W4,4/15/2017,0.22,12.41,0.51,48.14,49.92,0,19.77,17.66,31.14
T009R21W4,4/16/2017,-2.21,9.06,0.75,48.89,70.26,0,23.97,17.14,13.04
T009R21W4,4/17/2017,-0.2,12.4,0,48.89,58.5,0,17.09,18.27,12.65
T009R21W4,4/18/2017,-0.13,17.48,0.25,49.14,52.07,0,21.83,21.78,20.93
T009R21W4,4/19/2017,0.13,16.97,0,49.14,44.46,0,25.87,21.48,17.66
T009R21W4,4/20/2017,-2.03,18.8,0,49.14,45.15,0,19.7,24.08,15.12
T009R21W4,4/21/2017,0.31,10.39,2.77,51.91,77.32,0,9.5,16.88,20.51
T009R21W4,4/22/2017,-3.27,15.87,0.25,52.16,72.02,0,21.33,23.44,14.34
T009R21W4,4/23/2017,2.69,15.95,0.26,52.42,78.28,0,15.54,19.67,10.25
T009R21W4,4/24/2017,3.6,8.31,0,52.42,87.5,0,9.23,11.8,12.75
T009R21W4,4/25/2017,1.02,5.14,5.28,57.7,90.4,0,7.55,11.13,12
T009R21W4,4/26/2017,-0.78,9.02,2.52,60.22,87.16,0,17.14,17.29,10.29
T009R21W4,4/27/2017,1.6,8.74,3.53,63.75,86.35,0,11.78,14.86,10.53
T009R21W4,4/28/2017,0.93,10.38,0.75,64.5,78.1,0,14.57,17.22,9.18
T009R21W4,4/29/2017,-1.16,15.06,0,64.5,61.9,0,25.24,22.7,17.04
T009R21W4,4/30/2017,6.61,16.63,0.25,64.75,48.69,0,24.74,17.96,24.73
T009R21W4,5/1/2017,4.3,15.03,0,64.75,46.64,0,24.83,18.71,13.93
T009R21W4,5/2/2017,2.36,13.01,1.69,66.44,60.27,0,19.13,18.76,14.15
T009R21W4,5/3/2017,1.25,21.37,0.72,67.16,51.7,0,26.75,25.94,24.19
T009R21W4,5/4/2017,9.51,27.35,0,67.16,43.24,0,28.29,24.58,19.05
T009R21W4,5/5/2017,6.05,28.96,0,67.16,49.62,0,21.31,28.02,15.81
T009R21W4,5/6/2017,10.85,25.26,7.01,74.17,54.93,0,20.42,22.35,16.18
T009R21W4,5/7/2017,4.21,12.73,1.69,75.86,80.73,0,6.48,17.28,16.62
T009R21W4,5/8/2017,-0.19,18.38,0.48,76.34,56.85,0,28.95,25.66,14.14
T009R21W4,5/9/2017,4.39,19.53,0.25,76.59,48.41,0,22.89,23.29,10.79
T009R21W4,5/10/2017,2.03,24.71,0.24,76.83,49.78,0,27.76,28.66,8.65
T009R21W4,5/11/2017,5.58,27.65,0,76.83,46.29,0,26.09,28.42,12.43
T009R21W4,5/12/2017,7.63,22.92,11.11,87.94,63.62,0,13.36,23.78,16.38
T009R21W4,5/13/2017,5.97,16.94,0.96,88.9,42.95,0,29.05,20.23,28.07
T009R21W4,5/14/2017,3.98,15.28,0,88.9,50.15,0,30.23,20.64,25.48
T009R21W4,5/15/2017,0.95,17.27,0.25,89.15,41.67,0,30.96,24.92,16.99
T009R21W4,5/16/2017,2.82,15.56,0.72,89.87,56.78,0,14.77,22.11,10.96
T009R21W4,5/17/2017,4.38,8.15,14,103.87,90.42,0,4.77,12.07,21.16
T009R21W4,5/18/2017,3.13,17.68,0.24,104.11,72.7,0,23.4,23.83,14.19
T009R21W4,5/19/2017,4.62,20.22,0.25,104.36,58.01,0,26.98,24.77,10.38
T009R21W4,5/20/2017,5.61,20.61,0,104.36,52.88,0,27.79,24.39,11.4
T009R21W4,5/21/2017,5.65,24.46,0,104.36,45.41,0,30.9,27.42,15.05
T009R21W4,5/22/2017,8.79,24.47,0,104.36,44.17,0,27.99,25.12,9.42
T009R21W4,5/23/2017,8.9,28.9,0.24,104.6,36.75,0,26.1,28.47,21.21
T009R21W4,5/24/2017,5.46,19.16,9.66,114.26,48.96,0,18.88,23.65,41.39
T009R21W4,5/25/2017,7.92,15.96,0.48,114.74,63.08,0,25.94,18.19,33.67
T009R21W4,5/26/2017,3.28,20.88,0.24,114.98,54.04,0,28.67,26.98,13.34
T009R21W4,5/27/2017,9.01,26.8,0.25,115.23,44.62,0,27.45,27.21,15.13
T009R21W4,5/28/2017,10.62,23.64,0.24,115.47,51.75,0,29.27,23.35,10.9
T009R21W4,5/29/2017,4.98,25.8,0,115.47,49.13,0,31.19,29.61,10.33
T009R21W4,5/30/2017,7.3,28.27,0,115.47,47.38,0,29.22,29.79,10.31
T009R21W4,5/31/2017,10.33,31.52,0,115.47,43.69,0,27.98,30.02,11.81
