Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
BANFF CS,1/1/2017,2017,1,1,-8.2,-18.4,-13.3,31.3,0,,,0.6,14,6,37
BANFF CS,1/2/2017,2017,1,2,-17.3,-31,-24.2,42.2,0,,,3.3,14,,<31
BANFF CS,1/3/2017,2017,1,3,-19.3,-36.7,-28,46,0,,,3.2,14,,<31
BANFF CS,1/4/2017,2017,1,4,-15.2,-31.6,-23.4,41.4,0,,,0.3,13,,<31
BANFF CS,1/5/2017,2017,1,5,-10.2,-15.6,-12.9,30.9,0,,,0,14,,<31
BANFF CS,1/6/2017,2017,1,6,-10.5,-16.3,-13.4,31.4,0,,,0,14,,<31
BANFF CS,1/7/2017,2017,1,7,-11.7,-20.3,-16,34,0,,,0.4,14,,<31
BANFF CS,1/8/2017,2017,1,8,-12.2,-26.9,-19.6,37.6,0,,,0.6,14,,<31
BANFF CS,1/9/2017,2017,1,9,-16.6,-21.1,-18.9,36.9,0,,,5.4,18,7,32
BANFF CS,1/10/2017,2017,1,10,-15.9,-32.4,-24.2,42.2,0,,,3.5,23,,<31
BANFF CS,1/11/2017,2017,1,11,-15,-35.2,-25.1,43.1,0,,,0.5,22,,<31
BANFF CS,1/12/2017,2017,1,12,-12.4,-23.7,-18.1,36.1,0,,,0,22,21,44
BANFF CS,1/13/2017,2017,1,13,-10.6,-19.2,-14.9,32.9,0,,,0,16,23,43
BANFF CS,1/14/2017,2017,1,14,-9.7,-17.2,-13.5,31.5,0,,,0,16,23,48
BANFF CS,1/15/2017,2017,1,15,-4.9,-13.7,-9.3,27.3,0,,,0,14,24,43
BANFF CS,1/16/2017,2017,1,16,-3.9,-12.2,-8.1,26.1,0,,,0,12,23,54
BANFF CS,1/17/2017,2017,1,17,2.8,-4.5,-0.9,18.9,0,,,0,13,27,63
BANFF CS,1/18/2017,2017,1,18,1.9,-1.7,0.1,17.9,0,,,0,15,24,37
BANFF CS,1/19/2017,2017,1,19,5.5,-2.2,1.7,16.3,0,,,0,14,23,39
BANFF CS,1/20/2017,2017,1,20,1.9,-10.6,-4.4,22.4,0,,,0,15,,<31
BANFF CS,1/21/2017,2017,1,21,-3.6,-18.2,-10.9,28.9,0,,,1.8,14,,<31
BANFF CS,1/22/2017,2017,1,22,-0.2,-14.4,-7.3,25.3,0,,,0.8,13,,<31
BANFF CS,1/23/2017,2017,1,23,-2,-11.1,-6.6,24.6,0,,,0.4,15,,<31
BANFF CS,1/24/2017,2017,1,24,-1.8,-11,-6.4,24.4,0,,,0.2,14,,<31
BANFF CS,1/25/2017,2017,1,25,-2.8,-17.1,-10,28,0,,,0.8,14,,<31
BANFF CS,1/26/2017,2017,1,26,-1.7,-17.6,-9.7,27.7,0,,,0.2,15,19,35
BANFF CS,1/27/2017,2017,1,27,-1.3,-9.1,-5.2,23.2,0,,,0,15,25,48
BANFF CS,1/28/2017,2017,1,28,0.5,-4,-1.8,19.8,0,,,0,15,23,48
BANFF CS,1/29/2017,2017,1,29,5.1,-2.8,1.2,16.8,0,,,0,14,22,50
BANFF CS,1/30/2017,2017,1,30,0.8,-8,-3.6,21.6,0,,,0.5,14,30,44
BANFF CS,1/31/2017,2017,1,31,-6.9,-18.8,-12.9,30.9,0,,,2,14,,<31
BANFF CS,2/1/2017,2017,2,1,-7.2,-21.7,-14.5,32.5,0,,,2.1,14,,<31
BANFF CS,2/2/2017,2017,2,2,-8.8,-28.7,-18.8,36.8,0,,,2.4,14,,<31
BANFF CS,2/3/2017,2017,2,3,-12.1,-22.8,-17.5,35.5,0,,,1.9,14,5,32
BANFF CS,2/4/2017,2017,2,4,-14.5,-17.4,-16,34,0,,,3.6,16,,<31
BANFF CS,2/5/2017,2017,2,5,-16.6,-19.4,-18,36,0,,,7.2,22,,<31
BANFF CS,2/6/2017,2017,2,6,-19.2,-24.6,-21.9,39.9,0,,,7,26,5,32
BANFF CS,2/7/2017,2017,2,7,-16.5,-30.4,-23.5,41.5,0,,,2.5,27,,<31
BANFF CS,2/8/2017,2017,2,8,-10.1,-31.3,-20.7,38.7,0,,,1.3,27,,<31
BANFF CS,2/9/2017,2017,2,9,-4.6,-14,-9.3,27.3,0,,,4.5,27,23,35
BANFF CS,2/10/2017,2017,2,10,2.5,-4.6,-1.1,19.1,0,,,0.5,30,27,43
BANFF CS,2/11/2017,2017,2,11,-1,-6.3,-3.7,21.7,0,,,0.8,30,20,44
BANFF CS,2/12/2017,2017,2,12,2.1,-5.2,-1.6,19.6,0,,,0,27,25,44
BANFF CS,2/13/2017,2017,2,13,4.7,-5,-0.2,18.2,0,,,0,26,23,39
BANFF CS,2/14/2017,2017,2,14,6.8,-6.6,0.1,17.9,0,,,0,26,23,41
BANFF CS,2/15/2017,2017,2,15,9.5,0.3,4.9,13.1,0,,,0,25,24,48
BANFF CS,2/16/2017,2017,2,16,8.8,1,4.9,13.1,0,,,0.6,21,25,32
BANFF CS,2/17/2017,2017,2,17,6,-2.7,1.7,16.3,0,,,0,17,23,35
BANFF CS,2/18/2017,2017,2,18,3.5,-7,-1.8,19.8,0,,,0.7,16,,<31
BANFF CS,2/19/2017,2017,2,19,5.2,-4,0.6,17.4,0,,,2.4,16,,<31
BANFF CS,2/20/2017,2017,2,20,3.1,-7.4,-2.2,20.2,0,,,0.2,19,,<31
BANFF CS,2/21/2017,2017,2,21,2.9,-6.3,-1.7,19.7,0,,,0,18,,<31
BANFF CS,2/22/2017,2017,2,22,-3.7,-9,-6.4,24.4,0,,,2.3,18,,<31
BANFF CS,2/23/2017,2017,2,23,-1.5,-14.2,-7.9,25.9,0,,,0.4,21,,<31
BANFF CS,2/24/2017,2017,2,24,-4.6,-17.2,-10.9,28.9,0,,,0.2,21,,<31
BANFF CS,2/25/2017,2017,2,25,-3.5,-15.7,-9.6,27.6,0,,,0,21,24,44
BANFF CS,2/26/2017,2017,2,26,-7.1,-14,-10.6,28.6,0,,,0.2,17,,<31
BANFF CS,2/27/2017,2017,2,27,-5.8,-23.1,-14.5,32.5,0,,,0.3,16,,<31
BANFF CS,2/28/2017,2017,2,28,-4.9,-21,-13,31,0,,,0,16,18,35
BANFF CS,3/1/2017,2017,3,1,-2.6,-10.7,-6.7,24.7,0,,,0,18,,<31
BANFF CS,3/2/2017,2017,3,2,2,-12.7,-5.4,23.4,0,,,0,16,24,44
BANFF CS,3/3/2017,2017,3,3,2.5,-1.3,0.6,17.4,0,,,0.4,18,27,48
BANFF CS,3/4/2017,2017,3,4,-1,-11,-6,24,0,,,8,,,<31
BANFF CS,3/5/2017,2017,3,5,-8.2,-16.6,-12.4,30.4,0,,,5,30,,<31
BANFF CS,3/6/2017,2017,3,6,-2.3,-21.8,-12.1,30.1,0,,,0.5,29,,<31
BANFF CS,3/7/2017,2017,3,7,-2.8,-22,-12.4,30.4,0,,,0,28,,<31
BANFF CS,3/8/2017,2017,3,8,-10.3,-18.7,-14.5,32.5,0,,,2.6,28,,<31
BANFF CS,3/9/2017,2017,3,9,-11.9,-24.5,-18.2,36.2,0,,,1.1,29,,<31
BANFF CS,3/10/2017,2017,3,10,-12.8,-20.2,-16.5,34.5,0,,,5.8,31,,<31
BANFF CS,3/11/2017,2017,3,11,-8.2,-22.4,-15.3,33.3,0,,,1.5,,,<31
BANFF CS,3/12/2017,2017,3,12,1.8,-16.6,-7.4,25.4,0,,,1.5,39,,<31
BANFF CS,3/13/2017,2017,3,13,6.5,-1,2.8,15.2,0,,,0,36,22,32
BANFF CS,3/14/2017,2017,3,14,6.7,-1.1,2.8,15.2,0,,,0,31,,<31
BANFF CS,3/15/2017,2017,3,15,6.4,0,3.2,14.8,0,,,4.5,26,,<31
BANFF CS,3/16/2017,2017,3,16,4.1,-3.8,0.2,17.8,0,,,9.7,32,,<31
BANFF CS,3/17/2017,2017,3,17,4.1,-7,-1.5,19.5,0,,,0,25,26,32
BANFF CS,3/18/2017,2017,3,18,6.7,-1.4,2.7,15.3,0,,,3,25,25,46
BANFF CS,3/19/2017,2017,3,19,1,-4.6,-1.8,19.8,0,,,0.2,23,23,41
BANFF CS,3/20/2017,2017,3,20,2.8,-11.3,-4.3,22.3,0,,,0,23,,<31
BANFF CS,3/21/2017,2017,3,21,5.9,-6.2,-0.2,18.2,0,,,0,23,,<31
BANFF CS,3/22/2017,2017,3,22,8.5,-0.2,4.2,13.8,0,,,0.2,22,20,43
BANFF CS,3/23/2017,2017,3,23,5.7,-3,1.4,16.6,0,,,0.2,17,23,43
BANFF CS,3/24/2017,2017,3,24,4.9,-5.6,-0.4,18.4,0,,,0,14,21,32
BANFF CS,3/25/2017,2017,3,25,5.8,-2.1,1.9,16.1,0,,,0,16,32,46
BANFF CS,3/26/2017,2017,3,26,6.7,-4.4,1.2,16.8,0,,,0,13,23,32
BANFF CS,3/27/2017,2017,3,27,7.4,-1.2,3.1,14.9,0,,,0,12,,<31
BANFF CS,3/28/2017,2017,3,28,6.3,-1.8,2.3,15.7,0,,,0.2,6,25,43
BANFF CS,3/29/2017,2017,3,29,6,-0.7,2.7,15.3,0,,,0,1,,<31
BANFF CS,3/30/2017,2017,3,30,6.6,-1,2.8,15.2,0,,,2.5,0,,<31
BANFF CS,3/31/2017,2017,3,31,9.5,-1.6,4,14,0,,,0,4,22,41
BANFF CS,4/1/2017,2017,4,1,7.3,0.1,3.7,14.3,0,,,0,0,23,37
BANFF CS,4/2/2017,2017,4,2,7.1,-2.4,2.4,15.6,0,,,1.4,1,22,35
BANFF CS,4/3/2017,2017,4,3,6.9,-6.4,0.3,17.7,0,,,0,3,,<31
BANFF CS,4/4/2017,2017,4,4,6.6,-7.2,-0.3,18.3,0,,,0,3,21,37
BANFF CS,4/5/2017,2017,4,5,12.6,-2.2,5.2,12.8,0,,,0,,24,37
BANFF CS,4/6/2017,2017,4,6,11.2,1.5,6.4,11.6,0,,,0,2,,<31
BANFF CS,4/7/2017,2017,4,7,9.1,-2.1,3.5,14.5,0,,,2.8,0,,<31
BANFF CS,4/8/2017,2017,4,8,8.6,-2.4,3.1,14.9,0,,,2.2,3,24,32
BANFF CS,4/9/2017,2017,4,9,3.4,-3.4,0,18,0,,,5.4,2,,<31
BANFF CS,4/10/2017,2017,4,10,5.7,-3.8,1,17,0,,,0.3,3,24,32
BANFF CS,4/11/2017,2017,4,11,7.8,-2.8,2.5,15.5,0,,,0.2,3,7,32
BANFF CS,4/12/2017,2017,4,12,2.2,-1.9,0.2,17.8,0,,,2.3,0,,<31
BANFF CS,4/13/2017,2017,4,13,6.7,0.3,3.5,14.5,0,,,4.7,1,,<31
BANFF CS,4/14/2017,2017,4,14,7.4,-0.2,3.6,14.4,0,,,0.7,0,23,43
BANFF CS,4/15/2017,2017,4,15,5.8,0.6,3.2,14.8,0,,,0,2,23,37
BANFF CS,4/16/2017,2017,4,16,9.8,-4.1,2.9,15.1,0,,,0.2,4,,<31
BANFF CS,4/17/2017,2017,4,17,11.1,-3.4,3.9,14.1,0,,,0,4,,<31
BANFF CS,4/18/2017,2017,4,18,11.7,-0.2,5.8,12.2,0,,,0,0,26,44
BANFF CS,4/19/2017,2017,4,19,11.6,0.5,6.1,11.9,0,,,0,2,23,43
BANFF CS,4/20/2017,2017,4,20,10.7,-3.6,3.6,14.4,0,,,0,0,,<31
BANFF CS,4/21/2017,2017,4,21,9.1,-0.8,4.2,13.8,0,,,8,2,,<31
BANFF CS,4/22/2017,2017,4,22,12,-3.3,4.4,13.6,0,,,2.6,3,7,35
BANFF CS,4/23/2017,2017,4,23,11.4,-1.7,4.9,13.1,0,,,2.2,,5,33
BANFF CS,4/24/2017,2017,4,24,7.7,-0.4,3.7,14.3,0,,,8.4,2,,<31
BANFF CS,4/25/2017,2017,4,25,1.6,-2.9,-0.7,18.7,0,,,18.2,,,<31
BANFF CS,4/26/2017,2017,4,26,5.5,-4.6,0.5,17.5,0,,,0.7,12,,<31
BANFF CS,4/27/2017,2017,4,27,6.3,-0.7,2.8,15.2,0,,,3.7,8,23,32
BANFF CS,4/28/2017,2017,4,28,8.5,-2.6,3,15,0,,,1,4,,<31
BANFF CS,4/29/2017,2017,4,29,9.4,-1.6,3.9,14.1,0,,,0.6,3,20,35
BANFF CS,4/30/2017,2017,4,30,9.7,1.6,5.7,12.3,0,,,0.3,1,22,37
BANFF CS,5/1/2017,2017,5,1,10.8,-2.8,4,14,0,,,0,,23,32
BANFF CS,5/2/2017,2017,5,2,11.9,-2.4,4.8,13.2,0,,,0,,23,33
BANFF CS,5/3/2017,2017,5,3,15.4,-0.2,7.6,10.4,0,,,0,,24,43
BANFF CS,5/4/2017,2017,5,4,20.9,6.1,13.5,4.5,0,,,0,,23,41
BANFF CS,5/5/2017,2017,5,5,21,1.6,11.3,6.7,0,,,2.7,,18,33
BANFF CS,5/6/2017,2017,5,6,16,4.6,10.3,7.7,0,,,0.2,,24,32
BANFF CS,5/7/2017,2017,5,7,12,1.7,6.9,11.1,0,,,0,,20,35
BANFF CS,5/8/2017,2017,5,8,14,-2.4,5.8,12.2,0,,,0,,19,41
BANFF CS,5/9/2017,2017,5,9,14.3,3.7,9,9,0,,,0,,,<31
BANFF CS,5/10/2017,2017,5,10,16.7,-2.1,7.3,10.7,0,,,0,,,<31
BANFF CS,5/11/2017,2017,5,11,18.3,-1.9,8.2,9.8,0,,,0,,15,39
BANFF CS,5/12/2017,2017,5,12,16.4,6.1,11.3,6.7,0,,,0.5,,24,37
BANFF CS,5/13/2017,2017,5,13,11.1,1.8,6.5,11.5,0,,,0.3,,23,37
BANFF CS,5/14/2017,2017,5,14,11.2,-0.2,5.5,12.5,0,,,0.2,,21,41
BANFF CS,5/15/2017,2017,5,15,11,-1.4,4.8,13.2,0,,,0,,22,33
BANFF CS,5/16/2017,2017,5,16,9.2,-4.6,2.3,15.7,0,,,6,,1,33
BANFF CS,5/17/2017,2017,5,17,7.8,0.3,4.1,13.9,0,,,3.9,,,<31
BANFF CS,5/18/2017,2017,5,18,14.2,-0.4,6.9,11.1,0,,,0,,23,37
BANFF CS,5/19/2017,2017,5,19,15.9,-1.9,7,11,0,,,0,,24,33
BANFF CS,5/20/2017,2017,5,20,19.2,-1.7,8.8,9.2,0,,,0,,,<31
BANFF CS,5/21/2017,2017,5,21,21.4,-2.4,9.5,8.5,0,,,0,,36,33
BANFF CS,5/22/2017,2017,5,22,22.8,0.2,11.5,6.5,0,,,0,,22,33
BANFF CS,5/23/2017,2017,5,23,23.9,6.2,15.1,2.9,0,,,4.8,,23,48
BANFF CS,5/24/2017,2017,5,24,9.5,0.3,4.9,13.1,0,,,13.6,,23,41
BANFF CS,5/25/2017,2017,5,25,14.2,1.3,7.8,10.2,0,,,1.1,,,<31
BANFF CS,5/26/2017,2017,5,26,18.3,-1.6,8.4,9.6,0,,,0.2,,23,37
BANFF CS,5/27/2017,2017,5,27,22.9,0.1,11.5,6.5,0,,,0,,24,37
BANFF CS,5/28/2017,2017,5,28,23.3,0.3,11.8,6.2,0,,,0,,2,33
BANFF CS,5/29/2017,2017,5,29,24.5,1.6,13.1,4.9,0,,,0,,4,35
BANFF CS,5/30/2017,2017,5,30,25.6,4.1,14.9,3.1,0,,,0,,,<31
BANFF CS,5/31/2017,2017,5,31,24.1,6,15.1,2.9,0,,,0,,23,41
BANFF CS,6/1/2017,2017,6,1,20.7,9.4,15.1,2.9,0,,,0,,26,33
BANFF CS,6/2/2017,2017,6,2,17.1,9,13.1,4.9,0,,,0,,23,46
BANFF CS,6/3/2017,2017,6,3,20.8,2.6,11.7,6.3,0,,,0,,23,41
