DATE,CA_Inflation ,All-items excluding food and energy 7,US_CPI,US_Interest_Rate,CA_Interest_rate,WCS_US,WTI_US,CADUSD,WTI (CAD/bbl),Edmonton Light (CAD/bbl),WCS (CAD/bbl),LLS (CAD/bbl),Brent (CAD/bbl),Crude Oil - Light,Crude Oil - Medium,Crude Oil - Heavy,Crude Oil - Ultra Heavy
1/1/2017,,124.3,2.661562,0.65,0.75,37.19,52.5,0.758,69.35,65.29,50.88,71.3,73.04,376.77,342.43,316.08,265.54
2/1/2017,0.40%,124.8,2.67446,0.66,0.75,39.14,53.47,0.7629,70.02,65.99,51.59,72.24,73.32,390.45,355.95,336.04,282.13
3/1/2017,0.32%,125.2,2.453344,0.79,0.75,35.68,49.33,0.747,66.47,62.94,48.2,68.82,70.32,369.09,335.03,335.03,261.95
4/1/2017,0.00%,125.2,2.25217,0.9,0.75,36.84,51.06,0.7441,68.7,66.87,55.87,71.37,72.36,380.35,341.59,319,271.03
5/1/2017,0.24%,125.5,2.155911,0.91,0.75,38.84,48.48,0.735,65.83,62.12,52.78,68.54,69.59,384.3,345.72,343.96,296.48
6/1/2017,0.08%,125.6,2.13853,1.04,0.75,35.8,45.18,0.7521,60.05,56.03,46.23,62.77,63.23,332.45,305.6,304.32,267.05
7/1/2017,0.00%,125.6,2.146769,1.15,1,36.37,46.63,0.7883,59.29,56.11,47.02,62.13,62.45,325.29,298,290.03,262.27
8/1/2017,0.00%,125.6,2.089832,1.16,1,38.5,48.04,0.7934,60.35,56.71,47.69,63.88,65.2,334.61,307.98,303.95,277.26
9/1/2017,0.16%,125.8,2.106697,1.15,1.25,39.93,49.82,0.8142,61.35,60.23,47.51,66.94,68.37,337.56,309.49,307.76,276.62
10/1/2017,0.32%,126.2,2.192819,1.15,1.25,39.87,51.58,0.7935,65.17,63.65,50.4,72.18,72.65,369.74,336.63,323.64,280.62
11/1/2017,0.00%,126.2,2.115031,1.16,1.25,45.52,56.64,0.7832,72.32,70.35,52.85,79.79,80.22,420.66,391.14,372.23,327.42
12/1/2017,-0.48%,125.6,2.125472,1.3,1.25,44.02,57.95,0.7831,73.86,65.2,43.02,80.93,81.55,431.13,398.68,366.84,310.74
1/1/2018,0.48%,126.2,2.166305,1.41,1.5,42.53,63.55,0.8047,79.11,70.43,47.23,84.95,85.77,439.15,389.22,349.19,284.83
2/1/2018,0.71%,127.1,2.131896,1.42,1.5,37.72,62.16,0.7946,78.26,70.6,44.55,81.68,82.74,410.45,370.25,323.58,243.26
3/1/2018,0.39%,127.6,2.369197,1.51,1.5,35.53,62.87,0.7733,81.17,75.59,48.68,84.48,86.4,432.58,388.66,323.57,236.39
4/1/2018,-0.08%,127.5,2.493423,1.69,1.5,40.47,66.33,0.7855,83.61,76,62.67,87.27,90.65,477.58,433.35,383.34,280
5/1/2018,0.08%,127.6,2.544991,1.7,1.5,53.25,69.89,0.7768,89.83,78.82,62.21,95.4,99.15,496.19,462.16,439.26,389.55
6/1/2018,0.16%,127.8,2.553219,1.82,1.5,52.1,67.32,0.7618,88.41,78.26,62.86,98.51,99.64,482.72,451.2,423.01,388.36
7/1/2018,0.55%,128.5,2.519634,1.91,1.75,52.83,70.74,0.7616,92.69,85.2,63.22,95.54,98.28,499.32,469.63,433.8,399.4
8/1/2018,0.00%,128.5,2.432878,1.91,1.75,48.55,67.85,0.7668,88.28,74.06,50.76,93.66,96.48,486.08,448.54,397.19,355.04
9/1/2018,-0.31%,128.1,2.461933,1.95,1.75,40.37,70.07,0.7671,91.35,66.77,48.45,100.28,103.12,481.12,424.19,342.7,286.67
10/1/2018,0.55%,128.8,2.414988,2.19,2,41.15,70.76,0.7687,91.81,52.9,32.38,102.46,104.44,404.85,377.49,329.63,291.61
11/1/2018,-0.31%,128.4,2.476794,2.2,2,11.03,56.96,0.7576,74.53,33.33,23.75,84.86,87.05,214.04,176.05,105.7,50.34
12/1/2018,0.08%,128.5,2.46437,2.27,2,5.97,49.52,0.7446,65.95,54.81,44.32,74.82,77.38,95.66,62.32,32.91,-9.85
1/1/2019,0.08%,128.6,2.385533,2.4,2,34.3,51.38,0.7519,68.69,63.87,56.07,76.99,80.09,335.7,309.08,276.55,243.11
2/1/2019,0.78%,129.6,2.376648,2.4,2,45.33,54.95,0.7573,72.6,67.08,57.9,82.45,84.89,405.74,381.09,355.77,340.28
