"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-01",,"0.0",,,"12.2","5.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-02",,"9.7",,,"7.2","4.4"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-03",,"23.1",,,"8.3","6.1"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-04",,"0.3",,,"13.9","1.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-05",,"0.0",,,"2.8","-1.0"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-06",,"0.5",,,"0.6","-2.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-07",,"0.5",,,"-2.7","-6.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-08",,"0.0",,,"-4.3","-8.8"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-09",,"0.0",,,"-2.1","-8.2"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-10",,"1.0",,,"5.0","-5.5"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-11",,"5.8",,,"11.1","3.3"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-12",,"1.5",,,"21.7","6.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-13",,"0.0",,,"18.3","5.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-14",,"5.6",,,"5.6","0.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-15",,"0.0",,,"6.7","1.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-16",,"0.0",,,"5.0","1.1"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-17",,"2.0",,,"7.8","4.4"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-18",,"0.0",,,"13.9","7.2"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-19",,"0.0",,,"11.1","5.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-20",,"0.8",,,"7.8","3.9"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-21",,"0.0",,,"9.4","6.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-22",,"2.0",,,"11.7","7.8"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-23",,"12.4",,,"10.0","4.4"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-24",,"0.0",,,"9.4","3.9"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-25",,"0.0",,,"16.1","5.6"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-26",,"0.0",,,"13.9","6.1"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-27",,"0.0",,,"7.2","3.3"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-28",,"0.0",,,"7.8","2.8"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-29",,"0.0",,,"7.2","1.7"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-30",,"0.5",,,"3.9","-0.5"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-01-31",,"0.0",,,"11.7","-1.0"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-02-01",,"0.0",,,"10.6","3.9"
"USW00093784","MARYLAND SCIENCE CENTER, MD US","2017-02-02",,"0.0",,,"9.4","2.8"
