STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-01,4.3,1,36,200,-7.7,-14.3
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-02,3,2,43,250,-13.8,-21
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-03,3.2,0,0,250,-16,-22.7
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-04,5.2,0,0,250,-13.8,-22.7
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-05,9.1,0,0,230,-14.9,-23.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-06,8.1,0,0,200,-9.9,-16
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-07,2.6,0,0,200,-7.7,-19.9
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-08,3.8,0,0,200,-9.9,-14.3
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-09,3.6,1.5,18,180,-6,-13.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-10,4.7,1.5,25,200,-7.1,-18.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-11,3.8,1.5,36,250,-14.3,-18.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-12,5.8,0,0,230,-11,-16.6
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-13,8.1,0,0,230,-3.8,-13.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-14,9,0,0,200,-3.2,-12.1
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-15,9.3,0,0,200,-1,-9.9
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-16,9.6,0,0,180,-2.7,-10.5
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-17,11.4,0,0,180,2.8,-4.9
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-18,9.2,0,0,150,7.2,-1
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-19,6.3,0.3,0,100,6.1,0
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-20,5.3,0.8,0,100,4.4,-3.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-21,6.2,0,0,80,1.7,-7.7
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-22,4.7,0,0,80,2.8,-6
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-23,1.4,0,5,50,-3.8,-8.8
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-24,3.1,0.3,5,50,-3.2,-7.7
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-25,4.8,0,0,50,-1.6,-9.3
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-26,6.8,0,0,50,1.1,-8.2
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-27,9.2,0,0,50,-2.1,-8.8
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-28,8.8,0,0,50,8.3,-6.6
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",2017-01-29,10.4,0,0,30,8.3,0.6
