STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/1/2017,3.9,0,0,0,8.3,-8.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/2/2017,3.6,2,38,0,-0.5,-13.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/3/2017,2.9,1.3,18,50,-7.7,-14.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/4/2017,3.6,11.4,193,50,-11,-18.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/5/2017,4.1,2,46,230,-15.5,-26.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/6/2017,5.4,0,0,230,-4.3,-27.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/7/2017,2.5,0,0,180,-2.8,-16.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/8/2017,8.8,0,0,150,6.7,-3.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/9/2017,10.7,0,0,100,10.6,-1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/10/2017,10.1,0,0,0,5.6,-2.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/11/2017,5.3,0,0,0,5,-5.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/12/2017,5.4,0,0,0,0.6,-9.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/13/2017,2.6,0,0,0,4.4,-9.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/14/2017,2.6,0,0,0,7.2,-4.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/15/2017,2.7,0,0,0,3.9,-6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/16/2017,5.4,0,0,0,2.8,-8.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/17/2017,3.8,0,0,0,11.1,-11.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/18/2017,4.2,0,0,0,13.3,-4.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/19/2017,4.8,0,0,0,13.3,-0.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/20/2017,4.8,0.3,0,0,3.9,-4.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/21/2017,2.5,0,0,0,5,-8.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/22/2017,5.8,0,0,0,2.8,-3.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/23/2017,3.8,2.5,38,0,10,-6.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/24/2017,4.8,0,0,30,-0.5,-11.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/25/2017,7.3,0,0,30,-5.5,-12.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/26/2017,7.2,0,0,0,-5.5,-14.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/27/2017,8.6,0,0,0,0.6,-13.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/28/2017,9.8,0,0,0,4.4,-5.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/29/2017,9.7,0,0,0,9.4,0
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/30/2017,8.8,0,0,0,11.7,2.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",1/31/2017,6.8,0,0,0,12.2,-4.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/1/2017,4.1,0.5,5,0,-4.3,-12.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/2/2017,5,0.8,25,0,-8.2,-12.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/3/2017,5.3,0,0,30,3.3,-16.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/4/2017,10.1,0,0,0,8.9,1.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/5/2017,4.3,0,0,0,12.2,-2.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/6/2017,5.6,0,0,0,11.1,-2.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/7/2017,7.9,0,0,0,12.8,-3.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/8/2017,9.8,0.3,0,0,8.9,2.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/9/2017,8,0,0,0,16.7,0.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/10/2017,9.7,0,0,0,20,7.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/11/2017,5.5,0,0,0,10,-3.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/12/2017,4.7,0,0,0,5.6,-8.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/13/2017,5.1,0,0,0,8.3,-4.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/14/2017,5.1,0,0,0,6.7,-6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/15/2017,6.9,0,0,0,16.1,-2.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/16/2017,5.6,0,0,0,20.6,2.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/17/2017,6.1,0,0,0,15,-0.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/18/2017,3.6,0,0,0,15.6,0
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/19/2017,4.7,0,0,0,13.3,1.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/20/2017,7.3,0,0,0,12.8,1.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/21/2017,10.2,0,0,0,16.7,1.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/22/2017,6.3,0.3,3,0,8.9,-1.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/23/2017,6.6,14.2,168,50,-1.6,-10.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/24/2017,2.9,1,10,150,-6.6,-16
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/25/2017,6.1,0,0,80,-3.2,-13.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/26/2017,4.5,0,0,80,-2.1,-12.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/27/2017,5.3,0,0,80,4.4,-14.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",2/28/2017,7.9,0,0,50,0,-7.7
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/1/2017,9.8,0,0,30,1.1,-7.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/2/2017,5.5,0,0,30,5,-7.1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/3/2017,7.2,0,0,0,12.2,-4.9
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/4/2017,4.3,0,0,0,17.2,-3.2
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/5/2017,3.8,0,0,0,15,-1
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/6/2017,13.1,0,0,0,7.2,-6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/7/2017,11.4,0,0,0,4.4,-6.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/8/2017,8.2,0,0,0,12.8,0.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/9/2017,8.5,0,0,0,15.6,-3.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/10/2017,6,0,0,0,18.9,-5.5
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/11/2017,3.3,3.8,0,0,9.4,0.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/12/2017,8,0.3,3,0,11.7,-1.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/13/2017,4.3,0,0,0,11.1,-6.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/14/2017,8.1,0,0,0,16.1,2.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/15/2017,7,0,0,0,21.7,3.3
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/16/2017,6.9,0,0,0,21.1,2.8
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/17/2017,3.1,0,0,0,15,0.6
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/18/2017,4.6,0,0,0,24.4,0
USW00024018,"CHEYENNE WSFO AIRPORT, WY US",3/19/2017,5.7,0,0,0,22.2,5.6
