"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-01",,"0.0","0.0","0.0","3.9","-8.3"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-02",,"0.0","0.0","0.0","10.0","-6.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-03",,"0.0","0.0","0.0","11.1","-10.6"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-04",,"0.0","3.0","0.0","0.0","-12.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-05",,"6.1","124.0","127.0","-11.1","-17.2"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-06",,"2.5","30.0","127.0","-13.9","-24.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-07",,"0.0","0.0","102.0","-2.2","-24.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-08",,"0.0","0.0","102.0","-2.2","-16.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-09",,"0.0","0.0","51.0","14.4","-8.3"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-10",,"0.0","0.0","0.0","17.2","0.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-11",,"0.0","0.0","0.0","11.1","-1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-12",,"0.0","0.0","0.0","13.9","-4.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-13",,"0.0","0.0","0.0","6.1","-7.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-14",,"0.0","0.0","0.0","3.3","-6.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-15",,"0.0","0.0","0.0","5.0","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-16",,"2.0","28.0","25.0","1.1","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-17",,"2.5","48.0","51.0","1.1","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-18",,"0.0","0.0","51.0","7.8","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-19",,"0.0","0.0","25.0","13.3","-9.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-20",,"0.0","0.0","0.0","11.7","-3.9"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-21",,"0.0","0.0","0.0","7.8","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-22",,"0.0","0.0","0.0","3.3","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-23",,"0.0","0.0","0.0","7.8","-3.9"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-24",,"0.0","0.0","0.0","12.8","-4.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-25",,"0.0","0.0","0.0","1.1","-9.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-26",,"0.0","0.0","0.0","-1.1","-10.6"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-27",,"0.0","0.0","0.0","-1.7","-11.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-28",,"0.0","0.0","0.0","5.0","-11.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-29",,"0.0","0.0","0.0","9.4","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-30",,"0.0","0.0","0.0","15.6","-3.3"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-01-31",,"0.0","0.0","0.0","17.2","1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-01",,"0.0","0.0","0.0","17.2","-3.3"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-02",,"0.3","0.0","0.0","-1.7","-7.2"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-03",,"0.3","0.0","0.0","-4.4","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-04",,"0.3","3.0","0.0","8.3","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-05",,"0.0","0.0","0.0","16.1","-0.6"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-06",,"0.0","0.0","0.0","15.6","-1.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-07",,"0.0","0.0","0.0","16.7","1.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-08",,"0.0","0.0","0.0","17.8","0.6"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-09",,"0.0","0.0","0.0","15.0","1.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-10",,"0.0","0.0","0.0","21.1","1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-11",,"0.0","0.0","0.0","28.3","2.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-12",,"0.0","0.0","0.0","11.7","0.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-13",,"0.0","0.0","0.0","10.0","-2.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-14",,"0.0","0.0","0.0","8.3","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-15",,"0.0","0.0","0.0","8.9","-6.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-16",,"0.0","0.0","0.0","20.0","-2.2"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-17",,"0.0","0.0","0.0","24.4","-1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-18",,"0.0","0.0","0.0","20.0","-1.1"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-19",,"0.0","0.0","0.0","19.4","1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-20",,"0.0","0.0","0.0","18.9","1.7"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-21",,"0.0","0.0","0.0","17.8","3.9"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-22",,"0.0","0.0","0.0","23.3","5.6"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-23",,"0.0","0.0","0.0","14.4","-2.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-24",,"2.0","15.0","25.0","0.0","-8.3"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-25",,"0.0","0.0","0.0","-3.9","-9.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-26",,"0.0","0.0","0.0","2.8","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-27",,"0.0","0.0","0.0","6.1","-10.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-02-28",,"0.0","0.0","0.0","13.9","-9.4"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-03-01",,"0.0","0.0","0.0","2.8","-5.0"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-03-02",,"0.0","0.0","0.0","8.3","-7.2"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-03-03",,"0.0","0.0","0.0","11.7","-7.2"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-03-04",,"0.0","0.0","0.0","17.8","-2.8"
"USW00023062","DENVER CENTRAL PARK, CO US","2017-03-05",,"0.0","0.0","0.0","22.8","-1.7"
