"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-01","3.4","0.0","0.0","0.0","3.3","-7.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-02","3.6","0.3","0.0","0.0","3.3","1.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-03","8.4","0.0","0.0","0.0","1.7","-12.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-04","5.8","0.0","3.0","0.0","-9.3","-14.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-05","5.2","0.0","0.0","0.0","-11.0","-15.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-06","3.6","0.0","0.0","0.0","-8.8","-19.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-07","2.8","0.0","0.0","0.0","-4.9","-13.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-08","4.8","0.0","0.0","0.0","-3.8","-16.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-09","4.2","0.0","0.0","0.0","0.6","-9.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-10","6.3","11.9","0.0","0.0","6.7","-4.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-11","5.8","0.0","0.0","0.0","2.2","-9.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-12","4.5","0.0","0.0","0.0","-4.9","-10.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-13","4.3","0.0","0.0","0.0","-3.8","-11.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-14","1.3","0.0","0.0","0.0","1.7","-5.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-15","2.4","2.5","0.0","0.0","1.7","-3.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-16","3.0","17.5","0.0","0.0","1.1","-0.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-17","4.7","0.0","0.0","0.0","2.8","0.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-18","4.7","0.0","0.0","0.0","9.4","-2.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-19","2.3","1.0","0.0","0.0","4.4","0.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-20","2.5","1.5","0.0","0.0","6.1","2.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-21","3.1","3.8","0.0","0.0","8.3","-1.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-22","4.1","0.0","0.0","0.0","3.9","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-23","2.8","0.0","0.0","0.0","1.7","0.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-24","4.3","1.8","3.0","0.0","1.7","-0.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-25","6.0","3.8","58.0","0.0","1.7","-2.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-26","6.6","0.0","0.0","50.0","-1.0","-4.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-27","6.3","0.0","0.0","30.0","0.0","-7.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-28","6.6","0.0","0.0","30.0","0.6","-3.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-29","4.5","0.0","0.0","30.0","2.2","-1.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-30","6.4","0.0","0.0","0.0","11.1","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-01-31","6.6","0.0","0.0","0.0","6.7","2.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-01","5.8","0.0","0.0","0.0","2.8","-5.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-02","4.8","0.0","0.0","0.0","-3.8","-9.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-03","3.6","0.0","0.0","0.0","-0.5","-8.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-04","6.4","0.0","0.0","0.0","7.2","-8.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-05","3.7","0.0","0.0","0.0","2.8","-3.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-06","3.0","0.0","0.0","0.0","14.4","-2.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-07","6.4","0.0","0.0","0.0","9.4","-4.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-08","5.6","5.1","66.0","50.0","-4.9","-9.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-09","3.8","0.0","0.0","50.0","-5.5","-12.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-10","4.4","0.0","0.0","50.0","14.4","-6.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-11","4.1","0.0","0.0","0.0","12.8","0.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-12","6.0","0.0","0.0","0.0","9.4","-0.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-13","3.5","0.0","0.0","0.0","11.1","-4.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-14","5.6","0.0","0.0","0.0","11.1","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-15","3.6","0.0","0.0","0.0","6.7","-3.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-16","3.6","0.0","0.0","0.0","18.3","0.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-17","4.4","0.0","0.0","0.0","23.9","4.4"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-18","1.7","0.0","0.0","0.0","19.4","1.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-19","4.5","0.0","0.0","0.0","22.8","4.4"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-20","4.6","6.4","0.0","0.0","16.7","10.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-21","3.5","0.0","0.0","0.0","20.0","2.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-22","6.1","0.0","0.0","0.0","22.8","8.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-23","6.8","2.5","0.0","0.0","9.4","3.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-24","7.7","5.3","46.0","0.0","5.0","-5.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-25","5.4","0.0","0.0","50.0","0.6","-8.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-26","5.1","0.0","0.0","0.0","8.9","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-27","3.5","0.3","0.0","0.0","13.3","-3.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-02-28","4.6","0.0","0.0","0.0","18.3","3.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-01","8.7","0.0","0.0","0.0","6.1","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-02","3.6","0.0","0.0","0.0","3.3","-4.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-03","4.5","0.0","0.0","0.0","6.1","-7.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-04","4.5","0.0","0.0","0.0","20.6","-1.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-05","4.9","0.0","0.0","0.0","16.1","7.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-06","9.0","8.1","0.0","0.0","25.0","7.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-07","7.3","0.0","0.0","0.0","12.8","2.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-08","4.4","0.0","0.0","0.0","13.3","1.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-09","5.6","0.0","0.0","0.0","9.4","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-10","5.0","0.8","8.0","0.0","-1.6","-7.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-11","3.1","0.5","5.0","30.0","-1.6","-6.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-12","4.5","3.0","20.0","0.0","3.3","-4.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-13","6.1","3.0","33.0","50.0","-0.5","-6.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-14","3.1","0.0","0.0","50.0","-1.6","-10.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-15","1.9","0.0","0.0","0.0","3.3","-12.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-16","5.7","0.0","0.0","0.0","13.3","-1.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-17","6.2","0.0","0.0","0.0","18.9","2.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-18","4.4","0.0","0.0","0.0","12.2","0.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-19","6.2","0.0","0.0","0.0","21.7","1.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-20","5.3","0.0","0.0","0.0","20.6","7.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-21","5.2","4.6","25.0","0.0","11.1","1.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-22","5.4","0.0","0.0","0.0","7.8","-1.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-23","6.2","0.0","0.0","0.0","14.4","5.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-24","4.4","8.6","0.0","0.0","18.3","6.7"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-25","5.7","21.1","0.0","0.0","6.7","4.4"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-26","3.0","0.8","0.0","0.0","8.9","5.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-27","2.7","0.0","0.0","0.0","11.1","6.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-28","2.5","0.0","0.0","0.0","11.7","7.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-29","6.5","37.3","0.0","0.0","9.4","5.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-30","6.0","0.3","0.0","0.0","7.2","5.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-03-31","4.0","0.0","0.0","0.0","8.3","5.0"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-01","1.7","0.5","0.0","0.0","12.8","2.2"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-02","3.0","3.6","0.0","0.0","11.7","8.3"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-03","3.4","12.7","0.0","0.0","11.7","9.4"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-04","4.4","0.3","0.0","0.0","13.9","8.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-05","5.0","13.2","0.0","0.0","11.1","6.1"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-06","5.3","0.0","0.0","0.0","13.9","2.8"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-07","3.0","0.0","0.0","0.0","17.2","-0.5"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-08","6.0","0.0","0.0","0.0","24.4","8.9"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-09","6.3","0.0","0.0","0.0","27.2","15.6"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","2017-04-10","6.2","0.0","0.0","0.0","22.2","5.6"
