STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-01,3,0.5,0,127,5.6,-6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-02,0.6,0,0,102,2.2,-8.2
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-03,3.6,11.2,0,102,3.9,0
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-04,,,0,51,,
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-05,4.1,0,0,,0,-4.3
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-06,2.4,0,0,0,-0.5,-6.6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-07,3.3,1,61,51,-6.6,-8.2
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-08,3.5,0,3,76,-5.5,-13.2
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-09,2.1,0,0,51,-6.6,-14.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-10,1.9,2,5,51,4.4,-14.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-11,4.5,2,0,0,12.2,2.8
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-12,3.5,2.5,0,0,14.4,3.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-13,5.8,0,0,0,12.8,-6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-14,2.1,0,0,0,-1.6,-9.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-15,2.1,0,0,,1.7,-7.7
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-16,1.4,0,0,0,4.4,-9.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-17,2.1,7.9,38,51,6.7,-6.6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-18,3.3,1.3,25,76,1.1,-1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-19,0.9,0,,76,4.4,-1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-20,0.5,0,0,76,3.3,-3.2
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-21,1.3,0,0,51,11.1,1.1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-22,2.3,0.8,0,25,5,1.1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-23,5.4,0.5,18,25,1.1,-1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-24,6.5,7.1,25,51,2.8,-1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-25,4.3,0,0,51,4.4,1.1
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-26,3.6,0,0,25,11.1,1.7
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-27,5.5,0,0,0,5.6,2.2
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-28,3.9,0,0,0,3.9,-0.5
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-29,2.8,0,0,0,4.4,-2.7
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-30,2.6,0,0,0,1.1,-6.6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-01-31,2.2,0.3,0,0,-2.1,-9.3
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-01,1.7,1.3,38,51,3.9,-4.3
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-02,3,0,0,0,3.9,-4.9
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-03,3,0,0,0,-0.5,-6.6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-04,3.7,0,0,0,0,-7.7
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-05,4.1,0,0,0,5,-4.3
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-06,4.2,0,0,0,2.8,-2.7
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-07,4,5.3,81,76,-0.5,-6.6
USW00014710,"MANCHESTER AIRPORT, NH US",2017-02-08,2.6,3.6,8,76,10,-6.6
