STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/1/2017,2.7,0,0,0,5,-7.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/2/2017,3.5,0.3,0,0,5,-4.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/3/2017,4.9,0,0,0,3.9,-7.7
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/4/2017,7.3,0,0,0,-7.7,-14.9
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/5/2017,5.9,0,0,0,-11,-17.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/6/2017,4.3,0,0,0,-13.2,-17.7
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/7/2017,5.2,0,0,0,-9.3,-17.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/8/2017,4.1,0,0,0,-7.1,-16
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/9/2017,4.5,1,18,0,-0.5,-7.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/10/2017,8.5,11.9,3,0,10,-5.5
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/11/2017,5.5,0.5,0,0,4.4,-6
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/12/2017,4.7,0.3,5,0,-3.2,-7.7
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/13/2017,3.1,0,0,0,-3.2,-12.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/14/2017,2,0,0,0,2.2,-6.6
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/15/2017,1.3,0,0,0,3.3,-9.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/16/2017,2.9,13.5,0,0,2.8,-4.9
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/17/2017,3.7,2.8,0,0,4.4,2.2
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/18/2017,4.7,0,0,0,3.9,1.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/19/2017,2.7,2,0,0,3.3,0.6
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/20/2017,3.5,10.9,0,0,3.9,2.8
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/21/2017,2.7,0.8,0,0,13.3,3.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/22/2017,1.6,0,0,0,7.8,3.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/23/2017,3.2,0,0,0,6.7,3.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/24/2017,2.7,1,5,0,3.9,1.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/25/2017,4.8,7.4,20,0,3.3,1.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/26/2017,5.7,0,5,0,2.2,-0.5
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/27/2017,5.7,0,0,0,0,-4.3
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/28/2017,4.9,0,0,0,-0.5,-5.5
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/29/2017,5.1,0,0,0,-1.6,-7.1
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/30/2017,3.6,2.3,38,0,-1,-10.5
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1/31/2017,5.7,0.3,10,0,3.3,-1.6
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",2/1/2017,4.6,0.5,10,0,2.2,-8.2
