STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/1/2017,3.4,0.5,0,,13.3,7.8
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/2/2017,2.8,43.9,0,,13.3,7.8
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/3/2017,4.2,6.1,0,,13.3,7.8
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/4/2017,4,0,0,,16.1,8.3
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/5/2017,2.5,0,0,,8.3,1.1
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/6/2017,6.2,0.8,0,,6.1,0
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/7/2017,8.7,26.4,135,,0,-5.5
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/8/2017,5.2,0,0,,-3.8,-7.7
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/9/2017,2.8,0,0,,-1.6,-7.7
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/10/2017,1.9,0,0,,6.7,-8.8
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/11/2017,4.2,1.3,0,,15.6,5
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/12/2017,7.2,0,0,,22.8,11.7
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/13/2017,4.7,0,0,,17.2,5.6
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/14/2017,3.7,0,0,,7.2,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/15/2017,3.1,0,0,,6.1,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/16/2017,1.4,0.5,0,,7.2,5
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/17/2017,4.3,0.3,0,,15.6,6.7
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/18/2017,3.4,2.3,0,,16.1,7.2
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/19/2017,2.2,0,0,,10.6,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/20/2017,1.6,5.1,0,,12.2,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/21/2017,1.7,11.2,0,,12.8,7.8
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/22/2017,2.5,0.8,0,,11.1,8.3
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/23/2017,4.8,11.7,0,,19.4,7.2
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/24/2017,3.8,0,0,,11.7,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/25/2017,3.8,0,0,,20.6,3.9
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/26/2017,5.7,1.3,0,,20.6,7.2
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/27/2017,3.3,0,0,,9.4,3.3
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/28/2017,4.2,0,0,,9.4,-2.1
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/29/2017,2.8,0,0,,12.8,0.6
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/30/2017,3.1,0,0,,6.7,-1.6
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",1/31/2017,5.5,0,0,,18.3,-2.7
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",2/1/2017,1.7,0,0,,16.1,5.6
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",2/2/2017,2.1,0,0,,11.1,4.4
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",2/3/2017,4.1,0,0,,6.1,2.8
