STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",1/1/2017,1.9,4.1,,,3.3,-0.5
USW00024234,"SEATTLE BOEING FIELD, WA US",1/2/2017,1,0,,,2.8,-3.8
USW00024234,"SEATTLE BOEING FIELD, WA US",1/3/2017,2.4,0,,,1.7,-2.7
USW00024234,"SEATTLE BOEING FIELD, WA US",1/4/2017,1.5,0,,,3.9,-4.9
USW00024234,"SEATTLE BOEING FIELD, WA US",1/5/2017,1.6,0,,,2.8,-7.1
USW00024234,"SEATTLE BOEING FIELD, WA US",1/6/2017,2.1,0,,,5.6,-7.7
USW00024234,"SEATTLE BOEING FIELD, WA US",1/7/2017,2.6,0,,,3.9,-3.8
USW00024234,"SEATTLE BOEING FIELD, WA US",1/8/2017,2.4,14.2,,,7.8,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",1/9/2017,2.7,1.5,,,6.7,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",1/10/2017,2.6,2.5,,,4.4,0
USW00024234,"SEATTLE BOEING FIELD, WA US",1/11/2017,2.1,0,,,2.2,-3.2
USW00024234,"SEATTLE BOEING FIELD, WA US",1/12/2017,0.3,0,,,4.4,-6
USW00024234,"SEATTLE BOEING FIELD, WA US",1/13/2017,0.6,0,,,3.3,-4.9
USW00024234,"SEATTLE BOEING FIELD, WA US",1/14/2017,0.8,0,,,6.1,-4.9
USW00024234,"SEATTLE BOEING FIELD, WA US",1/15/2017,0.6,0,,,6.7,-4.9
USW00024234,"SEATTLE BOEING FIELD, WA US",1/16/2017,1.7,0,,,8.3,-2.1
USW00024234,"SEATTLE BOEING FIELD, WA US",1/17/2017,1.7,38.6,,,7.8,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",1/18/2017,3.4,30.7,,,11.7,6.7
USW00024234,"SEATTLE BOEING FIELD, WA US",1/19/2017,3.3,3.3,,,10,3.3
USW00024234,"SEATTLE BOEING FIELD, WA US",1/20/2017,1.4,0,,,11.7,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",1/21/2017,1.2,1,,,11.1,3.9
USW00024234,"SEATTLE BOEING FIELD, WA US",1/22/2017,1.2,3,,,8.3,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",1/23/2017,1,0,,,8.9,0
USW00024234,"SEATTLE BOEING FIELD, WA US",1/24/2017,1.2,0,,,6.7,-1.6
USW00024234,"SEATTLE BOEING FIELD, WA US",1/25/2017,1,0,,,6.7,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",1/26/2017,1.2,0,,,8.9,5.6
USW00024234,"SEATTLE BOEING FIELD, WA US",1/27/2017,1.6,0,,,12.2,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",1/28/2017,2,0,,,12.2,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",1/29/2017,3.3,0,,,9.4,1.7
USW00024234,"SEATTLE BOEING FIELD, WA US",1/30/2017,1.3,0,,,8.3,5.6
USW00024234,"SEATTLE BOEING FIELD, WA US",1/31/2017,3,0.3,,,7.2,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/1/2017,2.1,0,,,7.2,-1.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/2/2017,3,0,,,8.3,-3.2
USW00024234,"SEATTLE BOEING FIELD, WA US",2/3/2017,1.8,16.8,,,4.4,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",2/4/2017,3.1,18,,,7.8,2.8
USW00024234,"SEATTLE BOEING FIELD, WA US",2/5/2017,3.2,17.3,,,5,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/6/2017,3,9.9,,,3.9,-0.5
USW00024234,"SEATTLE BOEING FIELD, WA US",2/7/2017,1.2,0,,,4.4,-1
USW00024234,"SEATTLE BOEING FIELD, WA US",2/8/2017,0.9,19.3,,,4.4,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",2/9/2017,4.3,39.4,,,13.9,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",2/10/2017,5.6,1.5,,,9.4,5
USW00024234,"SEATTLE BOEING FIELD, WA US",2/11/2017,2,0.3,,,9.4,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",2/12/2017,0.9,0,,,10,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/13/2017,1.4,0,,,12.2,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",2/14/2017,0.7,5.8,,,15,0
USW00024234,"SEATTLE BOEING FIELD, WA US",2/15/2017,2.8,41.9,,,11.1,7.8
USW00024234,"SEATTLE BOEING FIELD, WA US",2/16/2017,3.5,11.7,,,12.2,8.3
USW00024234,"SEATTLE BOEING FIELD, WA US",2/17/2017,2.2,0,,,13.3,5.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/18/2017,1.9,3.3,,,7.8,6.1
USW00024234,"SEATTLE BOEING FIELD, WA US",2/19/2017,3.2,3,,,8.9,3.9
USW00024234,"SEATTLE BOEING FIELD, WA US",2/20/2017,1.6,5.1,,,7.8,3.9
USW00024234,"SEATTLE BOEING FIELD, WA US",2/21/2017,1.9,5.6,,,8.9,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",2/22/2017,1.6,0.3,,,8.3,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/23/2017,1.6,0.8,,,7.2,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/24/2017,2.3,0,,,7.8,0
USW00024234,"SEATTLE BOEING FIELD, WA US",2/25/2017,2.5,0,,,7.2,-1.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/26/2017,2.8,6.6,,,6.1,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",2/27/2017,2.7,11.7,,,6.1,0.6
USW00024234,"SEATTLE BOEING FIELD, WA US",2/28/2017,2.9,0,,,9.4,-0.5
USW00024234,"SEATTLE BOEING FIELD, WA US",3/1/2017,5.3,0,,,10,6.1
USW00024234,"SEATTLE BOEING FIELD, WA US",3/2/2017,4.5,1.8,,,9.4,5.6
USW00024234,"SEATTLE BOEING FIELD, WA US",3/3/2017,4.8,15,,,10.6,5
USW00024234,"SEATTLE BOEING FIELD, WA US",3/4/2017,2.8,0.8,,,7.8,1.1
USW00024234,"SEATTLE BOEING FIELD, WA US",3/5/2017,4.8,2.8,,,7.8,1.7
USW00024234,"SEATTLE BOEING FIELD, WA US",3/6/2017,5,0,,,7.2,1.7
USW00024234,"SEATTLE BOEING FIELD, WA US",3/7/2017,3.7,11.7,,,6.7,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3/8/2017,4.7,0.8,,,6.7,3.3
USW00024234,"SEATTLE BOEING FIELD, WA US",3/9/2017,1.6,13.5,,,10.6,3.9
USW00024234,"SEATTLE BOEING FIELD, WA US",3/10/2017,4.1,0.5,,,11.7,6.7
USW00024234,"SEATTLE BOEING FIELD, WA US",3/11/2017,3.2,7.1,,,11.7,5
USW00024234,"SEATTLE BOEING FIELD, WA US",3/12/2017,2.2,0.5,,,11.7,7.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3/13/2017,1.7,13,,,12.2,8.9
USW00024234,"SEATTLE BOEING FIELD, WA US",3/14/2017,3.4,9.1,,,14.4,9.4
USW00024234,"SEATTLE BOEING FIELD, WA US",3/15/2017,2.2,18,,,11.1,7.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3/16/2017,3.6,0,,,12.2,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",3/17/2017,0.7,19.6,,,9.4,2.8
USW00024234,"SEATTLE BOEING FIELD, WA US",3/18/2017,3.8,11.9,,,13.9,2.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3/19/2017,2.1,0,,,11.7,0
USW00024234,"SEATTLE BOEING FIELD, WA US",3/20/2017,2,0,,,11.7,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",3/21/2017,1.7,4.3,,,13.9,7.8
USW00024234,"SEATTLE BOEING FIELD, WA US",3/22/2017,4.1,0,,,13.9,6.7
USW00024234,"SEATTLE BOEING FIELD, WA US",3/23/2017,2.7,6.4,,,14.4,4.4
USW00024234,"SEATTLE BOEING FIELD, WA US",3/24/2017,3.6,11.4,,,13.9,7.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3/25/2017,3.8,0.3,,,11.7,6.7
