STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/1/2017,1.4,0.8,,,25,17.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/2/2017,3.6,26.7,,,23.9,13.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/3/2017,3.8,0,,,25.6,10.6
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/4/2017,3.7,0,,,13.3,6.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/5/2017,3.8,0.5,,,14.4,7.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/6/2017,8.1,2.8,,,7.2,-2.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/7/2017,5,0,,,6.1,-4.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/8/2017,2.5,0,,,9.4,-3.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/9/2017,4.4,0,,,20,7.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/10/2017,5.7,0,,,25,16.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/11/2017,5.5,0,,,26.7,17.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/12/2017,4,0,,,26.7,17.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/13/2017,3.5,1.3,,,23.9,18.3
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/14/2017,3.2,0,,,20,16.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/15/2017,4.5,0.3,,,25.6,17.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/16/2017,4.9,0,,,26.7,20
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/17/2017,4.2,4.3,,,23.9,16.7
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/18/2017,4.1,14.7,,,25,14.4
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/19/2017,2.4,14.7,,,20,13.3
