Date,Day,Henry USD/MMBtu,AECO 5A USD/MMBtu,AECO 5A Cad/GJ,Township,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Wind Speed 10 m Avg. (km/h),Township,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Wind Speed 10 m Avg. (km/h)
1/1/2018,Monday,3.58,2.8248,3.3518,T024R01W5,-30.01,-3.27,0.1,8.96,T052R24W4,-27.85,-6.67,0,8.62
1/2/2018,Tuesday,3.58,1.7509,2.0754,T024R01W5,-10.32,0.97,0,8.22,T052R24W4,-7.73,2.87,0,7.03
1/3/2018,Wednesday,6.625,1.5555,1.848,T024R01W5,-8.65,5.24,0,6.4,T052R24W4,-8.36,3.22,0,6.48
1/4/2018,Thursday,6.875,1.5478,1.8377,T024R01W5,-10.72,2.9,0,5.45,T052R24W4,-7.16,1.85,0,5.1
1/5/2018,Friday,4.42,1.3134,1.5431,T024R01W5,-10.51,8.97,0,9.45,T052R24W4,-9.86,-3,0,6.83
1/6/2018,Saturday,2.9,1.3134,1.5431,T024R01W5,-2.89,8.18,0,16.27,T052R24W4,-9.57,4.86,0,8.02
1/7/2018,Sunday,2.9,1.3134,1.5431,T024R01W5,-7.48,4.21,0,10.13,T052R24W4,-4.7,2.64,0,7.84
1/8/2018,Monday,2.9,1.2697,1.4953,T024R01W5,-4.56,8,0,8.17,T052R24W4,-8.61,-0.7,0,7.58
1/9/2018,Tuesday,2.88,1.6434,1.9407,T024R01W5,-18.12,-0.67,0,22.24,T052R24W4,-22.49,-8.45,1.01,20.05
1/10/2018,Wednesday,2.9,1.799,2.129,T024R01W5,-26.04,-18.07,0.61,15,T052R24W4,-24.68,-22.44,0.2,10.84
1/11/2018,Thursday,3.105,2.4851,2.9506,T024R01W5,-29.19,-23.11,0.2,9.24,T052R24W4,-28.71,-20.7,0,6.48
1/12/2018,Friday,3.235,1.6301,1.9342,T024R01W5,-25.51,-14.88,0,9.88,T052R24W4,-28.95,-20.63,0,10.12
1/13/2018,Saturday,4.015,1.6301,1.9342,T024R01W5,-15.22,2.93,0,6.25,T052R24W4,-22.1,1.37,0.1,7.81
1/14/2018,Sunday,4.015,1.6301,1.9342,T024R01W5,-8.52,2.46,1.83,8.95,T052R24W4,-17.53,-0.72,0.2,8.91
1/15/2018,Monday,4.015,1.6301,1.9342,T024R01W5,-10.91,-5.02,0,17.19,T052R24W4,-17.94,-6.64,0,17.01
1/16/2018,Tuesday,4.015,1.5458,1.8201,T024R01W5,-9.53,9.09,0,12.92,T052R24W4,-14.56,-2.83,0,6.38
1/17/2018,Wednesday,5.095,1.6316,1.9235,T024R01W5,-3.26,4.89,0,12.76,T052R24W4,-4.8,6.88,0.3,10.21
1/18/2018,Thursday,3.865,1.4791,1.7443,T024R01W5,-4.65,7.54,0,17.16,T052R24W4,-4.76,8.74,0,6.29
1/19/2018,Friday,3.375,1.5386,1.8165,T024R01W5,-6.09,3.6,0,15.9,T052R24W4,-1.95,4.78,0,9.63
1/20/2018,Saturday,3.18,1.5386,1.8165,T024R01W5,-6,3.88,0,13.84,T052R24W4,-7.58,-0.26,0.1,3.99
1/21/2018,Sunday,3.18,1.5386,1.8165,T024R01W5,-7.33,3.92,0,8.34,T052R24W4,-9.21,-3.52,0,8.89
1/22/2018,Monday,3.18,1.6459,1.9442,T024R01W5,-7.18,4.07,0,14.43,T052R24W4,-9.28,-0.56,0,5.59
1/23/2018,Tuesday,3.13,1.6979,2.0044,T024R01W5,-9.92,2.21,0,8.76,T052R24W4,-10.18,2.19,0,6.35
1/24/2018,Wednesday,3.365,1.7728,2.0767,T024R01W5,-7.81,5.14,0,5.38,T052R24W4,-9.37,-3.98,0,8.34
1/25/2018,Thursday,3.555,1.8257,2.1311,T024R01W5,-11.1,-4.27,0,10.78,T052R24W4,-8.84,-7.1,5.25,9.82
1/26/2018,Friday,3.57,1.9484,2.2754,T024R01W5,-15.02,-8.83,0,11.04,T052R24W4,-15.89,-8.66,5.56,16.73
